qid,abstractqueryexpansion,abstractqueryexpansion.qld.map,star_model_count,method.1,metric.1,query.1,method.2,metric.2,query.2,method.3,metric.3,query.3,method.4,metric.4,query.4,method.5,metric.5,query.5,method.6,metric.6,query.6,method.7,metric.7,query.7,method.8,metric.8,query.8,method.9,metric.9,query.9,method.10,metric.10,query.10
3990512,how can we get concentration onsomething?,0.1266,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
714612,Why doesn't the water fall off  earth if it's round?,0.1947,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2528767,How do I determine the charge of the iron ion in FeCl3?,0.3845,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
821387,I have mice.How do I get rid of them humanely?,0.015,9,backtranslation_fra_latn,0.1886,I have mice  how can we get rid of them humanely,backtranslation_yue_hant,0.1761,I have mice  How can I get rid of them humanely,backtranslation_rus_cyrl,0.1761,I have mice  how can I get rid of them humanely,backtranslation_deu_latn,0.0718,I have mice  how can I get rid of them humanly,backtranslation_pes_arab,0.0313,I have rats  How can I get rid of them human,backtranslation_tam_taml,0.0313,I have rats  How can I get rid of them humanely,backtranslation_swh_latn,0.03,I have a mouse  How can I get rid of the mouse humanely,backtranslation_arb_arab,0.0266,I have rats  How do I get rid of them human,backtranslation_zsm_latn,0.0266,I have rats  How do I get rid of them humanely,,,
1880028,"What does ""see Leaflet"" mean on Ept Pregnancy test?",0.4192,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4448097,what is innate immunity?,0.2677,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1287437,how can i lose 30 pounds by june3?,0.2664,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2956570,"What are the words to write the sound of raindrops, moving train & scribbling w/ pencil on paper figuratively?",0.4231,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1351675,Why must I have an uncracked winshield in order to for my car to pass a safety inspeciton?,0.19,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1783010,What is Blaphsemy?,0.0556,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799913,What's the proper way to express sorrow at a funeral?,0.1907,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2142044,What do you speculate happened to Natalie Holloway in Aruba?,0.6458,7,backtranslation_kor_hang,0.6772,Can you guess what happened to Natalie Holloway in Aruba,backtranslation_arb_arab,0.6711,What do you think happened to Natalie Holloway in Aruba,backtranslation_rus_cyrl,0.6711,What do you think happened to Natalie Holloway on Aruba,backtranslation_tam_taml,0.6711,What do you think happened to Natalie Holloway in Aruba,backtranslation_swh_latn,0.6711,What do you think happened to Natalie Holloway in Aruba,backtranslation_deu_latn,0.6529,What happened to Natalie Holloway in Aruba,backtranslation_fra_latn,0.6481,What do you think about what happened to Natalie Holloway in Aruba,,,,,,,,,
707303,"How do people get hiccups, what are they, and what exactly is the best way to cure them?",0.417,1,backtranslation_zsm_latn,0.4351,How do people get hiccups  what is it  and what s the best way to cure it,,,,,,,,,,,,,,,,,,,,,,,,,,,
676028,Why do our elected federal senators and congressmen not have to live on regular S.S. like the rest of us?,0.3437,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484180,why do people judge a dog by what he looks like?,0.0472,4,backtranslation_arb_arab,0.0576,Why do people judge a dog by how it looks,backtranslation_fra_latn,0.0576,Why do people judge a dog by how it looks,backtranslation_rus_cyrl,0.0576,Why do people judge a dog by how it looks,backtranslation_zsm_latn,0.057,Why do people judge dogs by their looks,,,,,,,,,,,,,,,,,,
2307305,Why do man rape little girls?,0.2551,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814599,what does the word remission mean when referring to cancer patients?,0.2871,1,backtranslation_zsm_latn,0.2883,What does the word remission mean when you refer to a cancer patient,,,,,,,,,,,,,,,,,,,,,,,,,,,
3369088,how can we stop the spread of islam?,0.2509,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1702151,How patient a driver are you?,0.0626,2,backtranslation_fra_latn,0.0778,Are you a patient driver,backtranslation_kor_hang,0.0666,How patient is the driver,,,,,,,,,,,,,,,,,,,,,,,,
851124,How is ego a part of our survival instincts?,0.387,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3698636,why do cats headbutt?,0.0607,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1844896,How to cook Angus burgers?,0.5271,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2290758,Why do people ask questions they know?,0.0117,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143833,What is the difference between coolant and anti-freeze?,0.5808,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3910925,Why is yawning contagious?,0.6323,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2643507,why does milk cost more than gas per gallon?,0.2884,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1502604,how do crooks  make  fake   passports  ?,0.1866,1,backtranslation_yue_hant,0.1875,How do you make a fake passport,,,,,,,,,,,,,,,,,,,,,,,,,,,
4283542,i have had loose stools for a week...how do i make it stop?,0.2682,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3554263,"why some people behave so rude without reason,is it due to their own problem?",0.12,1,backtranslation_deu_latn,0.1336,Why do some people behave so rude is because of their own problem,,,,,,,,,,,,,,,,,,,,,,,,,,,
3313308,how can I enjoy my time alone?,0.0557,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4357460,how to make my car faster?,0.1331,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2582920,What is the difference in a dried plum and a dried prune?,0.7388,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4462511,How do i know if my gold fish is pregnant?,0.3163,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2795030,Why do people drink Cuervo when it tastes the same going down as coming up?,0.2488,2,backtranslation_fra_latn,0.2566,Why do people drink Cuervo when it tastes the same down and up,backtranslation_tam_taml,0.2554,Why does it come up and down the same taste when people drink Cuervo,,,,,,,,,,,,,,,,,,,,,,,,
312215,how good is apple pie when it is cold?,0.5774,2,backtranslation_kor_hang,0.5916,How good is cold apple pie,backtranslation_swh_latn,0.5916,How good is apple pie in the cold,,,,,,,,,,,,,,,,,,,,,,,,
3363149,Why do Arabs and Mexicans look alike?,0.3748,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1944018,Why can't teenagers vote?,0.1463,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
788976,Why did the Bush Admin cover up 9/11?,0.2002,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4385316,How do I keep black birds out of my bar-b-que grill?,0.3394,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
551239,how do i find out if someone left me a life insurance policy?,0.3836,5,backtranslation_arb_arab,0.393,How do I know if someone left me a life insurance policy,backtranslation_fra_latn,0.393,How do I know if someone left me a life insurance policy,backtranslation_deu_latn,0.393,How do I know if someone left me a life insurance policy,backtranslation_tam_taml,0.393,How do I know if someone left me a life insurance policy,backtranslation_swh_latn,0.393,How do I know if someone left me a life insurance policy,,,,,,,,,,,,,,,
3499881,Why is Gordon Ramsey so popular?,0.375,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4311093,Why hot air rises up?,0.438,6,backtranslation_kor_hang,0.4604,Why is the hot air rising,backtranslation_arb_arab,0.4604,Why is the hot air rising,backtranslation_fra_latn,0.4604,Why is the hot air rising,backtranslation_deu_latn,0.4604,Why is the hot air rising,backtranslation_rus_cyrl,0.4604,Why is the hot air rising,backtranslation_tam_taml,0.4604,Why is the hot air rising,,,,,,,,,,,,
4256593,How do I remove the SIMM card on a LG VX8300 Cell Phone?,0.5216,2,backtranslation_fra_latn,0.5795,How do you get the SIM card out of an LG VX     cell phone,backtranslation_zsm_latn,0.574,How do I get the SIM card out of my LG VX     cell phone,,,,,,,,,,,,,,,,,,,,,,,,
1017690,what is the history of indian music?,0.3062,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
667488,how soon can you drive on a newly paved driveway?,0.2952,1,backtranslation_tam_taml,0.3989,How soon can you drive a newly folded driveway,,,,,,,,,,,,,,,,,,,,,,,,,,,
3507491,Why is religious freedom more important today?,0.2693,2,backtranslation_yue_hant,0.2707,Why is religious freedom so important today,backtranslation_arb_arab,0.2707,Why is religious freedom so important today,,,,,,,,,,,,,,,,,,,,,,,,
2634143,"what is direct borrowing, phonological borrowing, linguistic borrowing, cultural borrowing,intimate borrowing?",0.1232,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3396066,Why do airplanes fly so high?,0.284,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2892478,what factors cause the Earth to heat unevenly?,0.2721,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3155314,"we have pork chops, veal chops, lamb chops, why is there not any beef chops ?",0.2174,2,backtranslation_arb_arab,0.2331,We have pork  veal  lamb  why is there no beef,backtranslation_deu_latn,0.2331,We have pork  veal  lamb  why is there no beef,,,,,,,,,,,,,,,,,,,,,,,,
785823,how is the library consider as a heart of university?,0.1142,1,backtranslation_yue_hant,0.1487,Library is the heart of the university,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815090,how cloning will affects our community?,0.2274,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2713171,What does the sentence's mean?,0.0102,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1821193,"Why do people feed poison (sugar) to their kids on Easter, and why are there no chocolate Jesuses?",0.109,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4185501,why does the sun shine?,0.3463,6,backtranslation_kor_hang,0.3479,Why is the sun shining,backtranslation_fra_latn,0.3479,Why is the sun shining,backtranslation_deu_latn,0.3479,Why is the sun shining,backtranslation_rus_cyrl,0.3479,Why is the sun shining,backtranslation_zsm_latn,0.3479,Why is the sun shining,backtranslation_tam_taml,0.3479,Why is the sun shining,,,,,,,,,,,,
4473331,How can I keep my rabit indoors?,0.3359,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4190287,Why is switching schools so depressing?,0.0838,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1937374,how to get 277 V AC ?,0.254,6,backtranslation_zsm_latn,0.3248,How do I get an AC     V,backtranslation_swh_latn,0.3248,How do I get     V AC,backtranslation_yue_hant,0.3185,How do you get     V AC,backtranslation_kor_hang,0.3185,How do you get a    V AC,backtranslation_tam_taml,0.3185,How do you get     V AC,backtranslation_deu_latn,0.3084,How do we get     V AC,,,,,,,,,,,,
1459749,Why don't I have an asthma attack during sex?,0.1126,7,backtranslation_deu_latn,0.1656,Why don t I get an asthma attack during sex,backtranslation_pes_arab,0.164,Why don t I have an asthma attack during sex,backtranslation_fra_latn,0.164,Why don t I have an asthma attack during sex,backtranslation_kor_hang,0.1636,Why don t you have an asthma attack during sex,backtranslation_tam_taml,0.1589,Why don t I have an asthma attack while I m having sex,backtranslation_rus_cyrl,0.1432,Why don t I start having asthma during sex,backtranslation_yue_hant,0.1381,Why don t I get asthma during sex,,,,,,,,,
23464,why girls are beautiful?,0.4325,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4377861,how to handsew sequins?,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3385681,"if red bull is soo bad for people ,then why is it soo popular?",0.0821,8,backtranslation_pes_arab,0.0944,If Red Bull is so bad for people  why is it so popular,backtranslation_fra_latn,0.0944,If Red Bull is so bad for people  why is it so popular,backtranslation_rus_cyrl,0.0944,If Red Bull is so bad for people  why is it so popular,backtranslation_zsm_latn,0.0944,If Red Bull is so bad for people  why is it so popular,backtranslation_arb_arab,0.0873,If Red Bull is so bad for people  why is he so popular,backtranslation_deu_latn,0.0873,If Red Bull is so bad for people  why is he so popular,backtranslation_tam_taml,0.0851,If Red Bull is so bad for humans  why is it so popular,backtranslation_swh_latn,0.0851,If Red Bull is so bad for humans  then why is it so popular,,,,,,
1794677,How can I treat my Acne Scars?,0.4596,1,backtranslation_fra_latn,0.4668,How do I treat my acne scars,,,,,,,,,,,,,,,,,,,,,,,,,,,
3301173,how to design road crust for national highways?,0.32,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204633,Why do you have memories?,0.2123,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3960080,Why don't commercial planes fly over the North Pole?,0.4098,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1262692,How can I get rid of pimples on my back?,0.3474,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
558570,"My city just put a ban on pit bulls, how do we reverse the decision?",0.4541,2,backtranslation_swh_latn,0.4565,My city just banned pit bulls  how do we turn the decision,backtranslation_fra_latn,0.4551,My town banned pit bulls  how do we reverse the decision,,,,,,,,,,,,,,,,,,,,,,,,
1167882,What are the different types of sins and how are they caused?,0.0569,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3295055,"What causes skin discoloration, specifically, whitening of the skin between fingers?",0.131,1,backtranslation_fra_latn,0.1313,What causes skin discoloration  especially whitening of the skin between the fingers,,,,,,,,,,,,,,,,,,,,,,,,,,,
100653,how do I go about getting copies of letters of commendation prsented to me from city of san diego?,0.2961,1,backtranslation_kor_hang,0.3104,How do we get compliments from the city of San Diego,,,,,,,,,,,,,,,,,,,,,,,,,,,
2619912,"How were you saved from sin-and born again as Jesus says ""Except you repent, and be born again..."" How didYou?",0.2567,2,backtranslation_zsm_latn,0.2695,How can you be saved from sin and born again as Jesus said  unless you repent  and be born again     How are you,backtranslation_swh_latn,0.26,How are you saved from sin and born again as Jesus says  unless you repent  and be born again     How are you,,,,,,,,,,,,,,,,,,,,,,,,
1663853,what is a wet dream?,0.3812,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2592121,how to rollover 401k into real estate?,0.1882,9,backtranslation_tam_taml,0.2782,How to turn    k into real estate,backtranslation_swh_latn,0.2782,How to turn a    k into real estate,backtranslation_pes_arab,0.2552,How do I turn    k into real estate,backtranslation_deu_latn,0.2416,How can I put my    k into real estate,backtranslation_yue_hant,0.2306,How do you turn your    k into real estate,backtranslation_zsm_latn,0.2306,How do you turn your    k into real estate,backtranslation_fra_latn,0.2278,How do you spend    k on real estate,backtranslation_kor_hang,0.2272,How do you convert          into real estate,backtranslation_rus_cyrl,0.2129,How do you transfer your    k to real estate,,,
2182052,why is lemonade at restaurants sometimes different?,0.5183,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1623623,"How do you improve fuel efficiency of a 2004, Ford Ikon?",0.1685,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3078448,How do you prevent chicken from drying out when you cook it?,0.1928,4,backtranslation_zsm_latn,0.2039,How do you keep chicken from drying out when you cook it,backtranslation_fra_latn,0.203,How do you keep chicken from drying up when you cook it,backtranslation_yue_hant,0.2009,How do you prevent chicken drying when you cook,backtranslation_deu_latn,0.1934,How do you prevent chicken from getting dry when you cook it,,,,,,,,,,,,,,,,,,
3074429,How can we understand Islam and Muslims better?,0.1126,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1119420,"Well the black light is UV light.So if it is ""black"" how can it be ""light"" ?",0.3145,1,backtranslation_fra_latn,0.3215,Black light is UV  If it s black  how can it be  light,,,,,,,,,,,,,,,,,,,,,,,,,,,
1290612,why do anxiety and depression seem to coexist?,0.2996,6,backtranslation_kor_hang,0.3563,Why do you think anxiety and depression exist together,backtranslation_yue_hant,0.3521,Why does anxiety and depression seem to be the same thing,backtranslation_swh_latn,0.3449,why anxiety and depression seem to be linked,backtranslation_zsm_latn,0.3367,Why do anxiety and depression seem to migrate,backtranslation_rus_cyrl,0.3024,Why do anxiety and depression go hand in hand,backtranslation_tam_taml,0.3024,Why do anxiety and depression go hand in hand,,,,,,,,,,,,
2529114,"since i have premature ejaculation problem, how to satisfy my girl?",0.4628,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204963,what does 5 by 5 mean?,0.1354,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4367654,Why is April 19th important?,0.1109,10,backtranslation_arb_arab,0.2245,Why is April    important,backtranslation_pes_arab,0.2245,Why is April    important,backtranslation_fra_latn,0.2245,Why is April    important,backtranslation_deu_latn,0.2245,Why is April    important,backtranslation_rus_cyrl,0.2245,Why is April    important,backtranslation_tam_taml,0.2245,Why April    is Important,backtranslation_swh_latn,0.2158,Why is April    special,backtranslation_yue_hant,0.2061,Why is April    so important,backtranslation_kor_hang,0.2061,Why is April    so important,backtranslation_zsm_latn,0.2061,Why is April    so important
3639660,Why do most cigarettes have the yellow filter?,0.4232,1,backtranslation_swh_latn,0.4374,Why do many cigarettes have a yellow filter,,,,,,,,,,,,,,,,,,,,,,,,,,,
4197214,Why my GF feel like pissing during sexual intercourse?,0.1234,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1015624,What's the Definition of a bloody mary?,0.6867,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
