qid,abstractqueryexpansion,abstractqueryexpansion.qld.map,star_model_count,method.1,metric.1,query.1,method.2,metric.2,query.2,method.3,metric.3,query.3,method.4,metric.4,query.4
101,ritz carlton lake las vegas,0.0728,0,,,,,,,,,,,,
102,fickle creek farm,0.0021,0,,,,,,,,,,,,
103,madam cj walker,0.0637,1,backtranslation_rus_cyrl,0.1157,Madam K  Walker   please  ,,,,,,,,,
104,indiana child support,0.0239,0,,,,,,,,,,,,
105,sonoma county medical services,0.0854,2,backtranslation_yue_hant,0.0971,Health services in Sonoma County,backtranslation_kor_hang,0.0971,Health services in Sonoma County,,,,,,
106,universal animal cuts reviews,0.0114,0,,,,,,,,,,,,
107,cass county missouri,0.0312,1,backtranslation_yue_hant,0.0382,Cass County  Missouri  is located in the state of Missouri ,,,,,,,,,
108,ralph owen brewster,0.4834,0,,,,,,,,,,,,
109,mayo clinic jacksonville fl,0.0026,4,backtranslation_arb_arab,0.0092,The Mayo Clinic in Jacksonville  ,backtranslation_fra_latn,0.0092,The Mayo Clinic in Jacksonville,backtranslation_deu_latn,0.0034,The Mayo Clinic in Jacksonville  Florida,backtranslation_rus_cyrl,0.0034,The Mayo Clinic in Jacksonville  Florida
110,map of brazil,0.0612,0,,,,,,,,,,,,
111,lymphoma in dogs,0.3742,0,,,,,,,,,,,,
112,kenmore gas water heater,0.0,0,,,,,,,,,,,,
113,hp mini 2140,0.0043,0,,,,,,,,,,,,
114,adobe indian houses,0.0212,0,,,,,,,,,,,,
115,pacific northwest laboratory,0.125,0,,,,,,,,,,,,
116,california franchise tax board,0.1279,0,,,,,,,,,,,,
117,dangers of asbestos,0.1544,0,,,,,,,,,,,,
118,poem in your pocket day,0.0672,1,backtranslation_pes_arab,0.068,Poetry in your pocket day ,,,,,,,,,
119,interview thank you,0.1086,0,,,,,,,,,,,,
120,tv on computer,0.0296,0,,,,,,,,,,,,
121,sit and reach test,0.0666,0,,,,,,,,,,,,
122,culpeper national cemetery,0.0169,0,,,,,,,,,,,,
123,von willebrand disease,0.2417,1,backtranslation_fra_latn,0.2455,from von Willebrand s disease,,,,,,,,,
124,bowflex power pro,0.0611,0,,,,,,,,,,,,
125,butter and margarine,0.1267,0,,,,,,,,,,,,
126,us capitol map,0.0007,1,backtranslation_fra_latn,0.001,map of the capitol of the united states,,,,,,,,,
127,dutchess county tourism,0.2252,0,,,,,,,,,,,,
128,atypical squamous cells,0.0548,0,,,,,,,,,,,,
129,iowa food stamp program,0.0026,1,backtranslation_rus_cyrl,0.0028,Food stamps in Iowa,,,,,,,,,
130,fact on uranus,0.2881,0,,,,,,,,,,,,
131,equal opportunity employer,0.0109,0,,,,,,,,,,,,
132,mothers day songs,0.0206,1,backtranslation_kor_hang,0.0657,Mother sing me,,,,,,,,,
133,all men are created equal,0.0554,0,,,,,,,,,,,,
134,electronic skeet shoot,0.0022,0,,,,,,,,,,,,
135,source of the nile,0.0076,0,,,,,,,,,,,,
136,american military university,0.0,0,,,,,,,,,,,,
137,rock and gem shows,0.145,0,,,,,,,,,,,,
138,jax chemical company,0.1868,0,,,,,,,,,,,,
139,rocky mountain news,0.0282,2,backtranslation_arb_arab,0.0592,News from the Rockies  ,backtranslation_fra_latn,0.0317,News from the Rocky Mountain,,,,,,
140,east ridge high school,0.0008,0,,,,,,,,,,,,
141,va dmv registration,0.1089,0,,,,,,,,,,,,
142,illinois state tax,0.1472,0,,,,,,,,,,,,
143,arkadelphia health club,0.0,0,,,,,,,,,,,,
144,trombone for sale,0.0961,0,,,,,,,,,,,,
145,vines for shade,0.1029,0,,,,,,,,,,,,
146,sherwood regional library,0.1648,0,,,,,,,,,,,,
147,tangible personal property tax,0.3454,0,,,,,,,,,,,,
148,martha stewart and imclone,0.2446,0,,,,,,,,,,,,
149,uplift at yellowstone national park,0.1531,0,,,,,,,,,,,,
150,tn highway patrol,0.0061,0,,,,,,,,,,,,
