qid,abstractqueryexpansion,abstractqueryexpansion.qld.map,qid,backtranslation_yue_hant,backtranslation_yue_hant.qld.map,qid,backtranslation_kor_hang,backtranslation_kor_hang.qld.map,qid,backtranslation_arb_arab,backtranslation_arb_arab.qld.map,qid,backtranslation_pes_arab,backtranslation_pes_arab.qld.map,qid,backtranslation_fra_latn,backtranslation_fra_latn.qld.map,qid,backtranslation_deu_latn,backtranslation_deu_latn.qld.map,qid,backtranslation_rus_cyrl,backtranslation_rus_cyrl.qld.map,qid,backtranslation_zsm_latn,backtranslation_zsm_latn.qld.map,qid,backtranslation_tam_taml,backtranslation_tam_taml.qld.map,qid,backtranslation_swh_latn,backtranslation_swh_latn.qld.map
51,horse hooves,0.2277,51,The horse ,0.0002,51,The horse s tail ,0.0007,51,The horse s heels ,0.0297,51,Horse shoes ,0.0382,51,horse knives,0.0,51,Horse hoods,0.0,51,The final cops,0.0,51,The horse s heel,0.0297,51,The horse and the horse,0.0002,51,horse shoes,0.0382
52,avp,0.1466,52,Other things ,0.0,52,Abby  please ,0.0,52,A B ,0.0,52,  Yes  I did ,0.0,52,The,,52,The,,52,The APP,0.0,52,conveying,0.0,52,Abbey,0.0,52,of,
53,discovery channel store,0.0522,53,I found the Channel Store ,0.016,53,Search channel store,0.0136,53,The Discovery Channel shop  ,0.0071,53,The Discovery Channel store ,0.0522,53,channel store,0.025,53,I m not sure if this is true ,0.0,53,opening channel shop,0.0,53,channel discovery shop,0.0071,53,Detection channel shop,0.0,53,storage of the discovery center,0.0
54,president of the united states,0.1551,54,The President of the United States ,0.1551,54,The President of the United States ,0.1551,54,President of the United States  ,0.1551,54,The President of the United States,0.1551,54,President of the United States,0.1551,54,President of the United States,0.1551,54,The President of the United States,0.1551,54,President of the United States,0.1551,54,President of the United States,0.1551,54,President of the United States,0.1551
55,iron,0.0908,55,Iron ,0.0908,55,Iron ,0.0908,55,The iron  ,0.0908,55,Iron ,0.0908,55,iron,0.0908,55,Iron,0.0908,55,iron,0.0908,55,Iron,0.0908,55,iron,0.0908,55,iron,0.0908
56,uss yorktown charleston sc,0.0114,56,I m from Charleston  Yonkers  USA ,0.0,56,Yorktown Charleston  SC  USA,0.0007,56,We are in Yorktown Charleston  SC ,0.0011,56,We are Yorktown ,0.0238,56,We are in Yorktown Charleston SC,0.0011,56,We  re in Yorktown Charleston   SC  ,0.0014,56,We  re in Yorktown   Charleston   SC  ,0.0014,56,USs Yorktown Charleston SC,0.0114,56,The United States is a member of the Charleston S C ,0.0,56,The United States Yorktown Charleston SC,0.0029
57,ct jobs,0.213,57,work ,0.0,57,I m on the job ,0.0,57,Jobs,0.0,57,Jobs,0.0,57,Employment,0.0,57,Employment,0.0,57,IT work,0.0,57,The job,0.0,57,jobs,0.0,57,work,0.0
58,penguins,0.0831,58,Stand up and be counted ,0.0,58,Penguins ,0.0831,58,The penguin  ,0.0831,58,Penguins ,0.0831,58,Penguins,0.0831,58,Penguins,0.0831,58,The penguins,0.0831,58,The penguin,0.0831,58,Penguins,0.0831,58,Penguins,0.0831
59,how to build a fence,0.0135,59,How to do this ,0.0,59,How to build a fence,0.0135,59,How to build a fence  ,0.0135,59,How to build a fence ,0.0135,59,how to build a fence,0.0135,59,How to Build a Fence,0.0135,59,How to build a fence,0.0135,59,How to build a fence,0.0135,59,How to Build a Wall,0.0,59,how to build a yard,0.0004
60,bellevue,0.1585,60,The beauty ,0.0,60,Bellevue ,0.1585,60,Belvio  what are you doing ,0.0,60,Blue  please ,0.0,60,Bellevue,0.1585,60,Bellevue,0.1585,60,  I m going to the Bellevue,0.0426,60,Bellevue is,0.1585,60,Belvive,0.0,60,Bellevue,0.1585
61,worm,0.0356,61,The worm ,0.0356,61,I m not sure ,0.0,61,The worm ,0.0356,61,The cream ,0.0,61,see it,0.0,61,Other worms,0.0201,61,The worm,0.0356,61,Worms,0.0356,61,eagle,0.0,61,a butterfly,0.0
62,texas border patrol,0.3848,62,Texas border patrol ,0.3848,62,Texas Border Patrol,0.3848,62,Texas Border Patrol  ,0.3848,62,Texas border patrol,0.3848,62,Texas Border Patrol,0.3848,62,Border Patrol of Texas,0.3848,62,Texas Border Patrol,0.3848,62,Texas Border Patrol,0.3848,62,Texas Border Patrol,0.3848,62,Texas border guard,0.2478
63,flushing,0.1087,63,Water ,0.0,63,I m not going to be able to get out of here ,0.0,63,The magic  ,0.0,63,Washing up ,0.0,63,pollution,0.0,63,Shaking,0.0,63,washing,0.0,63,Sweating,0.0,63,washing,0.0,63,showering,0.0
64,moths,0.117,64,Butterflies,0.0003,64,The butterfly ,0.0003,64,The surprises  ,0.0,64,The stars ,0.0,64,the flies,0.0,64,Oh   my dear  ,0.0,64,The motto,0.0,64,The legs,0.0,64,Beans,0.0,64,butterflies,0.0003
65,korean language,0.1988,65,Korean ,0.028,65,Korean,0.028,65,Korean language,0.1988,65,Korean language,0.1988,65,Korean language,0.1988,65,Korean language,0.1988,65,Korean language,0.1988,65,Korean,0.028,65,Korean,0.028,65,Korean,0.028
66,income tax return online,0.0016,66,Tax returns online,0.0031,66,Reporting income tax online,0.0005,66,Tax returns on the Internet,0.0001,66,Pay back taxes on online income,0.0001,66,online income statement,0.0002,66,Income tax return online,0.0016,66,Online registration of the tax report,0.0,66,online income tax declaration,0.0003,66,Income tax return online,0.0016,66,reporting income tax online,0.0005
67,vldl levels,0.1438,67,The place ,0.0,67,Vldl level,0.1438,67,Levels,0.0,67,Vldl level,0.1438,67,Vldl levels,0.1438,67,Vldl levels,0.1438,67,The levels,0.0,67,Vldl level,0.1438,67,Vldl levels,0.1438,67,Vldl standards,0.1081
68,pvc,0.055,68,It s not ,0.0,68,Pvc,0.055,68,The equipment  ,0.0,68,The PvC,0.055,68,Pvc,0.055,68,Manufacture from materials of heading    ,0.0,68,The PFC,0.0,68,Pvc,0.055,68,the PVC,0.055,68,the pvc,0.055
69,sewing instructions,0.1316,69,Follow the instructions ,0.0,69,The line,0.0,69,Sewing instructions,0.1316,69,The sewing instructions ,0.1316,69,instructions for sewing,0.1316,69,Nailers,0.0,69,instructions for sewing,0.1316,69,sewing instructions,0.1316,69,Sewing methods,0.012,69,Instructions for sewing,0.1316
70,to be or not to be that is the question,0.0,70,Whether you do it or not is the question ,0.0,70,Whether or not you should be that person is the problem ,0.0,70,To be or not to be is the question ,0.0,70,That s the question of whether or not it should be ,0.0,70,to be or not to be is the question,0.0,70,That  s the question  ,0.0,70,To be or not to be  that s the question ,0.0,70,To be or not to be that is a question,0.0,70,The question is whether or not to be ,0.0,70,To be or not to be that s a question,0.0
71,living in india,0.0011,71,They live in India ,0.0011,71,I live in India ,0.0011,71,Living in India  ,0.0011,71,Life in India,0.0001,71,reside in India,0.0,71,living in India,0.0011,71,residence in India,0.0,71,Living in India,0.0011,71,Living in India,0.0011,71,living in India,0.0011
72,the sun,0.0007,72,The sun ,0.0007,72,The sun ,0.0007,72,The sun ,0.0007,72,The sun ,0.0007,72,The Sun,0.0007,72,The Sun,0.0007,72,The sun,0.0007,72,The sun,0.0007,72,the sun,0.0007,72,the sun,0.0007
73,neil young,0.2358,73,Neil is young ,0.2358,73,Neil Young ,0.2358,73,Neal Young  ,0.0,73,Young Nile ,0.0,73,Neil Young,0.2358,73,Neil Young,0.2358,73,Neil is young ,0.2358,73,Neil Young,0.2358,73,Neil Young,0.2358,73,Neil Young,0.2358
74,kiwi,0.0172,74,Kewey ,0.0,74,You know  Kiwi ,0.0041,74,The key  ,0.0,74,What ,0.0,74,Kiwi,0.0172,74,Other,0.0,74,Kiwi  ,0.0172,74,Kiwi,0.0172,74,the key,0.0,74,kiwi,0.0172
75,tornadoes,0.3522,75,The wind ,0.0,75,It s a tornado ,0.1751,75,Hurricanes  ,0.0,75,The storm ,0.0,75,The Tornadoes,0.3522,75,The troops,0.0,75,The tornado,0.3522,75,Tornadoes,0.3522,75,storm,0.0,75,Hurricanes,0.0
76,raised gardens,0.2067,76,The garden of plants ,0.0,76,The garden,0.0,76,Gardens of plants   planted  ,0.0,76,Gardens that have become gardens ,0.0002,76,and gardens of exalted heights ,0.0,76,and gardens well groomed ,0.0,76,and gardens that are cultivated ,0.0,76,and gardens planted ,0.0,76,Gardens that are cultivated ,0.0,76,And gardens that are taken away ,0.0
77,bobcat,0.0372,77,The cat ,0.0,77,I m not going to ,0.0,77,The popcorn ,0.0,77,Cow ,0.0,77,the toolbox,0.0,77,Other  of a thickness of less than    mm,0.0,77,The grandmother  ,0.0,77,isolation,0.0,77,artillery,0.0,77,male,0.0
78,dieting,0.0027,78,Food ,0.0,78,The diet ,0.0027,78,The diet  ,0.0027,78,Diet,0.0027,78,Dietetics,0.0,78,Diet,0.0027,78,Diets,0.0027,78,diet,0.0027,78,food,0.0,78,eating food,0.0
