qid,abstractqueryexpansion,abstractqueryexpansion.bm25.map,star_model_count,method.1,metric.1,query.1,method.2,metric.2,query.2,method.3,metric.3,query.3,method.4,metric.4,query.4
101,ritz carlton lake las vegas,0.0942,0,,,,,,,,,,,,
102,fickle creek farm,0.0015,0,,,,,,,,,,,,
103,madam cj walker,0.068,1,backtranslation_rus_cyrl,0.1408,Madam K  Walker   please  ,,,,,,,,,
104,indiana child support,0.0442,0,,,,,,,,,,,,
105,sonoma county medical services,0.1416,0,,,,,,,,,,,,
106,universal animal cuts reviews,0.0264,0,,,,,,,,,,,,
107,cass county missouri,0.186,1,backtranslation_yue_hant,0.3932,Cass County  Missouri  is located in the state of Missouri ,,,,,,,,,
108,ralph owen brewster,0.5202,0,,,,,,,,,,,,
109,mayo clinic jacksonville fl,0.0021,4,backtranslation_arb_arab,0.0167,The Mayo Clinic in Jacksonville  ,backtranslation_fra_latn,0.0167,The Mayo Clinic in Jacksonville,backtranslation_deu_latn,0.0036,The Mayo Clinic in Jacksonville  Florida,backtranslation_rus_cyrl,0.0036,The Mayo Clinic in Jacksonville  Florida
110,map of brazil,0.064,0,,,,,,,,,,,,
111,lymphoma in dogs,0.345,0,,,,,,,,,,,,
112,kenmore gas water heater,0.0,0,,,,,,,,,,,,
113,hp mini 2140,0.0125,0,,,,,,,,,,,,
114,adobe indian houses,0.02,0,,,,,,,,,,,,
115,pacific northwest laboratory,0.1256,0,,,,,,,,,,,,
116,california franchise tax board,0.1485,0,,,,,,,,,,,,
117,dangers of asbestos,0.1452,0,,,,,,,,,,,,
118,poem in your pocket day,0.129,0,,,,,,,,,,,,
119,interview thank you,0.1357,0,,,,,,,,,,,,
120,tv on computer,0.0367,0,,,,,,,,,,,,
121,sit and reach test,0.1183,0,,,,,,,,,,,,
122,culpeper national cemetery,0.1238,0,,,,,,,,,,,,
123,von willebrand disease,0.2491,0,,,,,,,,,,,,
124,bowflex power pro,0.0549,0,,,,,,,,,,,,
125,butter and margarine,0.1243,0,,,,,,,,,,,,
126,us capitol map,0.0006,1,backtranslation_fra_latn,0.0095,map of the capitol of the united states,,,,,,,,,
127,dutchess county tourism,0.2847,0,,,,,,,,,,,,
128,atypical squamous cells,0.056,0,,,,,,,,,,,,
129,iowa food stamp program,0.0134,0,,,,,,,,,,,,
130,fact on uranus,0.2831,1,backtranslation_kor_hang,0.2857,The Facts About Uranus,,,,,,,,,
131,equal opportunity employer,0.0144,0,,,,,,,,,,,,
132,mothers day songs,0.05,0,,,,,,,,,,,,
133,all men are created equal,0.0667,0,,,,,,,,,,,,
134,electronic skeet shoot,0.0057,0,,,,,,,,,,,,
135,source of the nile,0.0091,0,,,,,,,,,,,,
136,american military university,0.0009,0,,,,,,,,,,,,
137,rock and gem shows,0.1441,0,,,,,,,,,,,,
138,jax chemical company,0.3109,0,,,,,,,,,,,,
139,rocky mountain news,0.0303,2,backtranslation_arb_arab,0.0668,News from the Rockies  ,backtranslation_fra_latn,0.0392,News from the Rocky Mountain,,,,,,
140,east ridge high school,0.0312,0,,,,,,,,,,,,
141,va dmv registration,0.0715,0,,,,,,,,,,,,
142,illinois state tax,0.0574,0,,,,,,,,,,,,
143,arkadelphia health club,0.0,0,,,,,,,,,,,,
144,trombone for sale,0.1356,0,,,,,,,,,,,,
145,vines for shade,0.1272,0,,,,,,,,,,,,
146,sherwood regional library,0.1168,0,,,,,,,,,,,,
147,tangible personal property tax,0.2914,0,,,,,,,,,,,,
148,martha stewart and imclone,0.264,0,,,,,,,,,,,,
149,uplift at yellowstone national park,0.1579,0,,,,,,,,,,,,
150,tn highway patrol,0.01,0,,,,,,,,,,,,
