qid,abstractqueryexpansion,abstractqueryexpansion.qld.map,qid,backtranslation_yue_hant,backtranslation_yue_hant.qld.map,qid,backtranslation_kor_hang,backtranslation_kor_hang.qld.map,qid,backtranslation_arb_arab,backtranslation_arb_arab.qld.map,qid,backtranslation_pes_arab,backtranslation_pes_arab.qld.map,qid,backtranslation_fra_latn,backtranslation_fra_latn.qld.map,qid,backtranslation_deu_latn,backtranslation_deu_latn.qld.map,qid,backtranslation_rus_cyrl,backtranslation_rus_cyrl.qld.map,qid,backtranslation_zsm_latn,backtranslation_zsm_latn.qld.map,qid,backtranslation_tam_taml,backtranslation_tam_taml.qld.map,qid,backtranslation_swh_latn,backtranslation_swh_latn.qld.map
151,403b,0.0996,151,   b ,0.0,151,   b,0.0,151,   b  ,0.0,151,   b,0.0,151,   b,0.0,151,Other articles,0.0,151,   b,0.0,151,   b,0.0,151,   b,0.0,151,   b,0.0
152,angular cheilitis,0.0,152,Coronary artery disease ,0.0,152,The angle of the salt,0.0,152,Corner head inflammation  ,0.0,152,It s a corner ,0.0,152,angular sheability,0.0,152,Other  of a kind used for the manufacture of goods,0.0,152,The corner helite,0.0,152,angular paralysis,0.0,152,angular curvature,0.0,152,angular chelulitis,0.0
153,pocono,0.2921,153,Poconno ,0.0,153,Pocono is here ,0.2091,153,The bocone  ,0.0,153,The pooch ,0.0,153,Pocono,0.2921,153,Pocono,0.2921,153,The Poconos,0.2921,153,Pocono is,0.2921,153,the bogono,0.0,153,Better,0.0
154,figs,0.0418,154,The tree ,0.0,154,I don t know ,0.0,154,The fig  ,0.0418,154,The figs ,0.0418,154,the figs,0.0418,154,Figs,0.0418,154,The figs,0.0418,154,figs,0.0418,154,The fig trees,0.075,154,figs,0.0418
155,last supper painting,0.2128,155,The last dinner drawing ,0.0,155,Last dinner painting,0.0253,155,The last painting ,0.024,155,The last painting dinner ,0.0253,155,Last table,0.0,155,Last supper painting,0.2128,155,The last picture  ,0.0,155,Last dinner painting,0.0253,155,The painting depicts the Last Supper,0.1608,155,picture of the last supper,0.102
156,university of phoenix,0.1082,156,The University of Nix ,0.0,156,The University of Phoenix,0.1082,156,The University of Phoenix  ,0.1082,156,The University of Phoenix ,0.1082,156,University of Phoenix,0.1082,156,University of Phoenix,0.1082,156,The University of Phoenix,0.1082,156,The University of Phoenix,0.1082,156,The University of Phoenix,0.1082,156,the University of Phoenix,0.1082
157,the beatles rock band,0.0714,157,The Beatles ,0.0534,157,The Beatles are rock band ,0.0714,157,The Beatles  ,0.0534,157,The rock band The Beatles ,0.0714,157,the Beatles rock band,0.0714,157,The Beatles rock band,0.0714,157,The Beatles rock band,0.0714,157,The Beatles rock band,0.0714,157,The Beatles were a rock band ,0.1185,157,The Beatles rock band,0.0714
158,septic system design,0.4015,158,The design of the seven spin system ,0.0,158,Design of the septic system,0.4015,158,The design of the decentralized system,0.0007,158,Design of the septic system,0.4015,158,design of the septic system,0.4015,158,Design of the septic system,0.4015,158,the construction of the septic system,0.1527,158,design of septic systems,0.4015,158,Design of the septic system,0.4015,158,design of septic system,0.4015
159,porterville,0.2459,159,Portville  the city of Portville ,0.0,159,I m not sure ,0.0,159,Porterville  ,0.2459,159,Portroyl ,,159,Portreville,,159,Portville,0.0,159,I  m not here  ,0.0,159,The porterville,0.2459,159,Portville,0.0,159,Porterville,0.2459
160,grilling,0.0122,160,The roast meat ,0.0,160,Gary  please ,0.0,160,The confusion ,0.0,160,They re grilling ,0.0061,160,grilling,0.0122,160,Grill,0.0122,160,The grids,0.0,160,Fries,0.0,160,Glue,0.0,160,heating,0.0
161,furniture for small spaces,0.0283,161,Small space furniture ,0.0283,161,Furniture in a small space ,0.0283,161,Furniture for small places  ,0.0023,161,Furniture for small spaces,0.0283,161,furniture for small spaces,0.0283,161,Furniture for small rooms,0.001,161,furniture for small rooms,0.001,161,furniture for small space,0.0283,161,Furniture for small spaces,0.0283,161,furniture for small space,0.0283
162,dnr,0.0346,162,Other things ,0.0,162,Double that ,0.0,162,A ,,162,This is it ,,162,Other,0.0,162,The Commission,0.0,162,The DNR,0.0346,162,DN,0.0,162,The D M C ,0.0,162,Dr ,0.0
163,arkansas,0.0303,163,The state of Arkansas  USA,0.0257,163,Arkansas ,0.0303,163,Arkansas  ,0.0303,163,Arkansas ,0.0303,163,The Arkansas,0.0303,163,Arkansas,0.0303,163,Arkansas,0.0303,163,Arkansas,0.0303,163,Arkansas,0.0303,163,Arkansas,0.0303
164,hobby stores,0.0329,164,The hobby shop ,0.0166,164,It s a hobby shop ,0.0188,164,Interested shops,0.0,164,The entertainment shops,0.0,164,leisure business,0.0,164,Hobby shops,0.0166,164,Hobby shops,0.0166,164,hobby shop,0.0166,164,The entertainment shops,0.0,164,entertainment shops,0.0
165,blue throated hummingbird,0.0018,165,The blue throated fellow humans ,0.0,165,Colliver with a blue neck ,0.0,165,The blue throated Alliance bird  ,0.0,165,It s the same blue collar ,0.0,165,Blue throated hummingbird,0.0018,165,Other  of a kind used for the manufacture of goods of heading     ,0.0,165,The blue throat of a cobbler,0.0,165,Blue footed hummingbirds,0.0004,165,The blue collared Olympic,0.0,165,blue throated hummingbird,0.0018
166,computer programming,0.0051,166,Computer programming ,0.0051,166,Computer programming,0.0051,166,Computer programming,0.0051,166,Computer programming,0.0051,166,computer programming,0.0051,166,Computer programming,0.0051,166,computer programming,0.0051,166,Computer programming,0.0051,166,computer programming,0.0051,166,computer programs,0.0051
167,barbados,0.0186,167,Fish ,0.0,167,Barbados,0.0186,167,Barbados  ,0.0186,167,It s ruined ,0.0,167,The Beards,0.0,167,The following is the list of countries ,0.0,167,Barbados,0.0186,167,Armed,0.0,167,Barbados,0.0186,167,drug industries,0.0
168,lipoma,0.2925,168,The tumor ,0.0,168,I have a lymphoma ,0.0,168,Aciditis  ,0.0,168,The lipum ,0.0,168,Lipoma,0.2925,168,Lipomas and other,0.228,168,liposomes,0.0,168,Lipomas,0.2925,168,bone marrow,0.0,168,when the disease,0.0
169,battles in the civil war,0.0868,169,Civil War,0.0019,169,The Civil War ,0.0019,169,Your battles in the Civil War  ,0.0814,169,Civil War battles,0.0868,169,battles of the civil war,0.0868,169,Battles in the Civil War,0.0868,169,battles in the civil war,0.0868,169,The Civil War,0.0019,169,The Civil War was a period of civil war ,0.0013,169,civil war,0.0019
170,scooters,0.0055,170,The scooter ,0.0055,170,The scooter ,0.0055,170,The bikes  ,0.0,170,The scooters ,0.0055,170,the scooters,0.0055,170,Motor vehicles,0.0,170,The motorcycle,0.0,170,scooter,0.0055,170,scooters,0.0055,170,motorcycle,0.0
171,ron howard,0.1245,171,Ron Howard ,0.1245,171,  What ,0.0,171,Ron Howard  ,0.1245,171,Ron Howard ,0.1245,171,Ron Howard,0.1245,171,Ron Howard,0.1245,171,Ron Howard,0.1245,171,Ron Howard,0.1245,171,Ron Howard,0.1245,171,Ron Howard,0.1245
172,becoming a paralegal,0.2168,172,I became a legal assistant ,0.0057,172,The legal profession ,0.002,172,Become a legal assistant  ,0.0351,172,Becoming a lawyer ,0.0004,172,become a paramilitary,0.0,172,Becoming a lawyer,0.0004,172,become a legal assistant,0.0351,172,Become a paralegal,0.2168,172,Legal aid,0.0,172,to be a legal assistant,0.0072
173,hip fractures,0.3259,173,The fracture ,0.0497,173,A fracture of the hip ,0.3259,173,Broken hip  ,0.0326,173,Joint fractures,0.0244,173,fractures of the hip,0.3259,173,Hip fractures,0.3259,173,hip fractures,0.3259,173,a broken hip,0.0326,173,Hip fractures,0.3259,173,a broken ankle,0.0002
174,rock art,0.1006,174,Rock art ,0.1006,174,Rock art,0.1006,174,The art of rock  ,0.1006,174,Rock art ,0.1006,174,Art rock,0.1006,174,Rock art,0.1006,174,Rock art,0.1006,174,Rock art,0.1006,174,rock art,0.1006,174,rock art,0.1006
175,signs of a heartattack,0.0255,175,Signs of heart attack ,0.0912,175,Signs of a heart attack,0.0912,175,Signs of a heart attack  ,0.0912,175,Signs of a heart attack ,0.0912,175,signs of heart attack,0.0912,175,Signs of a Heart Attack,0.0912,175,signs of heart attack,0.0912,175,Signs of a heart attack,0.0912,175,The symptoms of a heart attack,0.0767,175,signs of heart attack,0.0912
176,weather strip,0.0004,176,Weather conditions ,0.0,176,Weather,0.0,176,The weather tape  ,0.0,176,The weather line ,0.0,176,Weather band,0.0,176,Weather strips,0.0004,176,weather band,0.0,176,Weather tracks,0.0,176,Weather trajectory,0.0,176,Weather line,0.0
