qid,abstractqueryexpansion,abstractqueryexpansion.qld.recip_rank,qid,backtranslation_yue_hant,backtranslation_yue_hant.qld.recip_rank,qid,backtranslation_kor_hang,backtranslation_kor_hang.qld.recip_rank,qid,backtranslation_arb_arab,backtranslation_arb_arab.qld.recip_rank,qid,backtranslation_pes_arab,backtranslation_pes_arab.qld.recip_rank,qid,backtranslation_fra_latn,backtranslation_fra_latn.qld.recip_rank,qid,backtranslation_deu_latn,backtranslation_deu_latn.qld.recip_rank,qid,backtranslation_rus_cyrl,backtranslation_rus_cyrl.qld.recip_rank,qid,backtranslation_zsm_latn,backtranslation_zsm_latn.qld.recip_rank,qid,backtranslation_tam_taml,backtranslation_tam_taml.qld.recip_rank,qid,backtranslation_swh_latn,backtranslation_swh_latn.qld.recip_rank
151,403b,1.0,151,   b ,0.0,151,   b,0.0,151,   b  ,0.0,151,   b,0.0,151,   b,0.0,151,Other articles,0.0,151,   b,0.0,151,   b,0.0,151,   b,0.0,151,   b,0.0
152,angular cheilitis,0.0,152,Coronary artery disease ,0.0,152,The angle of the salt,0.0,152,Corner head inflammation  ,0.0,152,It s a corner ,0.0,152,angular sheability,0.0,152,Other  of a kind used for the manufacture of goods,0.0,152,The corner helite,0.0,152,angular paralysis,0.0,152,angular curvature,0.0,152,angular chelulitis,0.0
153,pocono,0.3333,153,Poconno ,0.0,153,Pocono is here ,0.3333,153,The bocone  ,0.0,153,The pooch ,0.0,153,Pocono,0.3333,153,Pocono,0.3333,153,The Poconos,0.3333,153,Pocono is,0.3333,153,the bogono,0.0,153,Better,0.0
154,figs,0.0909,154,The tree ,0.0,154,I don t know ,0.0,154,The fig  ,0.0909,154,The figs ,0.0909,154,the figs,0.0909,154,Figs,0.0909,154,The figs,0.0909,154,figs,0.0909,154,The fig trees,1.0,154,figs,0.0909
155,last supper painting,1.0,155,The last dinner drawing ,0.0,155,Last dinner painting,0.2,155,The last painting ,0.0909,155,The last painting dinner ,0.2,155,Last table,0.0,155,Last supper painting,1.0,155,The last picture  ,0.0,155,Last dinner painting,0.2,155,The painting depicts the Last Supper,0.5,155,picture of the last supper,0.125
156,university of phoenix,0.5,156,The University of Nix ,0.0,156,The University of Phoenix,0.5,156,The University of Phoenix  ,0.5,156,The University of Phoenix ,0.5,156,University of Phoenix,0.5,156,University of Phoenix,0.5,156,The University of Phoenix,0.5,156,The University of Phoenix,0.5,156,The University of Phoenix,0.5,156,the University of Phoenix,0.5
157,the beatles rock band,0.1667,157,The Beatles ,0.0059,157,The Beatles are rock band ,0.1667,157,The Beatles  ,0.0059,157,The rock band The Beatles ,0.1667,157,the Beatles rock band,0.1667,157,The Beatles rock band,0.1667,157,The Beatles rock band,0.1667,157,The Beatles rock band,0.1667,157,The Beatles were a rock band ,0.037,157,The Beatles rock band,0.1667
158,septic system design,1.0,158,The design of the seven spin system ,0.0,158,Design of the septic system,1.0,158,The design of the decentralized system,0.0833,158,Design of the septic system,1.0,158,design of the septic system,1.0,158,Design of the septic system,1.0,158,the construction of the septic system,1.0,158,design of septic systems,1.0,158,Design of the septic system,1.0,158,design of septic system,1.0
159,porterville,0.3333,159,Portville  the city of Portville ,0.0,159,I m not sure ,0.0,159,Porterville  ,0.3333,159,Portroyl ,,159,Portreville,,159,Portville,0.0,159,I  m not here  ,0.0,159,The porterville,0.3333,159,Portville,0.0,159,Porterville,0.3333
160,grilling,0.0128,160,The roast meat ,0.0,160,Gary  please ,0.0,160,The confusion ,0.0,160,They re grilling ,0.0047,160,grilling,0.0128,160,Grill,0.0128,160,The grids,0.0,160,Fries,0.0,160,Glue,0.0,160,heating,0.0
161,furniture for small spaces,0.037,161,Small space furniture ,0.037,161,Furniture in a small space ,0.037,161,Furniture for small places  ,0.0139,161,Furniture for small spaces,0.037,161,furniture for small spaces,0.037,161,Furniture for small rooms,0.0042,161,furniture for small rooms,0.0042,161,furniture for small space,0.037,161,Furniture for small spaces,0.037,161,furniture for small space,0.037
162,dnr,0.0833,162,Other things ,0.0,162,Double that ,0.0,162,A ,,162,This is it ,,162,Other,0.0,162,The Commission,0.0,162,The DNR,0.0833,162,DN,0.0,162,The D M C ,0.0,162,Dr ,0.0
163,arkansas,0.025,163,The state of Arkansas  USA,1.0,163,Arkansas ,0.025,163,Arkansas  ,0.025,163,Arkansas ,0.025,163,The Arkansas,0.025,163,Arkansas,0.025,163,Arkansas,0.025,163,Arkansas,0.025,163,Arkansas,0.025,163,Arkansas,0.025
164,hobby stores,0.0556,164,The hobby shop ,0.0476,164,It s a hobby shop ,0.25,164,Interested shops,0.0,164,The entertainment shops,0.0,164,leisure business,0.0,164,Hobby shops,0.0476,164,Hobby shops,0.0476,164,hobby shop,0.0476,164,The entertainment shops,0.0,164,entertainment shops,0.0
165,blue throated hummingbird,0.0286,165,The blue throated fellow humans ,0.0,165,Colliver with a blue neck ,0.0,165,The blue throated Alliance bird  ,0.0,165,It s the same blue collar ,0.0,165,Blue throated hummingbird,0.0286,165,Other  of a kind used for the manufacture of goods of heading     ,0.0,165,The blue throat of a cobbler,0.0,165,Blue footed hummingbirds,0.0042,165,The blue collared Olympic,0.0,165,blue throated hummingbird,0.0286
166,computer programming,0.0167,166,Computer programming ,0.0167,166,Computer programming,0.0167,166,Computer programming,0.0167,166,Computer programming,0.0167,166,computer programming,0.0167,166,Computer programming,0.0167,166,computer programming,0.0167,166,Computer programming,0.0167,166,computer programming,0.0167,166,computer programs,0.0167
167,barbados,0.0294,167,Fish ,0.0,167,Barbados,0.0294,167,Barbados  ,0.0294,167,It s ruined ,0.0,167,The Beards,0.0,167,The following is the list of countries ,0.0,167,Barbados,0.0294,167,Armed,0.0,167,Barbados,0.0294,167,drug industries,0.0
168,lipoma,0.5,168,The tumor ,0.0,168,I have a lymphoma ,0.0,168,Aciditis  ,0.0,168,The lipum ,0.0,168,Lipoma,0.5,168,Lipomas and other,0.2,168,liposomes,0.0,168,Lipomas,0.5,168,bone marrow,0.0,168,when the disease,0.0
169,battles in the civil war,0.0345,169,Civil War,0.0286,169,The Civil War ,0.0286,169,Your battles in the Civil War  ,0.0345,169,Civil War battles,0.0345,169,battles of the civil war,0.0345,169,Battles in the Civil War,0.0345,169,battles in the civil war,0.0345,169,The Civil War,0.0286,169,The Civil War was a period of civil war ,0.0135,169,civil war,0.0286
170,scooters,0.0041,170,The scooter ,0.0041,170,The scooter ,0.0041,170,The bikes  ,0.0,170,The scooters ,0.0041,170,the scooters,0.0041,170,Motor vehicles,0.0,170,The motorcycle,0.0,170,scooter,0.0041,170,scooters,0.0041,170,motorcycle,0.0
171,ron howard,1.0,171,Ron Howard ,1.0,171,  What ,0.0,171,Ron Howard  ,1.0,171,Ron Howard ,1.0,171,Ron Howard,1.0,171,Ron Howard,1.0,171,Ron Howard,1.0,171,Ron Howard,1.0,171,Ron Howard,1.0,171,Ron Howard,1.0
172,becoming a paralegal,0.3333,172,I became a legal assistant ,0.0217,172,The legal profession ,0.0152,172,Become a legal assistant  ,0.25,172,Becoming a lawyer ,0.0061,172,become a paramilitary,0.0,172,Becoming a lawyer,0.0061,172,become a legal assistant,0.25,172,Become a paralegal,0.3333,172,Legal aid,0.0,172,to be a legal assistant,0.0123
173,hip fractures,0.25,173,The fracture ,0.0556,173,A fracture of the hip ,0.25,173,Broken hip  ,1.0,173,Joint fractures,0.1429,173,fractures of the hip,0.25,173,Hip fractures,0.25,173,hip fractures,0.25,173,a broken hip,1.0,173,Hip fractures,0.25,173,a broken ankle,0.0115
174,rock art,0.1111,174,Rock art ,0.1111,174,Rock art,0.1111,174,The art of rock  ,0.1111,174,Rock art ,0.1111,174,Art rock,0.1111,174,Rock art,0.1111,174,Rock art,0.1111,174,Rock art,0.1111,174,rock art,0.1111,174,rock art,0.1111
175,signs of a heartattack,1.0,175,Signs of heart attack ,0.5,175,Signs of a heart attack,0.5,175,Signs of a heart attack  ,0.5,175,Signs of a heart attack ,0.5,175,signs of heart attack,0.5,175,Signs of a Heart Attack,0.5,175,signs of heart attack,0.5,175,Signs of a heart attack,0.5,175,The symptoms of a heart attack,0.5,175,signs of heart attack,0.5
176,weather strip,0.007,176,Weather conditions ,0.0,176,Weather,0.0,176,The weather tape  ,0.0,176,The weather line ,0.0,176,Weather band,0.0,176,Weather strips,0.007,176,weather band,0.0,176,Weather tracks,0.0,176,Weather trajectory,0.0,176,Weather line,0.0
177,best long term care insurance,0.0435,177,The best long term insurance ,0.0588,177,The best long term care insurance ,0.0435,177,Best long term care insurance  ,0.0435,177,The best long term care insurance ,0.0435,177,the best insurance for long term care,0.0435,177,Best long term care insurance,0.0435,177,Best long term care insurance,0.0435,177,the best long term care insurance,0.0435,177,Best long term care insurance,0.0435,177,Best long term insurance service,0.1111
178,pork tenderloin,0.0667,178,The pork ,0.0088,178,It s a pig ,0.0,178,The pork ,0.0088,178,Pork ,0.0088,178,pork wool,0.0,178,Meat of swine,0.0,178,Pig meat,0.0,178,Pork,0.0088,178,Pork,0.0088,178,pork,0.0088
179,black history,0.0333,179,The history of the black people ,0.0135,179,The black market ,0.0,179,The history of the black people  ,0.0135,179,The black history ,0.0333,179,black story,0.0,179,The black history,0.0333,179,The black story,0.0,179,The history of black,0.0333,179,The history of the Black,0.0333,179,history of blacks,0.0333
180,newyork hotels,0.125,180,This is a hotel in New York City ,0.0071,180,Hotel in New York ,0.5,180,The hotels in New York  ,0.5,180,The hotels in New York ,0.5,180,hotels in New York,0.5,180,Hotels in New York,0.5,180,hotels in New York,0.5,180,hotel in New York,0.5,180,New York hotels,0.5,180,hotels in New York,0.5
181,old coins,0.1429,181,It s old ,0.0,181,Old coins ,0.1429,181,Old coins  ,0.1429,181,Old coins ,0.1429,181,old coins,0.1429,181,Other coins,0.0102,181,old coins,0.1429,181,Old coins,0.1429,181,Old coins,0.1429,181,ancient coins,0.0013
182,quit smoking,0.1111,182,Quit smoking ,0.1111,182,Stop smoking ,0.5,182,Quit smoking  ,0.1111,182,Quit smoking,0.1111,182,quit smoking,0.1111,182,Quit Smoking,0.1111,182,to quit smoking,0.1111,182,Stop smoking,0.5,182,Stop smoking,0.5,182,quit smoking,0.1111
183,kansas city mo,0.0112,183,Kansas City ,0.0091,183,Kansas City  Mo ,0.0112,183,Kansas City  ,0.0091,183,Kansas City ,0.0091,183,Kansas City is not,0.0091,183,Kansas City Mo,0.0112,183,Kansas City,0.0091,183,Kansas City mo,0.0112,183,Kansas City,0.0091,183,Kansas City Mo,0.0112
184,civil right movement,0.0769,184,Civil rights movement,0.0769,184,The Civil Rights Movement,0.0769,184,The civil movement  ,0.0435,184,Civil rights movement,0.0769,184,civil rights movement,0.0769,184,The European Parliament,0.0,184,the civil law,0.0102,184,civil rights movement,0.0769,184,Civil rights movement,0.0769,184,civil rights movement,0.0769
185,credit report,0.0154,185,Credit reports ,0.0154,185,Credit reports ,0.0154,185,Credit report,0.0154,185,Credit report,0.0154,185,credit report,0.0154,185,Credit report,0.0154,185,credit reporting,0.0154,185,credit report,0.0154,185,credit report,0.0154,185,report on credit,0.0154
186,unc,0.0714,186,Select themes,0.0,186,I m not sure ,0.0,186,On the Sea  ,0.0,186,Unc ,0.0714,186,unc,0.0714,186,Unc,0.0714,186, c ,0.0,186,Unc,0.0714,186,A ,,186,the unc,0.0714
187,vanuatu,0.1667,187,This is Vanua ,0.0,187,I m going to Vanuatu ,0.0625,187,What is it ,0.0,187,The van ,0.0,187,the vanuatu,0.1667,187,of the,,187,The Venue,0.0,187,Vanuatu is a country,0.3333,187,forest,0.0,187,Who are they ,0.0
188,internet phone service,0.0076,188,Internet phone service,0.0076,188,Internet telephone service,0.0033,188,Internet telephone service,0.0033,188,Internet telephone service,0.0033,188,telephone and Internet service,0.0033,188,Internet telephone service,0.0033,188,Internet telephone service,0.0033,188,Internet service telephone,0.0033,188,Internet telephone service,0.0033,188,Internet telephone service,0.0033
