qid,abstractqueryexpansion,abstractqueryexpansion.bm25.recip_rank,star_model_count,method.1,metric.1,query.1,method.2,metric.2,query.2,method.3,metric.3,query.3,method.4,metric.4,query.4,method.5,metric.5,query.5,method.6,metric.6,query.6,method.7,metric.7,query.7,method.8,metric.8,query.8,method.9,metric.9,query.9,method.10,metric.10,query.10
101,ritz carlton lake las vegas,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,fickle creek farm,0.0323,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,madam cj walker,0.5,1,backtranslation_rus_cyrl,1.0,Madam K  Walker   please  ,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,indiana child support,0.25,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,sonoma county medical services,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,universal animal cuts reviews,0.25,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,cass county missouri,0.1667,1,backtranslation_yue_hant,1.0,Cass County  Missouri  is located in the state of Missouri ,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,ralph owen brewster,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,mayo clinic jacksonville fl,0.0065,4,backtranslation_arb_arab,0.1,The Mayo Clinic in Jacksonville  ,backtranslation_fra_latn,0.1,The Mayo Clinic in Jacksonville,backtranslation_deu_latn,0.0167,The Mayo Clinic in Jacksonville  Florida,backtranslation_rus_cyrl,0.0167,The Mayo Clinic in Jacksonville  Florida,,,,,,,,,,,,,,,,,,
110,map of brazil,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,lymphoma in dogs,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,kenmore gas water heater,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,hp mini 2140,0.1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,adobe indian houses,0.25,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,pacific northwest laboratory,0.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,california franchise tax board,0.1667,4,backtranslation_yue_hant,1.0,The California Franchise Tax Agency,backtranslation_pes_arab,1.0,The California franchise tax agency ,backtranslation_rus_cyrl,1.0,California Council on Franchise Taxes,backtranslation_kor_hang,0.3333,The California Franchise Tax Commission,,,,,,,,,,,,,,,,,,
117,dangers of asbestos,0.5,2,backtranslation_deu_latn,1.0,Hazards of asbestos,backtranslation_zsm_latn,1.0,Asbestos hazards,,,,,,,,,,,,,,,,,,,,,,,,
118,poem in your pocket day,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,interview thank you,0.25,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,tv on computer,0.1667,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,sit and reach test,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,culpeper national cemetery,0.3333,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
