qid,abstractqueryexpansion,abstractqueryexpansion.bm25.map,star_model_count,method.1,metric.1,query.1,method.2,metric.2,query.2
51,horse hooves,0.2266,0,,,,,,
52,avp,0.1492,0,,,,,,
53,discovery channel store,0.1063,0,,,,,,
54,president of the united states,0.1947,0,,,,,,
55,iron,0.0875,0,,,,,,
56,uss yorktown charleston sc,0.0194,0,,,,,,
57,ct jobs,0.2348,0,,,,,,
58,penguins,0.08,0,,,,,,
59,how to build a fence,0.0207,0,,,,,,
60,bellevue,0.1591,0,,,,,,
61,worm,0.0366,0,,,,,,
62,texas border patrol,0.3732,0,,,,,,
63,flushing,0.1089,0,,,,,,
64,moths,0.1153,0,,,,,,
65,korean language,0.2277,0,,,,,,
66,income tax return online,0.003,1,backtranslation_yue_hant,0.006,Tax returns online,,,
67,vldl levels,0.1303,0,,,,,,
68,pvc,0.0534,0,,,,,,
69,sewing instructions,0.1198,0,,,,,,
70,to be or not to be that is the question,0.0,0,,,,,,
71,living in india,0.0047,0,,,,,,
72,the sun,0.0007,0,,,,,,
73,neil young,0.2316,0,,,,,,
74,kiwi,0.0173,0,,,,,,
75,tornadoes,0.3511,0,,,,,,
76,raised gardens,0.268,0,,,,,,
77,bobcat,0.0369,0,,,,,,
78,dieting,0.0027,0,,,,,,
79,voyager,0.0476,0,,,,,,
80,keyboard reviews,0.1716,0,,,,,,
81,afghanistan,0.0513,1,backtranslation_yue_hant,0.1049,Afghanistan is a country ,,,
82,joints,0.0453,0,,,,,,
83,memory,0.0,0,,,,,,
84,continental plates,0.3671,0,,,,,,
85,milwaukee journal sentinel,0.063,2,backtranslation_pes_arab,0.0677,The Milwaukee Sentinel ,backtranslation_swh_latn,0.0677,The Milwaukee Sentinel
86,bart sf,0.372,0,,,,,,
87,who invented music,0.0248,0,,,,,,
88,forearm pain,0.1686,0,,,,,,
89,ocd,0.2337,0,,,,,,
90,mgb,0.0916,0,,,,,,
91,er tv show,0.0927,0,,,,,,
92,the wall,0.0004,0,,,,,,
93,raffles,0.0474,0,,,,,,
94,titan,0.0103,0,,,,,,
95,earn money at home,,0,,,,,,
96,rice,0.0932,0,,,,,,
97,south africa,0.0248,0,,,,,,
98,sat,0.0708,0,,,,,,
99,satellite,0.0168,0,,,,,,
100,rincon puerto rico,,0,,,,,,
