qid,abstractqueryexpansion,abstractqueryexpansion.bm25.map,qid,backtranslation_yue_hant,backtranslation_yue_hant.bm25.map,qid,backtranslation_kor_hang,backtranslation_kor_hang.bm25.map,qid,backtranslation_arb_arab,backtranslation_arb_arab.bm25.map,qid,backtranslation_pes_arab,backtranslation_pes_arab.bm25.map,qid,backtranslation_fra_latn,backtranslation_fra_latn.bm25.map,qid,backtranslation_deu_latn,backtranslation_deu_latn.bm25.map,qid,backtranslation_rus_cyrl,backtranslation_rus_cyrl.bm25.map,qid,backtranslation_zsm_latn,backtranslation_zsm_latn.bm25.map,qid,backtranslation_tam_taml,backtranslation_tam_taml.bm25.map,qid,backtranslation_swh_latn,backtranslation_swh_latn.bm25.map
1,obama family tree,0.348,1,The Obama family tree ,0.348,1,The Obama family tree ,0.348,1,The Obama family tree  ,0.348,1,The Obama family tree ,0.348,1,Obama family tree,0.348,1,Obama family tree,0.348,1,The tree of joy,0.0,1,Obama family tree,0.348,1,Obama s family tree,0.4166,1,Obama family tree,0.348
2,french lick resort and casino,0.2565,2,French wine and gambling ,0.0002,2,French Ricoh Resorts and Casinos,0.0623,2,French Lake Resort and Casino ,0.0102,2,French Resorts and Casinos,0.0917,2,French Lick Resort and Casino,0.2565,2,French Lick Resort and Casino,0.2565,2,French resort and casino,0.0917,2,French Lick Resort and Casino,0.2565,2,French League Resort and Casino,0.021,2,French lick resort and casino,0.2565
3,getting organized,0.1262,3,Organize yourself ,0.0021,3,It s organizing ,0.0,3,The organization  ,0.0001,3,They re organized ,0.0,3,get settled,0.0,3,organising themselves,0.0,3,organizing,0.0001,3,organized,0.0001,3,organizing,0.0001,3,Organized,0.0001
4,toilet,0.0588,4,The toilet ,0.0588,4,The bathroom ,0.0,4,The toilet  ,0.0588,4,The toilet ,0.0588,4,toilet,0.0588,4,Toilet,0.0588,4,The toilet,0.0588,4,toilet,0.0588,4,toilet,0.0588,4,toilets,0.0588
5,mitchell college,0.0075,5,Mitchell College is a great place to go ,0.0003,5,Mitchell College,0.0075,5,Mitchell College  ,0.0075,5,Mitchell College ,0.0075,5,Mitchell college,0.0075,5,Mitchell College,0.0075,5,Mitchell College,0.0075,5,Mitchell College,0.0075,5,Michael College,0.0,5,Mitchell college,0.0075
6,kcs,0.0024,6,It s not ,0.0,6,Kcs,0.0024,6,The equipment  ,0.0,6,The computer ,0.0,6,the cts,0.0,6,CCS,0.0,6,The KC,0.0024,6,Kcs,0.0024,6,Kilometers,0.0,6,the kcs,0.0024
7,air travel information,0.1176,7,Air travel information,0.1176,7,Air travel information,0.1176,7,Air travel information,0.1176,7,Air travel information,0.1176,7,Information on air travel,0.1176,7,Air travel information,0.1176,7,Information about air travel,0.075,7,Air travel information,0.1176,7,Air travel information,0.1176,7,Air travel news,0.0496
8,appraisals,0.0117,8,The evaluation ,0.0,8,The evaluation,0.0,8,The ratings,0.0,8,The evaluations,0.0,8,the evaluations,0.0,8,The following are the results of the evaluations ,0.0,8,The ratings,0.0,8,The assessment,0.0,8,Assessments,0.0,8,Evaluate the situation,0.0
9,used car parts,0.0899,9,It s a car part ,0.0006,9,Used car parts,0.0899,9,Used car parts,0.0899,9,Used car parts ,0.0899,9,Used car parts,0.0899,9,Parts of used vehicles,0.0,9,parts for cars,0.0762,9,Used car parts,0.0899,9,Used vehicle parts,0.0,9,used car parts,0.0899
10,cheap internet,0.0127,10,Cheap Internet ,0.0127,10,Cheap Internet,0.0127,10,The internet is cheap ,0.0127,10,The Internet is cheap ,0.0127,10,Cheap Internet,0.0127,10,Cheap Internet,0.0127,10,cheap internet,0.0127,10,Cheap internet,0.0127,10,Cheap Internet,0.0127,10,cheap internet,0.0127
11,gmat prep classes,0.2165,11,Primary school ,0.0,11,Gmat prep class,0.2165,11,Teacher preparation classes,0.0,11,Preparatory classes,0.0,11,Preparatory school,0.0,11,Preparation hours for the Gmat study,0.0844,11,Classes on preparation for gymnasium,0.0,11,Gmat preparation class,0.1315,11,Comat preparation classes,0.0,11,the preparation class for gmat,0.1315
12,djs,0.0414,12,Other things ,0.0,12,I m not sure ,0.0,12,The DGS  ,0.0,12,J J ,0.0,12,Other,0.0,12,DJs,0.0414,12,  What  ,0.0,12,The Djs,0.0414,12,JS,0.0,12,The D J S ,0.0
13,map,0.0538,13,The picture ,0.0,13,Map of the world,0.0,13,A map  ,0.0538,13,The plan ,0.0,13,map,0.0538,13,Map,0.0538,13,Map of the city,0.0,13,Map,0.0538,13,map,0.0538,13,Map of the area,0.0
14,dinosaurs,0.0428,14,The dinosaurs ,0.0428,14,The dinosaurs ,0.0428,14,The dinosaurs  ,0.0428,14,The dinosaurs ,0.0428,14,the dinosaurs,0.0428,14,Other animals,0.0,14,The dinosaurs,0.0428,14,The dinosaurs,0.0428,14,The Dinosaurs,0.0428,14,dinosaurs,0.0428
15,espn sports,0.2365,15,Exercise,0.0,15,Sports,0.0,15,Sports  ,0.0,15,Sports,0.0,15,sports,0.0,15,Sports,0.0,15,sports,0.0,15,sports,0.0,15,games,0.0,15,sports spn,0.0
16,arizona game and fish,0.1855,16,Arizona wildlife and fish ,0.0311,16,Arizona  wildlife and fish ,0.0311,16,Arizona fishing and boating  ,0.0627,16,And the Arizona fish ,0.0986,16,Arizona hunting and fishing,0.0939,16,Arizona Wild and Fish,0.0049,16,Fish and wild fish Arizona,0.0085,16,Arizona game and fish,0.1855,16,Arizona hunting and fishing,0.0939,16,Arizona game and fish,0.1855
17,poker tournaments,0.0945,17,The poker tournament ,0.0945,17,The poker tournament ,0.0945,17,The poker tournaments  ,0.0945,17,Poker tournaments,0.0945,17,poker tournaments,0.0945,17,Poker tournaments,0.0945,17,poker tournaments,0.0945,17,poker tournaments,0.0945,17,Poker tournaments,0.0945,17,poker tournaments,0.0945
18,wedding budget calculator,0.0739,18,A wedding budget calculator ,0.0739,18,The wedding budget calculator,0.0739,18,Accounting for the wedding budget,0.0131,18,The wedding car budget account ,0.0009,18,wedding budget calculator,0.0739,18,Wedding budget calculator,0.0739,18,The wedding budget calculator,0.0739,18,marriage estimate calculator,0.0,18,Marriage Budget Survey,0.0,18,budget calculator for a wedding,0.0739
