qid,abstractqueryexpansion,abstractqueryexpansion.qld.map,star_model_count,method.1,metric.1,query.1,method.2,metric.2,query.2,method.3,metric.3,query.3,method.4,metric.4,query.4,method.5,metric.5,query.5,method.6,metric.6,query.6,method.7,metric.7,query.7,method.8,metric.8,query.8,method.9,metric.9,query.9,method.10,metric.10,query.10
1,obama family tree,0.0674,1,backtranslation_tam_taml,0.0833,Obama s family tree,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,french lick resort and casino,0.2019,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,getting organized,0.1006,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,toilet,0.0594,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,mitchell college,0.0027,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,kcs,0.0024,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,air travel information,0.1116,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,appraisals,0.0123,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,used car parts,0.0821,1,backtranslation_rus_cyrl,0.0951,parts for cars,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,cheap internet,0.0287,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,gmat prep classes,0.2125,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,djs,0.0411,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,map,0.0537,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,dinosaurs,0.0455,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,espn sports,0.2217,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,arizona game and fish,0.1585,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,poker tournaments,0.0712,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,wedding budget calculator,0.101,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,the current,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,defender,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,volvo,0.2773,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,rick warren,0.3108,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,yahoo,0.0048,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,diversity,0.0808,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,euclid,0.1694,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,lower heart rate,0.1014,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,starbucks,0.1012,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,inuyasha,0.1619,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,ps 2 games,0.0101,10,backtranslation_yue_hant,0.013,PS   game ,backtranslation_kor_hang,0.013,PS  game,backtranslation_arb_arab,0.013,PS   games,backtranslation_pes_arab,0.013,PS  game,backtranslation_fra_latn,0.013,PS   games,backtranslation_deu_latn,0.013,PS   Games,backtranslation_rus_cyrl,0.013,PS  of the game,backtranslation_zsm_latn,0.013,PS  game,backtranslation_tam_taml,0.013,ps   games,backtranslation_swh_latn,0.013,PS   games
30,diabetes education,0.1146,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,atari,0.2842,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,website design hosting,0.035,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,elliptical trainer,0.2794,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,cell phones,0.0195,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,hoboken,0.3383,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,gps,0.0461,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,pampered chef,0.0349,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,dogs for adoption,0.0512,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,disneyland hotel,0.0618,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,michworks,0.0397,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,orange county convention center,0.0596,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,the music man,0.0037,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,the secret garden,0.2192,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,map of the united states,0.0243,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,solar panels,0.1316,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,alexian brothers hospital,0.322,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,indexed annuity,0.1519,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,wilson antenna,0.0287,1,backtranslation_tam_taml,0.0455,Wilson radio,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,flame designs,0.1548,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,dog heat,0.0183,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
