qid,abstractqueryexpansion,abstractqueryexpansion.qld.map,qid,backtranslation_yue_hant,backtranslation_yue_hant.qld.map,qid,backtranslation_kor_hang,backtranslation_kor_hang.qld.map,qid,backtranslation_arb_arab,backtranslation_arb_arab.qld.map,qid,backtranslation_pes_arab,backtranslation_pes_arab.qld.map,qid,backtranslation_fra_latn,backtranslation_fra_latn.qld.map,qid,backtranslation_deu_latn,backtranslation_deu_latn.qld.map,qid,backtranslation_rus_cyrl,backtranslation_rus_cyrl.qld.map,qid,backtranslation_zsm_latn,backtranslation_zsm_latn.qld.map,qid,backtranslation_tam_taml,backtranslation_tam_taml.qld.map,qid,backtranslation_swh_latn,backtranslation_swh_latn.qld.map
1,obama family tree,0.0674,1,The Obama family tree ,0.0674,1,The Obama family tree ,0.0674,1,The Obama family tree  ,0.0674,1,The Obama family tree ,0.0674,1,Obama family tree,0.0674,1,Obama family tree,0.0674,1,The tree of joy,0.0,1,Obama family tree,0.0674,1,Obama s family tree,0.0833,1,Obama family tree,0.0674
2,french lick resort and casino,0.2019,2,French wine and gambling ,0.0001,2,French Ricoh Resorts and Casinos,0.0239,2,French Lake Resort and Casino ,0.0058,2,French Resorts and Casinos,0.0249,2,French Lick Resort and Casino,0.2019,2,French Lick Resort and Casino,0.2019,2,French resort and casino,0.0249,2,French Lick Resort and Casino,0.2019,2,French League Resort and Casino,0.0241,2,French lick resort and casino,0.2019
3,getting organized,0.1006,3,Organize yourself ,0.0058,3,It s organizing ,0.0,3,The organization  ,0.0001,3,They re organized ,0.0,3,get settled,0.0,3,organising themselves,0.0,3,organizing,0.0001,3,organized,0.0001,3,organizing,0.0001,3,Organized,0.0001
4,toilet,0.0594,4,The toilet ,0.0594,4,The bathroom ,0.0,4,The toilet  ,0.0594,4,The toilet ,0.0594,4,toilet,0.0594,4,Toilet,0.0594,4,The toilet,0.0594,4,toilet,0.0594,4,toilet,0.0594,4,toilets,0.0594
5,mitchell college,0.0027,5,Mitchell College is a great place to go ,0.0015,5,Mitchell College,0.0027,5,Mitchell College  ,0.0027,5,Mitchell College ,0.0027,5,Mitchell college,0.0027,5,Mitchell College,0.0027,5,Mitchell College,0.0027,5,Mitchell College,0.0027,5,Michael College,0.0,5,Mitchell college,0.0027
6,kcs,0.0024,6,It s not ,0.0,6,Kcs,0.0024,6,The equipment  ,0.0,6,The computer ,0.0,6,the cts,0.0,6,CCS,0.0,6,The KC,0.0024,6,Kcs,0.0024,6,Kilometers,0.0,6,the kcs,0.0024
7,air travel information,0.1116,7,Air travel information,0.1116,7,Air travel information,0.1116,7,Air travel information,0.1116,7,Air travel information,0.1116,7,Information on air travel,0.1116,7,Air travel information,0.1116,7,Information about air travel,0.1032,7,Air travel information,0.1116,7,Air travel information,0.1116,7,Air travel news,0.0743
8,appraisals,0.0123,8,The evaluation ,0.0,8,The evaluation,0.0,8,The ratings,0.0,8,The evaluations,0.0,8,the evaluations,0.0,8,The following are the results of the evaluations ,0.0,8,The ratings,0.0,8,The assessment,0.0,8,Assessments,0.0,8,Evaluate the situation,0.0
9,used car parts,0.0821,9,It s a car part ,0.0534,9,Used car parts,0.0821,9,Used car parts,0.0821,9,Used car parts ,0.0821,9,Used car parts,0.0821,9,Parts of used vehicles,0.0086,9,parts for cars,0.0951,9,Used car parts,0.0821,9,Used vehicle parts,0.0086,9,used car parts,0.0821
10,cheap internet,0.0287,10,Cheap Internet ,0.0287,10,Cheap Internet,0.0287,10,The internet is cheap ,0.0287,10,The Internet is cheap ,0.0287,10,Cheap Internet,0.0287,10,Cheap Internet,0.0287,10,cheap internet,0.0287,10,Cheap internet,0.0287,10,Cheap Internet,0.0287,10,cheap internet,0.0287
11,gmat prep classes,0.2125,11,Primary school ,0.0,11,Gmat prep class,0.2125,11,Teacher preparation classes,0.0,11,Preparatory classes,0.0,11,Preparatory school,0.0,11,Preparation hours for the Gmat study,0.1011,11,Classes on preparation for gymnasium,0.0,11,Gmat preparation class,0.1427,11,Comat preparation classes,0.0,11,the preparation class for gmat,0.1427
12,djs,0.0411,12,Other things ,0.0,12,I m not sure ,0.0,12,The DGS  ,0.0,12,J J ,0.0,12,Other,0.0,12,DJs,0.0411,12,  What  ,0.0,12,The Djs,0.0411,12,JS,0.0,12,The D J S ,0.0
