qid,abstractqueryexpansion,abstractqueryexpansion.qld.recip_rank,star_model_count,method.1,metric.1,query.1,method.2,metric.2,query.2,method.3,metric.3,query.3,method.4,metric.4,query.4,method.5,metric.5,query.5,method.6,metric.6,query.6,method.7,metric.7,query.7,method.8,metric.8,query.8,method.9,metric.9,query.9
151,403b,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,angular cheilitis,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,pocono,0.3333,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,figs,0.0909,1,backtranslation_tam_taml,1.0,The fig trees,,,,,,,,,,,,,,,,,,,,,,,,
155,last supper painting,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,university of phoenix,0.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,the beatles rock band,0.1667,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,septic system design,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,porterville,0.3333,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,grilling,0.0128,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,furniture for small spaces,0.037,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,dnr,0.0833,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,arkansas,0.025,1,backtranslation_yue_hant,1.0,The state of Arkansas  USA,,,,,,,,,,,,,,,,,,,,,,,,
164,hobby stores,0.0556,1,backtranslation_kor_hang,0.25,It s a hobby shop ,,,,,,,,,,,,,,,,,,,,,,,,
165,blue throated hummingbird,0.0286,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,computer programming,0.0167,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,barbados,0.0294,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,lipoma,0.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,battles in the civil war,0.0345,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,scooters,0.0041,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,ron howard,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,becoming a paralegal,0.3333,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,hip fractures,0.25,2,backtranslation_arb_arab,1.0,Broken hip  ,backtranslation_zsm_latn,1.0,a broken hip,,,,,,,,,,,,,,,,,,,,,
174,rock art,0.1111,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,signs of a heartattack,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,weather strip,0.007,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,best long term care insurance,0.0435,2,backtranslation_swh_latn,0.1111,Best long term insurance service,backtranslation_yue_hant,0.0588,The best long term insurance ,,,,,,,,,,,,,,,,,,,,,
178,pork tenderloin,0.0667,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,black history,0.0333,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,newyork hotels,0.125,9,backtranslation_kor_hang,0.5,Hotel in New York ,backtranslation_arb_arab,0.5,The hotels in New York  ,backtranslation_pes_arab,0.5,The hotels in New York ,backtranslation_fra_latn,0.5,hotels in New York,backtranslation_deu_latn,0.5,Hotels in New York,backtranslation_rus_cyrl,0.5,hotels in New York,backtranslation_zsm_latn,0.5,hotel in New York,backtranslation_tam_taml,0.5,New York hotels,backtranslation_swh_latn,0.5,hotels in New York
181,old coins,0.1429,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,quit smoking,0.1111,3,backtranslation_kor_hang,0.5,Stop smoking ,backtranslation_zsm_latn,0.5,Stop smoking,backtranslation_tam_taml,0.5,Stop smoking,,,,,,,,,,,,,,,,,,
183,kansas city mo,0.0112,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,civil right movement,0.0769,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,credit report,0.0154,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,unc,0.0714,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,vanuatu,0.1667,1,backtranslation_zsm_latn,0.3333,Vanuatu is a country,,,,,,,,,,,,,,,,,,,,,,,,
188,internet phone service,0.0076,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,gs pay rate,0.0323,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,brooks brothers clearance,0.2,1,backtranslation_kor_hang,1.0,The Brooks Brothers are promoted ,,,,,,,,,,,,,,,,,,,,,,,,
191,churchill downs,0.1429,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,condos in florida,0.0588,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,dog clean up bags,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,designer dog breeds,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,pressure washers,0.0093,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,sore throat,0.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,idaho state flower,0.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,indiana state fairgrounds,0.25,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,fybromyalgia,0.3333,5,backtranslation_pes_arab,0.5,Fibromyalgia,backtranslation_deu_latn,0.5,Fibromyalgia,backtranslation_rus_cyrl,0.5,Fibromyalgia,backtranslation_zsm_latn,0.5,Fibromyalgia,backtranslation_tam_taml,0.5,The first is the fact that the patient is suffering from fibromyalgia ,,,,,,,,,,,,
200,ontario california airport,0.1111,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
