qid,abstractqueryexpansion,abstractqueryexpansion.bm25.map,star_model_count,method.1,metric.1,query.1
1,obama family tree,0.348,1,backtranslation_tam_taml,0.4166,Obama s family tree
2,french lick resort and casino,0.2565,0,,,
3,getting organized,0.1262,0,,,
4,toilet,0.0588,0,,,
5,mitchell college,0.0075,0,,,
6,kcs,0.0024,0,,,
7,air travel information,0.1176,0,,,
8,appraisals,0.0117,0,,,
9,used car parts,0.0899,0,,,
10,cheap internet,0.0127,0,,,
11,gmat prep classes,0.2165,0,,,
12,djs,0.0414,0,,,
13,map,0.0538,0,,,
14,dinosaurs,0.0428,0,,,
15,espn sports,0.2365,0,,,
16,arizona game and fish,0.1855,0,,,
17,poker tournaments,0.0945,0,,,
18,wedding budget calculator,0.0739,0,,,
19,the current,0.0,0,,,
20,defender,0.0,0,,,
21,volvo,0.2776,0,,,
22,rick warren,0.3364,0,,,
23,yahoo,0.0046,0,,,
24,diversity,0.0803,0,,,
25,euclid,0.1683,0,,,
26,lower heart rate,0.0321,0,,,
27,starbucks,0.1008,0,,,
28,inuyasha,0.159,0,,,
29,ps 2 games,0.0064,0,,,
30,diabetes education,0.1434,0,,,
31,atari,0.2841,0,,,
32,website design hosting,0.0358,0,,,
33,elliptical trainer,0.2905,0,,,
34,cell phones,0.0192,0,,,
35,hoboken,0.3284,0,,,
36,gps,0.0464,0,,,
37,pampered chef,0.0426,0,,,
38,dogs for adoption,0.0615,0,,,
39,disneyland hotel,0.0705,0,,,
40,michworks,0.0397,0,,,
41,orange county convention center,0.147,0,,,
42,the music man,0.0068,0,,,
43,the secret garden,0.2561,0,,,
44,map of the united states,0.0337,0,,,
45,solar panels,0.1548,0,,,
46,alexian brothers hospital,0.3277,0,,,
47,indexed annuity,0.1705,0,,,
48,wilson antenna,0.0341,1,backtranslation_tam_taml,0.0447,Wilson radio
49,flame designs,0.2379,0,,,
50,dog heat,0.0244,0,,,
