qid,abstractqueryexpansion,abstractqueryexpansion.bm25.recip_rank,qid,backtranslation_yue_hant,backtranslation_yue_hant.bm25.recip_rank,qid,backtranslation_kor_hang,backtranslation_kor_hang.bm25.recip_rank,qid,backtranslation_arb_arab,backtranslation_arb_arab.bm25.recip_rank,qid,backtranslation_pes_arab,backtranslation_pes_arab.bm25.recip_rank,qid,backtranslation_fra_latn,backtranslation_fra_latn.bm25.recip_rank,qid,backtranslation_deu_latn,backtranslation_deu_latn.bm25.recip_rank,qid,backtranslation_rus_cyrl,backtranslation_rus_cyrl.bm25.recip_rank,qid,backtranslation_zsm_latn,backtranslation_zsm_latn.bm25.recip_rank,qid,backtranslation_tam_taml,backtranslation_tam_taml.bm25.recip_rank,qid,backtranslation_swh_latn,backtranslation_swh_latn.bm25.recip_rank
1,obama family tree,0.5,1,The Obama family tree ,0.5,1,The Obama family tree ,0.5,1,The Obama family tree  ,0.5,1,The Obama family tree ,0.5,1,Obama family tree,0.5,1,Obama family tree,0.5,1,The tree of joy,0.0,1,Obama family tree,0.5,1,Obama s family tree,1.0,1,Obama family tree,0.5
2,french lick resort and casino,1.0,2,French wine and gambling ,0.0169,2,French Ricoh Resorts and Casinos,1.0,2,French Lake Resort and Casino ,0.5,2,French Resorts and Casinos,1.0,2,French Lick Resort and Casino,1.0,2,French Lick Resort and Casino,1.0,2,French resort and casino,1.0,2,French Lick Resort and Casino,1.0,2,French League Resort and Casino,0.05,2,French lick resort and casino,1.0
3,getting organized,1.0,3,Organize yourself ,0.0625,3,It s organizing ,0.0019,3,The organization  ,0.0073,3,They re organized ,0.0,3,get settled,0.0,3,organising themselves,0.0,3,organizing,0.0073,3,organized,0.0073,3,organizing,0.0073,3,Organized,0.0073
4,toilet,0.125,4,The toilet ,0.125,4,The bathroom ,0.0,4,The toilet  ,0.125,4,The toilet ,0.125,4,toilet,0.125,4,Toilet,0.125,4,The toilet,0.125,4,toilet,0.125,4,toilet,0.125,4,toilets,0.125
5,mitchell college,0.3333,5,Mitchell College is a great place to go ,0.0156,5,Mitchell College,0.3333,5,Mitchell College  ,0.3333,5,Mitchell College ,0.3333,5,Mitchell college,0.3333,5,Mitchell College,0.3333,5,Mitchell College,0.3333,5,Mitchell College,0.3333,5,Michael College,0.0,5,Mitchell college,0.3333
6,kcs,0.0032,6,It s not ,0.0,6,Kcs,0.0032,6,The equipment  ,0.0,6,The computer ,0.0,6,the cts,0.0,6,CCS,0.0,6,The KC,0.0032,6,Kcs,0.0032,6,Kilometers,0.0,6,the kcs,0.0032
7,air travel information,0.5,7,Air travel information,0.5,7,Air travel information,0.5,7,Air travel information,0.5,7,Air travel information,0.5,7,Information on air travel,0.5,7,Air travel information,0.5,7,Information about air travel,1.0,7,Air travel information,0.5,7,Air travel information,0.5,7,Air travel news,0.5
8,appraisals,0.0141,8,The evaluation ,0.0,8,The evaluation,0.0,8,The ratings,0.0,8,The evaluations,0.0,8,the evaluations,0.0,8,The following are the results of the evaluations ,0.0,8,The ratings,0.0,8,The assessment,0.0,8,Assessments,0.0,8,Evaluate the situation,0.0
9,used car parts,0.5,9,It s a car part ,0.0312,9,Used car parts,0.5,9,Used car parts,0.5,9,Used car parts ,0.5,9,Used car parts,0.5,9,Parts of used vehicles,0.0037,9,parts for cars,0.5,9,Used car parts,0.5,9,Used vehicle parts,0.0037,9,used car parts,0.5
10,cheap internet,0.25,10,Cheap Internet ,0.25,10,Cheap Internet,0.25,10,The internet is cheap ,0.25,10,The Internet is cheap ,0.25,10,Cheap Internet,0.25,10,Cheap Internet,0.25,10,cheap internet,0.25,10,Cheap internet,0.25,10,Cheap Internet,0.25,10,cheap internet,0.25
11,gmat prep classes,0.5,11,Primary school ,0.0,11,Gmat prep class,0.5,11,Teacher preparation classes,0.0,11,Preparatory classes,0.0,11,Preparatory school,0.0,11,Preparation hours for the Gmat study,1.0,11,Classes on preparation for gymnasium,0.0,11,Gmat preparation class,1.0,11,Comat preparation classes,0.0013,11,the preparation class for gmat,1.0
12,djs,0.25,12,Other things ,0.0,12,I m not sure ,0.0,12,The DGS  ,0.0,12,J J ,0.0,12,Other,0.0,12,DJs,0.25,12,  What  ,0.0,12,The Djs,0.25,12,JS,0.0,12,The D J S ,0.0
13,map,0.5,13,The picture ,0.0,13,Map of the world,0.0,13,A map  ,0.5,13,The plan ,0.0,13,map,0.5,13,Map,0.5,13,Map of the city,0.0,13,Map,0.5,13,map,0.5,13,Map of the area,0.0
