qid,abstractqueryexpansion,abstractqueryexpansion.bm25.map,star_model_count,method.1,metric.1,query.1,method.2,metric.2,query.2,method.3,metric.3,query.3,method.4,metric.4,query.4,method.5,metric.5,query.5
301,International Organized Crime ,0.0335,0,,,,,,,,,,,,,,,
302,Poliomyelitis and Post-Polio ,0.5704,0,,,,,,,,,,,,,,,
303,Hubble Telescope Achievements ,0.1812,2,backtranslation_dan_latn,0.2683,The results of the Hubble Telescope ,backtranslation_yue_hant,0.1919,The Hubble Telescope has achieved this ,,,,,,,,,
304,Endangered Species (Mammals) ,0.1361,0,,,,,,,,,,,,,,,
305,Most Dangerous Vehicles ,0.0016,1,backtranslation_yue_hant,0.0023,The most dangerous car ,,,,,,,,,,,,
306,African Civilian Deaths ,0.1196,0,,,,,,,,,,,,,,,
307,New Hydroelectric Projects ,0.2849,0,,,,,,,,,,,,,,,
308,Implant Dentistry ,0.2914,4,backtranslation_deu_latn,0.5028,Implant teeth ,backtranslation_dan_latn,0.502,Implant dentists ,backtranslation_pes_arab,0.5017,Dental implant ,backtranslation_yue_hant,0.5017,Dental implants ,,,
309,Rap and Crime ,0.0011,0,,,,,,,,,,,,,,,
310,Radio Waves and Brain Cancer ,0.144,0,,,,,,,,,,,,,,,
311,Industrial Espionage ,0.4382,0,,,,,,,,,,,,,,,
312,Hydroponics ,0.8626,0,,,,,,,,,,,,,,,
313,Magnetic Levitation-Maglev ,0.7595,0,,,,,,,,,,,,,,,
314,Marine Vegetation ,0.0028,3,backtranslation_pes_arab,0.1999,Seaweed ,backtranslation_yue_hant,0.1999,The seaweed ,backtranslation_deu_latn,0.0224,Sea farming ,,,,,,
315,Unexplained Highway Accidents ,0.0298,0,,,,,,,,,,,,,,,
316,Polygamy Polyandry Polygyny ,0.5865,4,backtranslation_yue_hant,0.6569,Polygamy is polygamy ,backtranslation_fra_latn,0.6569,Polygamy and polygamy ,backtranslation_deu_latn,0.6569,Polygamy and polygamy ,backtranslation_dan_latn,0.6569,Polygamy Polygamy Polygamy ,,,
317,Unsolicited Faxes ,0.5142,0,,,,,,,,,,,,,,,
318,Best Retirement Country ,0.0079,0,,,,,,,,,,,,,,,
319,New Fuel Sources ,0.0932,0,,,,,,,,,,,,,,,
320,Undersea Fiber Optic Cable ,0.0333,3,backtranslation_fra_latn,0.1015,Submarine fibre optic cable ,backtranslation_dan_latn,0.046,Underwater and fibre optic cables ,backtranslation_deu_latn,0.0359,Subsea optical cables ,,,,,,
321,Women in Parliaments ,0.2835,0,,,,,,,,,,,,,,,
322,International Art Crime ,0.0022,0,,,,,,,,,,,,,,,
323,Literary/Journalistic Plagiarism ,0.1988,0,,,,,,,,,,,,,,,
324,Argentine/British Relations ,0.4664,0,,,,,,,,,,,,,,,
325,Cult Lifestyles ,0.0749,0,,,,,,,,,,,,,,,
326,Ferry Sinkings ,0.6135,0,,,,,,,,,,,,,,,
327,Modern Slavery ,0.1216,0,,,,,,,,,,,,,,,
328,Pope Beatifications ,0.6552,0,,,,,,,,,,,,,,,
329,Mexican Air Pollution ,0.268,5,backtranslation_pes_arab,0.3455,Air pollution in Mexico ,backtranslation_yue_hant,0.3455,Air pollution in Mexico ,backtranslation_fra_latn,0.3455,Air pollution in Mexico ,backtranslation_deu_latn,0.3455,Air pollution in Mexico ,backtranslation_dan_latn,0.3455,Air pollution in Mexico 
330,Iran-Iraq Cooperation ,0.0956,0,,,,,,,,,,,,,,,
331,World Bank Criticism ,0.2462,0,,,,,,,,,,,,,,,
332,Income Tax Evasion ,0.1219,2,backtranslation_pes_arab,0.1386,Tax evasion ,backtranslation_fra_latn,0.1386,Tax evasion ,,,,,,,,,
333,Antibiotics Bacteria Disease ,0.2798,1,backtranslation_fra_latn,0.2921,Antibiotics for bacteria ,,,,,,,,,,,,
334,Export Controls Cryptography ,0.1111,1,backtranslation_yue_hant,0.1852,Export controls  passwords ,,,,,,,,,,,,
335,Adoptive Biological Parents ,0.3128,0,,,,,,,,,,,,,,,
336,Black Bear Attacks ,0.0459,0,,,,,,,,,,,,,,,
337,Viral Hepatitis ,0.2965,0,,,,,,,,,,,,,,,
338,Risk of Aspirin ,0.4212,0,,,,,,,,,,,,,,,
339,Alzheimer's Drug Treatment ,0.2328,0,,,,,,,,,,,,,,,
340,Land Mine Ban ,0.0993,2,backtranslation_deu_latn,0.1159,Prohibition of landmines ,backtranslation_dan_latn,0.1159,Prohibition of landmines ,,,,,,,,,
341,Airport Security ,0.2754,0,,,,,,,,,,,,,,,
342,Diplomatic Expulsion ,0.1331,0,,,,,,,,,,,,,,,
343,Police Deaths ,0.0118,0,,,,,,,,,,,,,,,
344,Abuses of E-Mail ,0.1513,2,backtranslation_deu_latn,0.1552,Misuse of e mail ,backtranslation_dan_latn,0.1552,Misuse of e mail ,,,,,,,,,
