qid,abstractqueryexpansion,abstractqueryexpansion.bm25.map,star_model_count,method.1,metric.1,query.1,method.2,metric.2,query.2,method.3,metric.3,query.3,method.4,metric.4,query.4,method.5,metric.5,query.5,method.6,metric.6,query.6,method.7,metric.7,query.7,method.8,metric.8,query.8,method.9,metric.9,query.9,method.10,metric.10,query.10,method.11,metric.11,query.11,method.12,metric.12,query.12
20051,cuttle fish bone,0.0515,1,sensedisambiguation.replace,0.2526,cuttlefish pisces bone,tagmee.topn3,0.1095,cuttle fish bone Cuttlefish,docluster.topn10.3.bm25,0.0891,cuttle fish bone turtl,,,,,,,,,,,,,,,,,,,,,,,,,,,
20054,50plus,0.0552,1,sensedisambiguation.replace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20055,usairway,0,1,sensedisambiguation.replace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20056,sythe,0.0896,1,sensedisambiguation.replace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20058,livermore,0,1,sensedisambiguation.replace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20059,satue of liberty,0,1,sensedisambiguation.replace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20061,area codes,0.1383,1,sensedisambiguation.replace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20062,actinomyces bovis,0.3788,1,sensedisambiguation.replace,0.3846,actinomyces bovis Actinomyces bovis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20065,rock and gem shows,0.3323,1,sensedisambiguation.replace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20066,record fish caught,0.1894,1,sensedisambiguation.replace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20067,programming a remote control,0.0341,1,sensedisambiguation.replace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20069,psuedopregnancy,1,1,sensedisambiguation.replace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20073,suzy leonard,0.1756,1,sensedisambiguation.replace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20076,collagen vascular disease,0.2995,1,sensedisambiguation.replace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20077,hansen quads,0.01,1,sensedisambiguation.replace,0.5,hansen quadruplet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20081,video game artist,0.1198,1,sensedisambiguation.replace,0.2004,video game artist Game artist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20082,ct fire academy,0.0385,1,sensedisambiguation.replace,0.1429,ct fire academy scans scan sciences,tagmee.topn3,0.0417,ct fire academy Fire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20092,frank tejeda clinic,0.0033,1,sensedisambiguation.replace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20093,arizonalottery,0,1,sensedisambiguation.replace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20094,chevy colorado gas mileage,0,1,sensedisambiguation.replace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20096,white star auction,0.1957,1,sensedisambiguation.replace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20098,chase credit card,0.0297,1,sensedisambiguation.replace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20101,join job corps,0.0135,1,sensedisambiguation.replace,0.0298,join job corps Job Corps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20102,jimmy earl carter,0.3285,1,sensedisambiguation.replace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20103,ventral cavity,0.3218,1,sensedisambiguation.replace,0.6146,layer mantl ligament peritoneum periton bodi ventral structur abdomin mesenteri caviti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20104,blount county sheriff department,0.3056,1,sensedisambiguation.replace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20107,athens post office,0,1,sensedisambiguation.replace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20108,eleanor sobel,0,1,sensedisambiguation.replace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20110,my own background check,0.0034,1,sensedisambiguation.replace,0.0647,background check Background check,termluster.topn5.3.bm25,0.0647,background check,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20111,dodge caliber,0.1256,1,sensedisambiguation.replace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20112,assumption of mary,0.4241,1,sensedisambiguation.replace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20113,city of barstow,0.0141,1,sensedisambiguation.replace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20119,algerian airlines,0.1383,1,sensedisambiguation.replace,0.4269,alg airlin,tagmee.topn3,0.2737,algerian airlines Algiers Airline,stem.krovetz,0.1392,algeria airline,,,,,,,,,,,,,,,,,,,,,,,,,,,
20121,suspicious numbers,0,1,sensedisambiguation.replace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20122,gardner community center,0.1433,1,sensedisambiguation.replace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20123,who was lincolns vice president,0.1935,1,sensedisambiguation.replace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20124,iowa girls high school basketball,0.0475,1,sensedisambiguation.replace,0.0896,iowa girls high school basketball Iowa Randwick Girls  High School Secondary school Basketball Basketball,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20130,cayenne pepper plants,0.3904,1,sensedisambiguation.replace,0.4393,cayenne capsicum plant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20131,washington mutual bank home page,0.037,1,sensedisambiguation.replace,0.125,washington mutual bank home page Washington Mutual Washington Mutual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20135,montgomery county court,0.1789,1,sensedisambiguation.replace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20137,haulover beach fl,0.3407,1,sensedisambiguation.replace,0.3589,haulover beach fl Haulover Park Florida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20138,nacvso,0,1,sensedisambiguation.replace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
