qid,abstractqueryexpansion,abstractqueryexpansion.qld.map,star_model_count,method.1,metric.1,query.1,method.2,metric.2,query.2
51,horse hooves,0.2277,0,,,,,,
52,avp,0.1466,0,,,,,,
53,discovery channel store,0.0522,0,,,,,,
54,president of the united states,0.1551,0,,,,,,
55,iron,0.0908,0,,,,,,
56,uss yorktown charleston sc,0.0114,1,backtranslation_pes_arab,0.0238,We are Yorktown ,,,
57,ct jobs,0.213,0,,,,,,
58,penguins,0.0831,0,,,,,,
59,how to build a fence,0.0135,0,,,,,,
60,bellevue,0.1585,0,,,,,,
61,worm,0.0356,0,,,,,,
62,texas border patrol,0.3848,0,,,,,,
63,flushing,0.1087,0,,,,,,
64,moths,0.117,0,,,,,,
65,korean language,0.1988,0,,,,,,
66,income tax return online,0.0016,1,backtranslation_yue_hant,0.0031,Tax returns online,,,
67,vldl levels,0.1438,0,,,,,,
68,pvc,0.055,0,,,,,,
69,sewing instructions,0.1316,0,,,,,,
70,to be or not to be that is the question,0.0,0,,,,,,
71,living in india,0.0011,0,,,,,,
72,the sun,0.0007,0,,,,,,
73,neil young,0.2358,0,,,,,,
74,kiwi,0.0172,0,,,,,,
75,tornadoes,0.3522,0,,,,,,
76,raised gardens,0.2067,0,,,,,,
77,bobcat,0.0372,0,,,,,,
78,dieting,0.0027,0,,,,,,
79,voyager,0.0486,0,,,,,,
80,keyboard reviews,0.1271,0,,,,,,
81,afghanistan,0.0531,1,backtranslation_yue_hant,0.1022,Afghanistan is a country ,,,
82,joints,0.0449,0,,,,,,
83,memory,0.0,0,,,,,,
84,continental plates,0.3805,0,,,,,,
85,milwaukee journal sentinel,0.0534,2,backtranslation_pes_arab,0.0549,The Milwaukee Sentinel ,backtranslation_swh_latn,0.0549,The Milwaukee Sentinel
86,bart sf,0.3981,0,,,,,,
87,who invented music,0.0179,0,,,,,,
88,forearm pain,0.0969,0,,,,,,
89,ocd,0.2348,0,,,,,,
90,mgb,0.092,0,,,,,,
91,er tv show,0.0464,0,,,,,,
92,the wall,0.0004,0,,,,,,
93,raffles,0.0468,0,,,,,,
94,titan,0.0102,0,,,,,,
95,earn money at home,,0,,,,,,
96,rice,0.0917,0,,,,,,
97,south africa,0.0248,0,,,,,,
98,sat,0.0682,0,,,,,,
99,satellite,0.017,0,,,,,,
100,rincon puerto rico,,0,,,,,,
