qid,abstractqueryexpansion,abstractqueryexpansion.bm25.map,star_model_count,method.1,metric.1,query.1,method.2,metric.2,query.2,method.3,metric.3,query.3,method.4,metric.4,query.4,method.5,metric.5,query.5
INEX_LD-20120111,vietnam war movie,0.3147,0,,,,,,,,,,,,,,,
INEX_LD-20120112,vietnam war facts,0.083,0,,,,,,,,,,,,,,,
INEX_LD-20120121,vietnam food recipes,0.0146,4,backtranslation_yue_hant,0.0415,The Vietnamese food recipe,backtranslation_fra_latn,0.0415,Vietnamese food recipes,backtranslation_pes_arab,0.0295,Vietnamese recipes,backtranslation_deu_latn,0.0295,Vietnamese recipes,,,
INEX_LD-20120122,vietnamese food blog,0.0707,0,,,,,,,,,,,,,,,
INEX_LD-20120131,vietnam travel national park,0.0034,1,backtranslation_fra_latn,0.0046,Vietnam s national travel park,,,,,,,,,,,,
INEX_LD-20120132,vietnam travel airports,0.1923,2,backtranslation_pes_arab,0.8001,Airports in Vietnam,backtranslation_yue_hant,0.2211,Vietnamese tourist airport,,,,,,,,,
INEX_LD-20120211,guitar chord tuning,0.5089,0,,,,,,,,,,,,,,,
INEX_LD-20120212,guitar chord minor,0.185,0,,,,,,,,,,,,,,,
INEX_LD-20120221,guitar classical flamenco,0.417,0,,,,,,,,,,,,,,,
INEX_LD-20120222,guitar classical bach,0.2695,0,,,,,,,,,,,,,,,
INEX_LD-20120231,guitar origin Russia,0.0263,1,backtranslation_pes_arab,0.1346,The origins of the Russian guitar,,,,,,,,,,,,
INEX_LD-20120232,guitar origin blues,0.1203,1,backtranslation_yue_hant,0.134,The guitar is blue,,,,,,,,,,,,
INEX_LD-20120311,tango culture movies,0.0983,2,backtranslation_fra_latn,0.2845,films of tango culture,backtranslation_deu_latn,0.2845,Cultural films of tango,,,,,,,,,
INEX_LD-20120312,tango culture countries,0.1468,2,backtranslation_pes_arab,0.3214,Tangos of the Tangos,backtranslation_dan_latn,0.219,Tango culture,,,,,,,,,
INEX_LD-20120321,tango music  composers,0.3455,0,,,,,,,,,,,,,,,
INEX_LD-20120322,tango music instruments,0.2908,0,,,,,,,,,,,,,,,
INEX_LD-20120331,tango dance styles,0.5484,1,backtranslation_fra_latn,0.5919,dance of tango,,,,,,,,,,,,
INEX_LD-20120332,tango dance history,0.2658,0,,,,,,,,,,,,,,,
INEX_LD-20120411,bicycle sport races,0.278,0,,,,,,,,,,,,,,,
INEX_LD-20120412,bicycle sport disciplines,0.2103,0,,,,,,,,,,,,,,,
INEX_LD-20120421,bicycle holiday towns,0.0153,0,,,,,,,,,,,,,,,
INEX_LD-20120422,bicycle holiday nature,0.0475,2,backtranslation_pes_arab,0.1022,The nature of the bike holiday,backtranslation_dan_latn,0.0714,cycling holiday nature,,,,,,,,,
INEX_LD-20120431,bicycle benefits health,0.0625,0,,,,,,,,,,,,,,,
INEX_LD-20120432,bicycle benefits environment,0.2825,0,,,,,,,,,,,,,,,
INEX_LD-20120511,female rock singers,0.3605,0,,,,,,,,,,,,,,,
INEX_LD-20120512,south korean girl groups,0.6038,0,,,,,,,,,,,,,,,
