qid,abstractqueryexpansion,abstractqueryexpansion.qld.map,star_model_count,method.1,metric.1,query.1,method.2,metric.2,query.2,method.3,metric.3,query.3,method.4,metric.4,query.4,method.5,metric.5,query.5,method.6,metric.6,query.6,method.7,metric.7,query.7,method.8,metric.8,query.8,method.9,metric.9,query.9,method.10,metric.10,query.10
INEX_LD-20120111,vietnam war movie,0.3421,3,backtranslation_fra_latn,0.3462,Vietnam War film,backtranslation_deu_latn,0.3462,Vietnam War Film,backtranslation_tam_taml,0.3462,The Vietnam War Film,,,,,,,,,,,,,,,,,,,,,
INEX_LD-20120112,vietnam war facts,0.1876,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-20120121,vietnam food recipes,0.0955,5,backtranslation_kor_hang,0.1082,Vietnamese cuisine,backtranslation_swh_latn,0.1082,Vietnamese cuisine,backtranslation_yue_hant,0.1068,The Vietnamese food recipe,backtranslation_fra_latn,0.1068,Vietnamese food recipes,backtranslation_zsm_latn,0.1068,Vietnamese food recipes,,,,,,,,,,,,,,,
INEX_LD-20120122,vietnamese food blog,0.0727,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-20120131,vietnam travel national park,0.0251,2,backtranslation_swh_latn,0.0524,Vietnam National Park trip,backtranslation_fra_latn,0.0255,Vietnam s national travel park,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-20120132,vietnam travel airports,0.47,5,backtranslation_arb_arab,0.8223,Airports in Vietnam,backtranslation_pes_arab,0.8223,Airports in Vietnam,backtranslation_rus_cyrl,0.8223,Airports of Vietnam,backtranslation_tam_taml,0.8223,Airports in Vietnam,backtranslation_swh_latn,0.8223,Airports in Vietnam,,,,,,,,,,,,,,,
INEX_LD-20120211,guitar chord tuning,0.5526,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-20120212,guitar chord minor,0.3203,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-20120221,guitar classical flamenco,0.416,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-20120222,guitar classical bach,0.2953,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-20120231,guitar origin Russia,0.0511,5,backtranslation_kor_hang,0.2421,The origin of the guitar is Russian,backtranslation_arb_arab,0.2421,The origin of the guitar is Russian,backtranslation_pes_arab,0.2421,The origins of the Russian guitar,backtranslation_zsm_latn,0.2421,Guitar of Russian origin,backtranslation_swh_latn,0.2421,the origin of the Russian guitar,,,,,,,,,,,,,,,
INEX_LD-20120232,guitar origin blues,0.1955,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-20120311,tango culture movies,0.0976,7,backtranslation_kor_hang,0.3155,The Tango culture film,backtranslation_arb_arab,0.3155,The tango culture films,backtranslation_fra_latn,0.3155,films of tango culture,backtranslation_deu_latn,0.3155,Cultural films of tango,backtranslation_rus_cyrl,0.3155,The film of tango culture,backtranslation_zsm_latn,0.3155,tango culture film,backtranslation_tam_taml,0.3155,The Tangos cultural films,,,,,,,,,
INEX_LD-20120312,tango culture countries,0.345,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-20120321,tango music  composers,0.294,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-20120322,tango music instruments,0.312,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-20120331,tango dance styles,0.621,1,backtranslation_fra_latn,0.7277,dance of tango,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-20120332,tango dance history,0.353,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-20120411,bicycle sport races,0.2746,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-20120412,bicycle sport disciplines,0.1915,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-20120421,bicycle holiday towns,0.0304,1,backtranslation_swh_latn,0.0342,holiday villages for bicycles,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-20120422,bicycle holiday nature,0.0424,3,backtranslation_arb_arab,0.0796,The nature of the bike holiday,backtranslation_pes_arab,0.0796,The nature of the bike holiday,backtranslation_tam_taml,0.0561,Cycling holiday nature,,,,,,,,,,,,,,,,,,,,,
INEX_LD-20120431,bicycle benefits health,0.0556,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
