qid,abstractqueryexpansion,abstractqueryexpansion.bm25.map,star_model_count,method.1,metric.1,query.1,method.2,metric.2,query.2,method.3,metric.3,query.3,method.4,metric.4,query.4,method.5,metric.5,query.5,method.6,metric.6,query.6,method.7,metric.7,query.7,method.8,metric.8,query.8,method.9,metric.9,query.9,method.10,metric.10,query.10
INEX_LD-20120111,vietnam war movie,0.3147,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-20120112,vietnam war facts,0.083,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-20120121,vietnam food recipes,0.0146,10,backtranslation_kor_hang,0.1075,Vietnamese cuisine,backtranslation_swh_latn,0.1075,Vietnamese cuisine,backtranslation_yue_hant,0.0415,The Vietnamese food recipe,backtranslation_fra_latn,0.0415,Vietnamese food recipes,backtranslation_zsm_latn,0.0415,Vietnamese food recipes,backtranslation_arb_arab,0.0295,Vietnamese recipes,backtranslation_pes_arab,0.0295,Vietnamese recipes,backtranslation_deu_latn,0.0295,Vietnamese recipes,backtranslation_rus_cyrl,0.0295,Vietnamese recipes,backtranslation_tam_taml,0.0295,Vietnamese recipes
INEX_LD-20120122,vietnamese food blog,0.0707,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-20120131,vietnam travel national park,0.0034,2,backtranslation_fra_latn,0.0046,Vietnam s national travel park,backtranslation_swh_latn,0.0039,Vietnam National Park trip,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-20120132,vietnam travel airports,0.1923,6,backtranslation_arb_arab,0.8001,Airports in Vietnam,backtranslation_pes_arab,0.8001,Airports in Vietnam,backtranslation_rus_cyrl,0.8001,Airports of Vietnam,backtranslation_tam_taml,0.8001,Airports in Vietnam,backtranslation_swh_latn,0.8001,Airports in Vietnam,backtranslation_yue_hant,0.2211,Vietnamese tourist airport,,,,,,,,,,,,
INEX_LD-20120211,guitar chord tuning,0.5089,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-20120212,guitar chord minor,0.185,1,backtranslation_rus_cyrl,0.2235,The guitar chord,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-20120221,guitar classical flamenco,0.417,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-20120222,guitar classical bach,0.2695,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-20120231,guitar origin Russia,0.0263,5,backtranslation_kor_hang,0.1346,The origin of the guitar is Russian,backtranslation_arb_arab,0.1346,The origin of the guitar is Russian,backtranslation_pes_arab,0.1346,The origins of the Russian guitar,backtranslation_zsm_latn,0.1346,Guitar of Russian origin,backtranslation_swh_latn,0.1346,the origin of the Russian guitar,,,,,,,,,,,,,,,
INEX_LD-20120232,guitar origin blues,0.1203,4,backtranslation_yue_hant,0.134,The guitar is blue,backtranslation_kor_hang,0.134,Guitar and blues,backtranslation_rus_cyrl,0.134,The guitar blues,backtranslation_tam_taml,0.134,guitar blues,,,,,,,,,,,,,,,,,,
