qid,abstractqueryexpansion,abstractqueryexpansion.qld.map,qid,backtranslation_yue_hant,backtranslation_yue_hant.qld.map,qid,backtranslation_kor_hang,backtranslation_kor_hang.qld.map,qid,backtranslation_arb_arab,backtranslation_arb_arab.qld.map,qid,backtranslation_pes_arab,backtranslation_pes_arab.qld.map,qid,backtranslation_fra_latn,backtranslation_fra_latn.qld.map,qid,backtranslation_deu_latn,backtranslation_deu_latn.qld.map,qid,backtranslation_rus_cyrl,backtranslation_rus_cyrl.qld.map,qid,backtranslation_zsm_latn,backtranslation_zsm_latn.qld.map,qid,backtranslation_tam_taml,backtranslation_tam_taml.qld.map,qid,backtranslation_swh_latn,backtranslation_swh_latn.qld.map
INEX_LD-20120111,vietnam war movie,0.3421,INEX_LD-20120111,Vietnam War movies,0.3421,INEX_LD-20120111,A film about the Vietnam War,0.1846,INEX_LD-20120111,Vietnam War movie,0.3421,INEX_LD-20120111,The Vietnam War movie,0.3421,INEX_LD-20120111,Vietnam War film,0.3462,INEX_LD-20120111,Vietnam War Film,0.3462,INEX_LD-20120111,Vietnamese film,0.0113,INEX_LD-20120111,Vietnam war movies,0.3421,INEX_LD-20120111,The Vietnam War Film,0.3462,INEX_LD-20120111,Vietnamese war film,0.107
INEX_LD-20120112,vietnam war facts,0.1876,INEX_LD-20120112,The facts of the Vietnam War,0.1876,INEX_LD-20120112,The Vietnam War actually,0.082,INEX_LD-20120112,The facts of the Vietnam War,0.1876,INEX_LD-20120112,The facts of the Vietnam War,0.1876,INEX_LD-20120112,The facts of the Vietnam War,0.1876,INEX_LD-20120112,Facts from the Vietnam War,0.1687,INEX_LD-20120112,The facts of the Vietnam War,0.1876,INEX_LD-20120112,Facts of the Vietnam War,0.1876,INEX_LD-20120112,The facts of the Vietnam War,0.1876,INEX_LD-20120112,The Truth About the Vietnam War,0.0444
INEX_LD-20120121,vietnam food recipes,0.0955,INEX_LD-20120121,The Vietnamese food recipe,0.1068,INEX_LD-20120121,Vietnamese cuisine,0.1082,INEX_LD-20120121,Vietnamese recipes,0.053,INEX_LD-20120121,Vietnamese recipes,0.053,INEX_LD-20120121,Vietnamese food recipes,0.1068,INEX_LD-20120121,Vietnamese recipes,0.053,INEX_LD-20120121,Vietnamese recipes,0.053,INEX_LD-20120121,Vietnamese food recipes,0.1068,INEX_LD-20120121,Vietnamese recipes,0.053,INEX_LD-20120121,Vietnamese cuisine,0.1082
INEX_LD-20120122,vietnamese food blog,0.0727,INEX_LD-20120122,Vietnamese food blog,0.0727,INEX_LD-20120122,Vietnamese food blog,0.0727,INEX_LD-20120122,Vietnamese food blog,0.0727,INEX_LD-20120122,Vietnamese food blog,0.0727,INEX_LD-20120122,Vietnamese food blog,0.0727,INEX_LD-20120122,Vietnamese food blog,0.0727,INEX_LD-20120122,Vietnamese blogs,0.0019,INEX_LD-20120122,Vietnamese food blog,0.0727,INEX_LD-20120122,Vietnamese food blog,0.0727,INEX_LD-20120122,Vietnamese food blog,0.0727
INEX_LD-20120131,vietnam travel national park,0.0251,INEX_LD-20120131,Vietnamese National Park,0.0073,INEX_LD-20120131,Vietnamese National Park,0.0073,INEX_LD-20120131,Vietnamese national park,0.0073,INEX_LD-20120131,Vietnam National Travel Park,0.0251,INEX_LD-20120131,Vietnam s national travel park,0.0255,INEX_LD-20120131,Vietnamese national park,0.0073,INEX_LD-20120131,The National Travel Park of Vietnam,0.0251,INEX_LD-20120131,Vietnamese Travel National Park,0.0038,INEX_LD-20120131,Vietnam Travel National Park,0.0251,INEX_LD-20120131,Vietnam National Park trip,0.0524
INEX_LD-20120132,vietnam travel airports,0.47,INEX_LD-20120132,Vietnamese tourist airport,0.2283,INEX_LD-20120132,Traveling to Vietnam Airport,0.47,INEX_LD-20120132,Airports in Vietnam,0.8223,INEX_LD-20120132,Airports in Vietnam,0.8223,INEX_LD-20120132,travel airports in Vietnam,0.47,INEX_LD-20120132,Airports for travel in Vietnam,0.47,INEX_LD-20120132,Airports of Vietnam,0.8223,INEX_LD-20120132,Vietnam travel airport,0.47,INEX_LD-20120132,Airports in Vietnam,0.8223,INEX_LD-20120132,Airports in Vietnam,0.8223
INEX_LD-20120211,guitar chord tuning,0.5526,INEX_LD-20120211,The guitar strings,0.1066,INEX_LD-20120211,Guitar,0.0257,INEX_LD-20120211,  The tuning on the guitar,0.481,INEX_LD-20120211,Guitar chord setting,0.2188,INEX_LD-20120211,adjustment of the guitar chords,0.2413,INEX_LD-20120211,Guitar chord alignment,0.222,INEX_LD-20120211,How to set up guitar chords,0.1101,INEX_LD-20120211,guitar chord adjustment,0.2413,INEX_LD-20120211,Set up the guitar axle,0.0015,INEX_LD-20120211,chord of the guitar tuning,0.5526
INEX_LD-20120212,guitar chord minor,0.3203,INEX_LD-20120212,The guitar strings are small,0.0131,INEX_LD-20120212,Guitar chord minor,0.3203,INEX_LD-20120212,Guitar strings,0.0412,INEX_LD-20120212,A little guitar chord,0.2065,INEX_LD-20120212,minor chord of guitar,0.3203,INEX_LD-20120212,Guitar recorder,0.0004,INEX_LD-20120212,The guitar chord,0.2526,INEX_LD-20120212,minor guitar chords,0.3203,INEX_LD-20120212,The horse with the crotch,0.0,INEX_LD-20120212,a small guitar chord,0.1556
INEX_LD-20120221,guitar classical flamenco,0.416,INEX_LD-20120221,Flamengo for classical guitar,0.0199,INEX_LD-20120221,The classic flamenco guitar,0.416,INEX_LD-20120221,The classic flamenco guitar,0.416,INEX_LD-20120221,The classic flamenco guitar,0.416,INEX_LD-20120221,classical flamenco of the guitar,0.416,INEX_LD-20120221,Guitar and classical flamenco,0.416,INEX_LD-20120221,The classic flamenco guitar,0.416,INEX_LD-20120221,classic flamenco guitar,0.416,INEX_LD-20120221,The guitar is a classic flamenco,0.416,INEX_LD-20120221,flamenco of the bed,0.1053
INEX_LD-20120222,guitar classical bach,0.2953,INEX_LD-20120222,The classical guitar,0.0845,INEX_LD-20120222,The classic guitar,0.0845,INEX_LD-20120222,The classic guitar,0.0845,INEX_LD-20120222,The classical guitar,0.0845,INEX_LD-20120222,The classic bass guitar,0.0086,INEX_LD-20120222,Guitar classical bass,0.0086,INEX_LD-20120222,The classical guitar,0.0845,INEX_LD-20120222,Bach classical guitar,0.2953,INEX_LD-20120222,The classic guitar catch,0.0284,INEX_LD-20120222,classical guitar bach,0.2953
