qid,abstractqueryexpansion,abstractqueryexpansion.qld.recip_rank,star_model_count,method.1,metric.1,query.1,method.2,metric.2,query.2,method.3,metric.3,query.3,method.4,metric.4,query.4,method.5,metric.5,query.5,method.6,metric.6,query.6,method.7,metric.7,query.7,method.8,metric.8,query.8,method.9,metric.9,query.9,method.10,metric.10,query.10
INEX_LD-20120111,vietnam war movie,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-20120112,vietnam war facts,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-20120121,vietnam food recipes,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-20120122,vietnamese food blog,0.1667,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-20120131,vietnam travel national park,0.25,1,backtranslation_swh_latn,1.0,Vietnam National Park trip,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-20120132,vietnam travel airports,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-20120211,guitar chord tuning,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-20120212,guitar chord minor,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-20120221,guitar classical flamenco,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-20120222,guitar classical bach,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-20120231,guitar origin Russia,0.1,5,backtranslation_kor_hang,1.0,The origin of the guitar is Russian,backtranslation_arb_arab,1.0,The origin of the guitar is Russian,backtranslation_pes_arab,1.0,The origins of the Russian guitar,backtranslation_zsm_latn,1.0,Guitar of Russian origin,backtranslation_swh_latn,1.0,the origin of the Russian guitar,,,,,,,,,,,,,,,
INEX_LD-20120232,guitar origin blues,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-20120311,tango culture movies,0.5,7,backtranslation_kor_hang,1.0,The Tango culture film,backtranslation_arb_arab,1.0,The tango culture films,backtranslation_fra_latn,1.0,films of tango culture,backtranslation_deu_latn,1.0,Cultural films of tango,backtranslation_rus_cyrl,1.0,The film of tango culture,backtranslation_zsm_latn,1.0,tango culture film,backtranslation_tam_taml,1.0,The Tangos cultural films,,,,,,,,,
INEX_LD-20120312,tango culture countries,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-20120321,tango music  composers,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-20120322,tango music instruments,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-20120331,tango dance styles,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-20120332,tango dance history,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-20120411,bicycle sport races,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-20120412,bicycle sport disciplines,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-20120421,bicycle holiday towns,0.05,1,backtranslation_swh_latn,0.1667,holiday villages for bicycles,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-20120422,bicycle holiday nature,0.3333,2,backtranslation_arb_arab,1.0,The nature of the bike holiday,backtranslation_pes_arab,1.0,The nature of the bike holiday,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-20120431,bicycle benefits health,0.1111,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-20120432,bicycle benefits environment,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-20120511,female rock singers,0.5,1,backtranslation_yue_hant,1.0,She is a female rock singer,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-20120512,south korean girl groups,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-20120521,electronic music genres,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-20120522,digital music notation formats,0.3333,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-20120531,music conferences,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-20120532,intellectual property rights lobby,0.5,2,backtranslation_yue_hant,1.0,The intellectual property movement,backtranslation_tam_taml,1.0,Intellectual property rights,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2009022,Szechwan dish food cuisine,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2009039,roman architecture,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2009053,finland car industry manufacturer saab sisu,0.3333,8,backtranslation_tam_taml,1.0,Sappha Sysu  Finnish automotive manufacturer,backtranslation_yue_hant,0.5,Finnish car manufacturer Saab sisu,backtranslation_pes_arab,0.5,Finnish car manufacturer saab sisu,backtranslation_fra_latn,0.5,Finnish manufacturer of cars saab sisu,backtranslation_deu_latn,0.5,Finnish car manufacturer saab sisu,backtranslation_rus_cyrl,0.5,Finnish manufacturer of cars saab sisu,backtranslation_zsm_latn,0.5,Finnish car manufacturer saab sisu,backtranslation_swh_latn,0.5,Finnish car manufacturer saab sisu,,,,,,
INEX_LD-2009061,france second world war normandy,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2009062,social network group selection,0.1667,1,backtranslation_yue_hant,0.5,Social networking groups,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2009063,D-Day normandy invasion,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2009074,web ranking scoring algorithm,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2009096,Eiffel,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2009111,europe solar power facility,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2009115,virtual museums,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2010004,Indian food,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2010014,composer museum,0.1667,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2010019,gallo roman architecture in paris,0.0137,1,backtranslation_yue_hant,0.025,Roman architecture in Paris,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2010020,electricity source in France,0.2,1,backtranslation_tam_taml,1.0,Electricity in France,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2010037,social network API,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2010043,List of films from the surrealist category,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2010057,Einstein Relativity theory,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2010069,summer flowers,0.2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2010100,house concrete wood,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2010106,organic food advantages disadvantages,0.0033,7,backtranslation_pes_arab,0.1429,Benefits of Organic Foods,backtranslation_tam_taml,0.1429,The benefits of organic food,backtranslation_zsm_latn,0.1111,The advantages of organic food,backtranslation_swh_latn,0.0588,benefits of organic food loss,backtranslation_yue_hant,0.027,The disadvantages of organic food,backtranslation_fra_latn,0.0137,Benefits of organic food disadvantages,backtranslation_deu_latn,0.0137,Benefits of organic food Disadvantages,,,,,,,,,
INEX_LD-2012301,Niagara falls origin lake,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2012303, Valley fever fungal infection San Joaquin,0.3333,1,backtranslation_tam_taml,0.5,The Valley Fever Fungus Disease San Joaquin,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2012305,North Dakota's lowest river of another colour,0.1429,3,backtranslation_yue_hant,0.3333,Lower rivers in North Dakota,backtranslation_zsm_latn,0.3333,The lower North Dakota River is a different color,backtranslation_swh_latn,0.3333,The lower North Dakota River of other colors,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2012307," July, 1850  president died Millard Fillmore sworn following day",0.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
