qid,abstractqueryexpansion,abstractqueryexpansion.bm25.recip_rank,star_model_count,method.1,metric.1,query.1,method.2,metric.2,query.2,method.3,metric.3,query.3,method.4,metric.4,query.4,method.5,metric.5,query.5,method.6,metric.6,query.6,method.7,metric.7,query.7,method.8,metric.8,query.8,method.9,metric.9,query.9,method.10,metric.10,query.10
INEX_LD-20120111,vietnam war movie,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-20120112,vietnam war facts,0.3333,2,backtranslation_kor_hang,1.0,The Vietnam War actually,backtranslation_deu_latn,0.5,Facts from the Vietnam War,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-20120121,vietnam food recipes,0.1,5,backtranslation_kor_hang,1.0,Vietnamese cuisine,backtranslation_swh_latn,1.0,Vietnamese cuisine,backtranslation_yue_hant,0.1667,The Vietnamese food recipe,backtranslation_fra_latn,0.1667,Vietnamese food recipes,backtranslation_zsm_latn,0.1667,Vietnamese food recipes,,,,,,,,,,,,,,,
INEX_LD-20120122,vietnamese food blog,0.0667,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-20120131,vietnam travel national park,0.012,7,backtranslation_yue_hant,0.0385,Vietnamese National Park,backtranslation_kor_hang,0.0385,Vietnamese National Park,backtranslation_arb_arab,0.0385,Vietnamese national park,backtranslation_fra_latn,0.0385,Vietnam s national travel park,backtranslation_deu_latn,0.0385,Vietnamese national park,backtranslation_zsm_latn,0.0161,Vietnamese Travel National Park,backtranslation_swh_latn,0.0143,Vietnam National Park trip,,,,,,,,,
INEX_LD-20120132,vietnam travel airports,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-20120211,guitar chord tuning,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-20120212,guitar chord minor,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-20120221,guitar classical flamenco,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-20120222,guitar classical bach,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-20120231,guitar origin Russia,0.05,5,backtranslation_kor_hang,1.0,The origin of the guitar is Russian,backtranslation_arb_arab,1.0,The origin of the guitar is Russian,backtranslation_pes_arab,1.0,The origins of the Russian guitar,backtranslation_zsm_latn,1.0,Guitar of Russian origin,backtranslation_swh_latn,1.0,the origin of the Russian guitar,,,,,,,,,,,,,,,
INEX_LD-20120232,guitar origin blues,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
