qid,abstractqueryexpansion,abstractqueryexpansion.bm25.map,star_model_count
20051,cuttle fish bone,,0
20054,50plus,,0
20055,usairway,,0
20056,sythe,,0
20058,livermore,,0
20059,satue of liberty,,0
20061,area codes,,0
20062,actinomyces bovis,,0
20065,rock and gem shows,,0
20066,record fish caught,,0
20067,programming a remote control,,0
20069,psuedopregnancy,,0
20073,suzy leonard,,0
20076,collagen vascular disease,,0
20077,hansen quads,,0
20081,video game artist,,0
20082,ct fire academy,,0
20092,frank tejeda clinic,,0
20093,arizonalottery,,0
20094,chevy colorado gas mileage,,0
20096,white star auction,,0
20098,chase credit card,,0
20101,join job corps,,0
20102,jimmy earl carter,,0
20103,ventral cavity,,0
20104,blount county sheriff department,,0
20107,athens post office,,0
20108,eleanor sobel,,0
20110,my own background check,,0
20111,dodge caliber,,0
20112,assumption of mary,,0
20113,city of barstow,,0
20119,algerian airlines,,0
20121,suspicious numbers,,0
20122,gardner community center,,0
20123,who was lincolns vice president,,0
20124,iowa girls high school basketball,,0
20130,cayenne pepper plants,,0
20131,washington mutual bank home page,,0
20135,montgomery county court,,0
20137,haulover beach fl,,0
20138,nacvso,,0
20139,silicone roof coatings,,0
20141,orlando weather 7 day forecast,,0
20145,raisin in the sun,,0
20146,carmen electra video,,0
20147,all bmw models,,0
20149,weddings,,0
20154,dream protein,,0
20162,msdha,,0
20163,history crossword,,0
20164,baptist church interiors,,0
20168,spyware,,0
20170,laxative with stool softener,,0
20174,american social health association,,0
20176,cross stitch,,0
20179,mercier press,,0
20180,stuffed bell peppers,,0
20181,mid america science museum,,0
20185,welch corgi,,0
20186,depression symtoms,,0
20188,what causes itchy feet,,0
20189,private process server,,0
20190,greg hewett,,0
20192,clox test,,0
20198,tyler texas weather,,0
20200,vanderbilt burn center,,0
20203,charles basil,,0
20206,cyberonics,,0
20207,michael olesker,,0
20208,coronation street update,,0
20209,arm wrestling,,0
20211,usa today,,0
20213,calverton national cemetary,,0
20215,report medicare fraud,,0
20216,glenns ferry,,0
20219,hardees,,0
20221,premedication for dental procedures,,0
20225,workforce of utah,,0
20227,tetanus shot,,0
20229,christmas stocking stuffers,,0
20230,brooklyn va medical center,,0
20232,variocose veins,,0
20237,lomustine,,0
20239,nh wine,,0
20244,colonel henry knox,,0
20245,iud birth control,,0
20247,red in stool,,0
20249,sharpening twist drills,,0
20250,benedryl for dog,,0
20251,swahili dishes,,0
20254,commonwealth state,,0
20255,unearned income tax table,,0
20257,us posmaster,,0
20260,ziune,,0
20266,the food pyrimid,,0
20271,tax questions,,0
20272,buddishim,,0
20273,bain de soleil,,0
20275,dune buggy insurance,,0
20277,ribble cycles,,0
20278,aircanada,,0
20280,foursomes,,0
20283,flags,,0
20286,early pregnancy tests,,0
20288,3rd grade books,,0
20290,karger publishing,,0
20298,commercial liability insurance,,0
20300,gold eagle,,0
20308,phd degrees in social work,,0
20310,virginia aquarium,,0
20312,wichita white pages,,0
20313,weather in nyc,,0
20319,west oaklane charter school,,0
20323,what is a home equity line,,0
20327,pitahaya,,0
20328,flight simulators,,0
20330,irving berlin,,0
20332,gbi crime lab,,0
20338,munster steel,,0
20339,houston community college,,0
20340,world political map,,0
20343,windows media player 9,,0
20344,football plays,,0
20347,stride rite,,0
20352,hopi food,,0
20353,weather seattle,,0
20357,hobcaw barony,,0
20358,midlands bible college,,0
20359,05 mitsubishi eclipse,,0
20362,peacecorp,,0
20363,ri vineyards,,0
20364,fiberglass cupola,,0
20365,canton ct,,0
20366,nye county school district,,0
20368,aluminium extrusion,,0
20371,third quarter moon,,0
20375,state of mississippi,,0
20378,honsodor hawaii,,0
20379,kidney disease,,0
20380,eastlake community center,,0
20384,dating violence,,0
20387,archaeology,,0
20388,3m,,0
20389,dictonaries,,0
20390,herald mail,,0
20392,relenza,,0
20393,blink reflex,,0
20395,amtrak emeryville,,0
20396,acrobat reader 7,,0
20398,variable number tandem repeat,,0
20399,how to get around surf control,,0
20405,347 ford engines,,0
20409,newspapers,,0
20411,black hole pictures,,0
20412,hospital anxiety and depression scale,,0
20416,companies that hire secret shoppers,,0
20419,how to get a divorce,,0
20420,ibew,,0
20422,greek husbands,,0
20424,growing tomatoes,,0
20425,888 numbers,,0
20426,arthur vasquez,,0
20429,acutron,,0
20431,oaklandtribune,,0
20432,add,,0
20434,dmv san francisco,,0
20435,burrito recipes,,0
20437,smug mug photography,,0
20440,hotels near downtown houston,,0
20445,circumferance,,0
20448,council bluffs,,0
20451,marilyn bohn,,0
20455,fraxel laser,,0
20457,modern maid wall oven,,0
20459,washington post sudoku,,0
20460,troy built dealers,,0
20463,the weather,,0
20464,crab dip appetizer,,0
20467,sanctuary lyrics,,0
20468,san diego parking,,0
20470,tetanus vaccine,,0
20472,ambra jones,,0
20480,randy miller,,0
20481,calvert cliffs maryland,,0
20482,girls getting it on,,0
20484,lake maps,,0
20485,german pens,,0
20486,frying pan tower,,0
20488,american express travel,,0
20490,prc,,0
20493,how to gain weight,,0
20496,goodyear fuel max tires,,0
20500,bank holding companies,,0
20503,zylotol,,0
20505,bravo network,,0
20507,wilson,,0
20516,dreamweaver software,,0
20517,wilsons disease,,0
20523,myron corporation,,0
20526,air tran airlines,,0
20527,molly strong,,0
20528,pinecrest tropical gardens,,0
20530,menstrual cycle,,0
20533,foreclosures list,,0
20535,nbc richard engel,,0
20536,external radiation therapy,,0
20537,golden gate bridge,,0
20538,carl epstein,,0
20539,model trains,,0
20542,how does the fly pentop computer work,,0
20544,history of saint barthelemy,,0
20545,pita recipe,,0
20546,rio grande,,0
20548,ankle implants,,0
20551,squash cassarole recipes,,0
20555,glenohumeral subluxation,,0
20556,menorraghia,,0
20557,how to buy tax liens,,0
20559,cellular phone directory,,0
20560,sports kits,,0
20567,kathy ireland,,0
20569,clarksville tn rental property,,0
20570,lg lhd45el,,0
20573,greece,,0
20574,acidophilus,,0
20578,houses for sale by auction,,0
20579,garfield county school district colorado,,0
20581,piggly wiggly store ads,,0
20583,saugerties central school district,,0
20584,home remedies for canker sores,,0
20586,weston,,0
20589,nikki swanson,,0
20590,window well,,0
20591,microsoft home,,0
20592,itching inside chest,,0
20595,texas auction academy,,0
20596,gsa catalog,,0
20597,dumpster rental,,0
20598,route 666,,0
20601,garlic cholesterol,,0
20603,klinger gaskets,,0
20604,honda insight,,0
20605,causes of the cold war,,0
20607,hawaii real estate,,0
20608,cia hyde park,,0
20614,danny elfman,,0
20617,cowboy crafts,,0
20618,hematology reports,,0
20620,weather in eastern carribbean,,0
20622,pielet brothers,,0
20624,george sanders,,0
20625,wounded warrior act,,0
20628,krypton diagram,,0
20629,magnetic fields,,0
20630,tonga,,0
20631,hague convention,,0
20641,new bedford rmv,,0
20642,ph levels,,0
20643,architects in new jersey,,0
20644,vice president richard nixon,,0
20649,wentzville school district,,0
20650,nicknames,,0
20652,best free people finder,,0
20655,foodnetwork,,0
20656,1940 census,,0
20657,background disclosure forms,,0
20658,east orange va,,0
20660,berkley insurance,,0
20661,technology in the medical field,,0
20662,abbeyville sc,,0
20663,antique stoneware crock,,0
20668,more cowbell script,,0
20669,eriogonum jamesii,,0
20682,sterling planet,,0
20686,jobs in washington,,0
20688,skagit valley herald,,0
20691,airport parking,,0
20697,dooney bourke look alike,,0
20699,pain relief,,0
20704,detroit riot,,0
20705,choreathetosis,,0
20708,photograph to digital converter,,0
20710,atlantis games,,0
20713,knotts berry farm,,0
20718,sno bikes,,0
20719,barack obama senator for illinois,,0
20721,constitution of italy,,0
20722,pokemon episode guide,,0
20725,dooney burke outlet store,,0
20726,vista add printer,,0
20727,ovulation calendar,,0
20729,lonely indian housewives,,0
20732,saint maarten weather,,0
20733,navy swords,,0
20736,oakwood friends school,,0
20738,locks of love,,0
20740,pelican harbor marina,,0
20741,polk county texas,,0
20744,craig olejnik,,0
