qid,abstractqueryexpansion,abstractqueryexpansion.bm25.recip_rank,qid,backtranslation_yue_hant,backtranslation_yue_hant.bm25.recip_rank,qid,backtranslation_kor_hang,backtranslation_kor_hang.bm25.recip_rank,qid,backtranslation_arb_arab,backtranslation_arb_arab.bm25.recip_rank,qid,backtranslation_pes_arab,backtranslation_pes_arab.bm25.recip_rank,qid,backtranslation_fra_latn,backtranslation_fra_latn.bm25.recip_rank,qid,backtranslation_deu_latn,backtranslation_deu_latn.bm25.recip_rank,qid,backtranslation_rus_cyrl,backtranslation_rus_cyrl.bm25.recip_rank,qid,backtranslation_zsm_latn,backtranslation_zsm_latn.bm25.recip_rank,qid,backtranslation_tam_taml,backtranslation_tam_taml.bm25.recip_rank,qid,backtranslation_swh_latn,backtranslation_swh_latn.bm25.recip_rank
301,International Organized Crime,0.2,301,International organized crime,0.2,301,International organized crime,0.2,301,International organized crime,0.2,301,International organized crime,0.2,301,International organized crime,0.2,301,International organised crime,0.3333,301,International organized crime,0.2,301,International Organized Crime,0.2,301,International organized crime,0.2,301,International Crime,0.25
302,Poliomyelitis and Post-Polio,1.0,302,After polio and polio,0.5,302,Polymorphism and polio,0.5,302,Polio and polio after polio,0.5,302,Polio and its aftermath,1.0,302,Polio and lateral polio,0.5,302,Polio and postpolio,1.0,302,Polio and postpolio,1.0,302,Polio and Pospolio,1.0,302,After Polyamory and Polio,0.5,302,Polio and Afterpolio,1.0
303,Hubble Telescope Achievements,0.5,303,The Hubble Telescope has achieved this,0.5,303,The achievement of the Hubble Telescope,0.5,303,The achievements of the Hubble Telescope,0.5,303,The achievements of the Hubble Telescope,0.5,303,The achievements of the Hubble Telescope,0.5,303,Achievements of the Hubble Telescope,0.5,303,The achievements of the Hubble Telescope,0.5,303,The achievements of the Hubble Telescope,0.5,303,Hubble s telescope achievements,0.5,303,The success of the Hubble Telescope,0.2
304,Endangered Species (Mammals),1.0,304,They are endangered,0.5,304,Endangered species,0.3333,304,Endangered species   mammals,1.0,304,Endangered species  clouds,0.3333,304,Endangered species  mammal,1.0,304,Endangered species  mammal,1.0,304,Threatened species  self skins,0.5,304,Endangered species  s,0.3333,304,The species in danger of extinction  type,1.0,304,Endangered Species  Animals,0.3333
305,Most Dangerous Vehicles,0.0137,305,The most dangerous car,0.0625,305,The most dangerous vehicle,0.0137,305,More dangerous cars,0.0667,305,The most dangerous vehicles,0.0137,305,The most dangerous vehicles,0.0137,305,Most dangerous vehicles,0.0137,305,The most dangerous vehicles,0.0137,305,The Most Dangerous Vehicle,0.0137,305,The most dangerous vehicles,0.0137,305,The Most Dangerous Cars,0.0625
306,African Civilian Deaths,1.0,306,African citizens dying,0.5,306,African civilian deaths,1.0,306,Civilian deaths in Africa,1.0,306,Death of African citizens,0.0909,306,The deaths of African civilians,1.0,306,African civilian deaths,1.0,306,Death of civilians in Africa,1.0,306,The Death of Civilians in Africa,1.0,306,African civilian deaths,1.0,306,The Deaths of Politicians in Africa,0.1
307,New Hydroelectric Projects,1.0,307,New hydroelectric projects,1.0,307,A new hydropower project,1.0,307,New hydropower projects,1.0,307,New hydroelectric projects,1.0,307,New hydroelectric projects,1.0,307,New hydropower plants,0.5,307,New hydroelectric projects,1.0,307,New hydroelectric project,1.0,307,New hydroelectric projects,1.0,307,New Water Power Projects,0.5
308,Implant Dentistry,1.0,308,Dental implants,1.0,308,Implantation surgery,0.0588,308,Hosted dentistry,0.0909,308,Dental implant,1.0,308,Dentistry of implants,1.0,308,Implant teeth,1.0,308,Dentistry of implants,1.0,308,Implant dentistry,1.0,308,Surgery,0.0,308,Dental disease,0.5
309,Rap and Crime,0.0034,309,Violence and crime,0.0,309,Rap and crime,0.0034,309,Rape and murder,0.0,309,Rape and crime,0.0,309,Rap and crime,0.0034,309,Rap and crime,0.0034,309,Rap and Crime,0.0034,309,Rap and Crime,0.0034,309,Sexual assault and crime,0.0,309,The Crime of Eternity,0.0
310,Radio Waves and Brain Cancer,1.0,310,Telewave and brain cancer,0.25,310,Radiation and Brain Cancer,1.0,310,Radio waves and brain cancer,1.0,310,Radio waves and brain cancer,1.0,310,Radio waves and brain cancer,1.0,310,Radio waves and brain cancer,1.0,310,Radio waves and brain cancer,1.0,310,Radio waves and brain cancer,1.0,310,Radio waves and brain cancer,1.0,310,Radio Waves and Brain Cancer,1.0
