qid,abstractqueryexpansion,abstractqueryexpansion.qld.map,star_model_count,method.1,metric.1,query.1,method.2,metric.2,query.2,method.3,metric.3,query.3,method.4,metric.4,query.4,method.5,metric.5,query.5,method.6,metric.6,query.6,method.7,metric.7,query.7,method.8,metric.8,query.8,method.9,metric.9,query.9
301,International Organized Crime,0.0282,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
302,Poliomyelitis and Post-Polio,0.5585,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
303,Hubble Telescope Achievements,0.1915,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
304,Endangered Species (Mammals),0.1124,4,backtranslation_swh_latn,0.134,Endangered Species  Animals,backtranslation_pes_arab,0.129,Endangered species  clouds,backtranslation_kor_hang,0.1239,Endangered species,backtranslation_zsm_latn,0.1145,Endangered species  s,,,,,,,,,,,,,,,
305,Most Dangerous Vehicles,0.0051,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
306,African Civilian Deaths,0.1084,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
307,New Hydroelectric Projects,0.3172,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
308,Implant Dentistry,0.2839,3,backtranslation_deu_latn,0.5026,Implant teeth,backtranslation_yue_hant,0.5011,Dental implants,backtranslation_pes_arab,0.5011,Dental implant,,,,,,,,,,,,,,,,,,
309,Rap and Crime,0.0011,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
310,Radio Waves and Brain Cancer,0.1384,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
311,Industrial Espionage,0.3797,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
312,Hydroponics,0.8626,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
313,Magnetic Levitation-Maglev,0.7848,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
314,Marine Vegetation,0.0035,8,backtranslation_yue_hant,0.197,The seaweed,backtranslation_pes_arab,0.197,Seaweed,backtranslation_deu_latn,0.0309,Sea farming,backtranslation_rus_cyrl,0.0263,Sea vegetation,backtranslation_arb_arab,0.0251,Marine plants,backtranslation_kor_hang,0.0063,Sea plants,backtranslation_zsm_latn,0.0063,Sea plants,backtranslation_tam_taml,0.0063,Sea plants,,,
315,Unexplained Highway Accidents,0.0164,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
316,Polygamy Polyandry Polygyny,0.579,5,backtranslation_yue_hant,0.6569,Polygamy is polygamy,backtranslation_fra_latn,0.6569,Polygamy and polygamy,backtranslation_deu_latn,0.6569,Polygamy and polygamy,backtranslation_rus_cyrl,0.6569,Polygamy of Polyandria Polygania,backtranslation_zsm_latn,0.6569,Polygamy Polygamy,,,,,,,,,,,,
317,Unsolicited Faxes,0.5054,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
318,Best Retirement Country,0.0075,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
319,New Fuel Sources,0.1185,1,backtranslation_deu_latn,0.1198,New fuels,,,,,,,,,,,,,,,,,,,,,,,,
320,Undersea Fiber Optic Cable,0.0509,2,backtranslation_fra_latn,0.0895,Submarine fibre optic cable,backtranslation_arb_arab,0.0607,Sea fiber cable underwater,,,,,,,,,,,,,,,,,,,,,
321,Women in Parliaments,0.2545,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
322,International Art Crime,0.0009,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
323,Literary/Journalistic Plagiarism,0.2525,1,backtranslation_zsm_latn,0.3235,Literary plagiarism,,,,,,,,,,,,,,,,,,,,,,,,
324,Argentine/British Relations,0.4124,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
325,Cult Lifestyles,0.0718,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
326,Ferry Sinkings,0.6287,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
