qid,abstractqueryexpansion,abstractqueryexpansion.qld.recip_rank,qid,backtranslation_yue_hant,backtranslation_yue_hant.qld.recip_rank,qid,backtranslation_kor_hang,backtranslation_kor_hang.qld.recip_rank,qid,backtranslation_arb_arab,backtranslation_arb_arab.qld.recip_rank,qid,backtranslation_pes_arab,backtranslation_pes_arab.qld.recip_rank,qid,backtranslation_fra_latn,backtranslation_fra_latn.qld.recip_rank,qid,backtranslation_deu_latn,backtranslation_deu_latn.qld.recip_rank,qid,backtranslation_rus_cyrl,backtranslation_rus_cyrl.qld.recip_rank,qid,backtranslation_zsm_latn,backtranslation_zsm_latn.qld.recip_rank,qid,backtranslation_tam_taml,backtranslation_tam_taml.qld.recip_rank,qid,backtranslation_swh_latn,backtranslation_swh_latn.qld.recip_rank
301,International Organized Crime,0.25,301,International organized crime,0.25,301,International organized crime,0.25,301,International organized crime,0.25,301,International organized crime,0.25,301,International organized crime,0.25,301,International organised crime,0.5,301,International organized crime,0.25,301,International Organized Crime,0.25,301,International organized crime,0.25,301,International Crime,0.1429
302,Poliomyelitis and Post-Polio,1.0,302,After polio and polio,0.5,302,Polymorphism and polio,0.3333,302,Polio and polio after polio,0.5,302,Polio and its aftermath,1.0,302,Polio and lateral polio,0.5,302,Polio and postpolio,0.5,302,Polio and postpolio,0.5,302,Polio and Pospolio,0.5,302,After Polyamory and Polio,0.5,302,Polio and Afterpolio,0.5
303,Hubble Telescope Achievements,0.5,303,The Hubble Telescope has achieved this,0.5,303,The achievement of the Hubble Telescope,0.5,303,The achievements of the Hubble Telescope,0.5,303,The achievements of the Hubble Telescope,0.5,303,The achievements of the Hubble Telescope,0.5,303,Achievements of the Hubble Telescope,0.5,303,The achievements of the Hubble Telescope,0.5,303,The achievements of the Hubble Telescope,0.5,303,Hubble s telescope achievements,0.5,303,The success of the Hubble Telescope,0.2
304,Endangered Species (Mammals),0.25,304,They are endangered,0.5,304,Endangered species,1.0,304,Endangered species   mammals,0.25,304,Endangered species  clouds,1.0,304,Endangered species  mammal,0.25,304,Endangered species  mammal,0.25,304,Threatened species  self skins,1.0,304,Endangered species  s,1.0,304,The species in danger of extinction  type,1.0,304,Endangered Species  Animals,0.5
305,Most Dangerous Vehicles,0.0833,305,The most dangerous car,0.0909,305,The most dangerous vehicle,0.0833,305,More dangerous cars,0.0667,305,The most dangerous vehicles,0.0833,305,The most dangerous vehicles,0.0833,305,Most dangerous vehicles,0.0833,305,The most dangerous vehicles,0.0833,305,The Most Dangerous Vehicle,0.0833,305,The most dangerous vehicles,0.0833,305,The Most Dangerous Cars,0.0909
306,African Civilian Deaths,1.0,306,African citizens dying,0.25,306,African civilian deaths,1.0,306,Civilian deaths in Africa,1.0,306,Death of African citizens,0.3333,306,The deaths of African civilians,1.0,306,African civilian deaths,1.0,306,Death of civilians in Africa,1.0,306,The Death of Civilians in Africa,1.0,306,African civilian deaths,1.0,306,The Deaths of Politicians in Africa,0.2
307,New Hydroelectric Projects,1.0,307,New hydroelectric projects,1.0,307,A new hydropower project,1.0,307,New hydropower projects,1.0,307,New hydroelectric projects,1.0,307,New hydroelectric projects,1.0,307,New hydropower plants,0.5,307,New hydroelectric projects,1.0,307,New hydroelectric project,1.0,307,New hydroelectric projects,1.0,307,New Water Power Projects,0.5
308,Implant Dentistry,1.0,308,Dental implants,1.0,308,Implantation surgery,0.1111,308,Hosted dentistry,0.1,308,Dental implant,1.0,308,Dentistry of implants,1.0,308,Implant teeth,1.0,308,Dentistry of implants,1.0,308,Implant dentistry,1.0,308,Surgery,0.0,308,Dental disease,0.3333
309,Rap and Crime,0.0034,309,Violence and crime,0.0,309,Rap and crime,0.0034,309,Rape and murder,0.0,309,Rape and crime,0.0,309,Rap and crime,0.0034,309,Rap and crime,0.0034,309,Rap and Crime,0.0034,309,Rap and Crime,0.0034,309,Sexual assault and crime,0.0,309,The Crime of Eternity,0.001
310,Radio Waves and Brain Cancer,1.0,310,Telewave and brain cancer,0.25,310,Radiation and Brain Cancer,0.5,310,Radio waves and brain cancer,1.0,310,Radio waves and brain cancer,1.0,310,Radio waves and brain cancer,1.0,310,Radio waves and brain cancer,1.0,310,Radio waves and brain cancer,1.0,310,Radio waves and brain cancer,1.0,310,Radio waves and brain cancer,1.0,310,Radio Waves and Brain Cancer,1.0
311,Industrial Espionage,1.0,311,Industrial spy,0.3333,311,The spy industry,0.3333,311,Industrial espionage,1.0,311,Industrial spy,0.3333,311,Industrial espionage,1.0,311,The Commission has also adopted a proposal for a directive on the protection of workers  rights,0.0024,311,The industrial espionage,1.0,311,Industrial intelligence,1.0,311,Industrial intelligence,1.0,311,Industrial intelligence,1.0
312,Hydroponics,1.0,312,Hydrogeology,0.0,312,Water,0.0,312,Water,0.0,312,Hydroponics,1.0,312,Hydroponics,1.0,312,Hydrogen,0.0,312,Hydroponics,1.0,312,Hydroponics,1.0,312,The waterfall,0.0,312,Hydroponics,1.0
313,Magnetic Levitation-Maglev,1.0,313,The magnetic field Levitation Maglev,1.0,313,Self levitization  Magreve  is the most important thing,1.0,313,Magnetic distortion,0.05,313,Magnetic lights are on,0.05,313,Magnetic lift,0.1667,313,Magnetic levitation maglev,1.0,313,Magnetic levitation of the maggles,1.0,313,Magnetic levitation of the Maglev,1.0,313,Magnetic levitation McLav,1.0,313,Magnetic Levitation Maglev,1.0
314,Marine Vegetation,0.0303,314,The seaweed,1.0,314,Sea plants,0.1667,314,Marine plants,1.0,314,Seaweed,1.0,314,marine vegetation,0.0303,314,Sea farming,0.5,314,Sea vegetation,1.0,314,Sea plants,0.1667,314,Sea plants,0.1667,314,Seafood,0.0333
315,Unexplained Highway Accidents,0.1667,315,There s no reason for traffic accidents,0.125,315,An unexplained highway accident,0.1667,315,Unexplained road accidents,0.0217,315,Unexplained highway accidents,0.1667,315,Unexplained Road Accidents,0.0217,315,Unexplained car accidents,0.027,315,Unexplained Accidents,0.0025,315,Unexplained Highway Accidents,0.1667,315,Unexplained road accidents,0.0217,315,Unreported Road Accidents,0.02
316,Polygamy Polyandry Polygyny,1.0,316,Polygamy is polygamy,1.0,316,I m married  I m married  I m married  I m married  I m married  I m married  I m married  I m married  I m married  I m married  I m married  I m married  I m married  I m married  I m married  I m married  I m married  I m married  I m married  I m married  I m married  I m married  I m married  I m married  I m married  I m married  I m married  I m married  I m married  I m married  I m married  I m married  I m married  I m married  I m married  I m married  I m married  I m married  and I m married  and I m married  and I m married  and I m married  and I m married  and I m married  and I m married  and I m married  and I m married,0.0034,316,The marriage of the spouse to the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse,0.0027,316,A few wives  a few wives,0.0072,316,Polygamy and polygamy,1.0,316,Polygamy and polygamy,1.0,316,Polygamy of Polyandria Polygania,1.0,316,Polygamy Polygamy,1.0,316,The number of times a person is called a multiple,0.0,316,Parenting,0.0
317,Unsolicited Faxes,1.0,317,Unsolicited fax,1.0,317,Unsolicited Parks,0.25,317,The unwanted fax,1.0,317,Faxes unsolicited,1.0,317,Faxes not requested,0.25,317,Faxes not requested,0.25,317,Unwanted Faxes,1.0,317,Fax not requested,0.25,317,Unnecessary Faxes,0.0222,317,Faxes not requested,0.25
318,Best Retirement Country,0.1429,318,The best retired countries,0.1429,318,The best retirement country,0.1429,318,The best retirement state,0.0769,318,The best country is retired,0.1429,318,The best country for retirement,0.1429,318,Best retirement country,0.1429,318,The best country to retire,0.1429,318,The Best Retirement Countries,0.1429,318,The country with the best pension,0.1667,318,A Better Country to Leave,0.125
319,New Fuel Sources,0.3333,319,The new fuel source,0.3333,319,A new fuel source,0.3333,319,New fuel sources,0.3333,319,New fuel sources,0.3333,319,New sources of fuel,0.3333,319,New fuels,0.5,319,New sources of fuel,0.3333,319,Renewable Fuel,0.5,319,New sources of fuel,0.3333,319,A New Source of Oil,0.3333
