qid,abstractqueryexpansion,abstractqueryexpansion.bm25.map,qid,backtranslation_yue_hant,backtranslation_yue_hant.bm25.map,qid,backtranslation_kor_hang,backtranslation_kor_hang.bm25.map,qid,backtranslation_arb_arab,backtranslation_arb_arab.bm25.map,qid,backtranslation_pes_arab,backtranslation_pes_arab.bm25.map,qid,backtranslation_fra_latn,backtranslation_fra_latn.bm25.map,qid,backtranslation_deu_latn,backtranslation_deu_latn.bm25.map,qid,backtranslation_rus_cyrl,backtranslation_rus_cyrl.bm25.map,qid,backtranslation_zsm_latn,backtranslation_zsm_latn.bm25.map,qid,backtranslation_tam_taml,backtranslation_tam_taml.bm25.map,qid,backtranslation_swh_latn,backtranslation_swh_latn.bm25.map
301,International Organized Crime,0.0335,301,International organized crime,0.0335,301,International organized crime,0.0335,301,International organized crime,0.0335,301,International organized crime,0.0335,301,International organized crime,0.0335,301,International organised crime,0.01,301,International organized crime,0.0335,301,International Organized Crime,0.0335,301,International organized crime,0.0335,301,International Crime,0.0156
302,Poliomyelitis and Post-Polio,0.5704,302,After polio and polio,0.4815,302,Polymorphism and polio,0.4227,302,Polio and polio after polio,0.4776,302,Polio and its aftermath,0.4653,302,Polio and lateral polio,0.4776,302,Polio and postpolio,0.4852,302,Polio and postpolio,0.4852,302,Polio and Pospolio,0.4852,302,After Polyamory and Polio,0.4783,302,Polio and Afterpolio,0.4852
303,Hubble Telescope Achievements,0.1812,303,The Hubble Telescope has achieved this,0.1919,303,The achievement of the Hubble Telescope,0.1812,303,The achievements of the Hubble Telescope,0.1812,303,The achievements of the Hubble Telescope,0.1812,303,The achievements of the Hubble Telescope,0.1812,303,Achievements of the Hubble Telescope,0.1812,303,The achievements of the Hubble Telescope,0.1812,303,The achievements of the Hubble Telescope,0.1812,303,Hubble s telescope achievements,0.1803,303,The success of the Hubble Telescope,0.153
304,Endangered Species (Mammals),0.1361,304,They are endangered,0.0993,304,Endangered species,0.1297,304,Endangered species   mammals,0.1361,304,Endangered species  clouds,0.1333,304,Endangered species  mammal,0.1361,304,Endangered species  mammal,0.1361,304,Threatened species  self skins,0.0342,304,Endangered species  s,0.1202,304,The species in danger of extinction  type,0.0361,304,Endangered Species  Animals,0.1427
305,Most Dangerous Vehicles,0.0016,305,The most dangerous car,0.0023,305,The most dangerous vehicle,0.0016,305,More dangerous cars,0.0022,305,The most dangerous vehicles,0.0016,305,The most dangerous vehicles,0.0016,305,Most dangerous vehicles,0.0016,305,The most dangerous vehicles,0.0016,305,The Most Dangerous Vehicle,0.0016,305,The most dangerous vehicles,0.0016,305,The Most Dangerous Cars,0.0023
306,African Civilian Deaths,0.1196,306,African citizens dying,0.0043,306,African civilian deaths,0.1196,306,Civilian deaths in Africa,0.0839,306,Death of African citizens,0.0231,306,The deaths of African civilians,0.1196,306,African civilian deaths,0.1196,306,Death of civilians in Africa,0.0839,306,The Death of Civilians in Africa,0.0839,306,African civilian deaths,0.1196,306,The Deaths of Politicians in Africa,0.0163
307,New Hydroelectric Projects,0.2849,307,New hydroelectric projects,0.2849,307,A new hydropower project,0.0701,307,New hydropower projects,0.0701,307,New hydroelectric projects,0.2849,307,New hydroelectric projects,0.2849,307,New hydropower plants,0.0463,307,New hydroelectric projects,0.2849,307,New hydroelectric project,0.2849,307,New hydroelectric projects,0.2849,307,New Water Power Projects,0.0508
308,Implant Dentistry,0.2914,308,Dental implants,0.5017,308,Implantation surgery,0.034,308,Hosted dentistry,0.0227,308,Dental implant,0.5017,308,Dentistry of implants,0.2914,308,Implant teeth,0.5028,308,Dentistry of implants,0.2914,308,Implant dentistry,0.2914,308,Surgery,0.0,308,Dental disease,0.1311
309,Rap and Crime,0.0011,309,Violence and crime,0.0,309,Rap and crime,0.0011,309,Rape and murder,0.0,309,Rape and crime,0.0,309,Rap and crime,0.0011,309,Rap and crime,0.0011,309,Rap and Crime,0.0011,309,Rap and Crime,0.0011,309,Sexual assault and crime,0.0,309,The Crime of Eternity,0.0
310,Radio Waves and Brain Cancer,0.144,310,Telewave and brain cancer,0.0933,310,Radiation and Brain Cancer,0.1373,310,Radio waves and brain cancer,0.144,310,Radio waves and brain cancer,0.144,310,Radio waves and brain cancer,0.144,310,Radio waves and brain cancer,0.144,310,Radio waves and brain cancer,0.144,310,Radio waves and brain cancer,0.144,310,Radio waves and brain cancer,0.144,310,Radio Waves and Brain Cancer,0.144
