qid,abstractqueryexpansion,abstractqueryexpansion.bm25.recip_rank,star_model_count,method.1,metric.1,query.1,method.2,metric.2,query.2,method.3,metric.3,query.3,method.4,metric.4,query.4,method.5,metric.5,query.5,method.6,metric.6,query.6,method.7,metric.7,query.7,method.8,metric.8,query.8,method.9,metric.9,query.9,method.10,metric.10,query.10
3990512,how can we get concentration onsomething?,0.1429,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
714612,Why doesn't the water fall off  earth if it's round?,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2528767,How do I determine the charge of the iron ion in FeCl3?,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
821387,I have mice.How do I get rid of them humanely?,0.5,4,backtranslation_yue_hant,1.0,I have mice  How can I get rid of them humanely,backtranslation_arb_arab,1.0,I have rats  How do I get rid of them human,backtranslation_rus_cyrl,1.0,I have mice  how can I get rid of them humanely,backtranslation_zsm_latn,1.0,I have rats  How do I get rid of them humanely,,,,,,,,,,,,,,,,,,
1880028,"What does ""see Leaflet"" mean on Ept Pregnancy test?",1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4448097,what is innate immunity?,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1287437,how can i lose 30 pounds by june3?,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2956570,"What are the words to write the sound of raindrops, moving train & scribbling w/ pencil on paper figuratively?",1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1351675,Why must I have an uncracked winshield in order to for my car to pass a safety inspeciton?,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1783010,What is Blaphsemy?,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799913,What's the proper way to express sorrow at a funeral?,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2142044,What do you speculate happened to Natalie Holloway in Aruba?,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
707303,"How do people get hiccups, what are they, and what exactly is the best way to cure them?",1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
676028,Why do our elected federal senators and congressmen not have to live on regular S.S. like the rest of us?,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484180,why do people judge a dog by what he looks like?,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2307305,Why do man rape little girls?,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814599,what does the word remission mean when referring to cancer patients?,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3369088,how can we stop the spread of islam?,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1702151,How patient a driver are you?,0.0588,2,backtranslation_fra_latn,1.0,Are you a patient driver,backtranslation_zsm_latn,0.125,How patient is your driver,,,,,,,,,,,,,,,,,,,,,,,,
851124,How is ego a part of our survival instincts?,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3698636,why do cats headbutt?,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1844896,How to cook Angus burgers?,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2290758,Why do people ask questions they know?,0.2,1,backtranslation_tam_taml,0.3333,Why do people ask familiar questions,,,,,,,,,,,,,,,,,,,,,,,,,,,
143833,What is the difference between coolant and anti-freeze?,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3910925,Why is yawning contagious?,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2643507,why does milk cost more than gas per gallon?,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1502604,how do crooks  make  fake   passports  ?,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4283542,i have had loose stools for a week...how do i make it stop?,0.25,1,backtranslation_fra_latn,0.3333,I ve had a loose stool for a week  How can I stop it,,,,,,,,,,,,,,,,,,,,,,,,,,,
3554263,"why some people behave so rude without reason,is it due to their own problem?",1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3313308,how can I enjoy my time alone?,0.25,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4357460,how to make my car faster?,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2582920,What is the difference in a dried plum and a dried prune?,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4462511,How do i know if my gold fish is pregnant?,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2795030,Why do people drink Cuervo when it tastes the same going down as coming up?,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
312215,how good is apple pie when it is cold?,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3363149,Why do Arabs and Mexicans look alike?,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1944018,Why can't teenagers vote?,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
788976,Why did the Bush Admin cover up 9/11?,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4385316,How do I keep black birds out of my bar-b-que grill?,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
551239,how do i find out if someone left me a life insurance policy?,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3499881,Why is Gordon Ramsey so popular?,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4311093,Why hot air rises up?,0.5,6,backtranslation_kor_hang,1.0,Why is the hot air rising,backtranslation_arb_arab,1.0,Why is the hot air rising,backtranslation_fra_latn,1.0,Why is the hot air rising,backtranslation_deu_latn,1.0,Why is the hot air rising,backtranslation_rus_cyrl,1.0,Why is the hot air rising,backtranslation_tam_taml,1.0,Why is the hot air rising,,,,,,,,,,,,
4256593,How do I remove the SIMM card on a LG VX8300 Cell Phone?,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1017690,what is the history of indian music?,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
667488,how soon can you drive on a newly paved driveway?,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3507491,Why is religious freedom more important today?,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2634143,"what is direct borrowing, phonological borrowing, linguistic borrowing, cultural borrowing,intimate borrowing?",1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3396066,Why do airplanes fly so high?,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2892478,what factors cause the Earth to heat unevenly?,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3155314,"we have pork chops, veal chops, lamb chops, why is there not any beef chops ?",0.3333,7,backtranslation_pes_arab,1.0,We have pork  doll s meat  lamb s meat  why not beef,backtranslation_tam_taml,1.0,Why not pork  beef  lamb  goat,backtranslation_swh_latn,1.0,We have pork  veal  sheep  why not beef,backtranslation_arb_arab,0.5,We have pork  veal  lamb  why is there no beef,backtranslation_deu_latn,0.5,We have pork  veal  lamb  why is there no beef,backtranslation_rus_cyrl,0.5,We have pigs  calves  lambs  why is there no beef,backtranslation_zsm_latn,0.5,We have pork  beef  lamb  why not beef,,,,,,,,,
785823,how is the library consider as a heart of university?,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815090,how cloning will affects our community?,0.5,2,backtranslation_zsm_latn,1.0,How will cloning affect our society,backtranslation_tam_taml,1.0,How does cloning affect our society,,,,,,,,,,,,,,,,,,,,,,,,
2713171,What does the sentence's mean?,0.1667,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1821193,"Why do people feed poison (sugar) to their kids on Easter, and why are there no chocolate Jesuses?",1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4185501,why does the sun shine?,0.5,6,backtranslation_kor_hang,1.0,Why is the sun shining,backtranslation_fra_latn,1.0,Why is the sun shining,backtranslation_deu_latn,1.0,Why is the sun shining,backtranslation_rus_cyrl,1.0,Why is the sun shining,backtranslation_zsm_latn,1.0,Why is the sun shining,backtranslation_tam_taml,1.0,Why is the sun shining,,,,,,,,,,,,
4473331,How can I keep my rabit indoors?,0.5,2,backtranslation_deu_latn,1.0,How can I keep my rabbit in the house,backtranslation_zsm_latn,1.0,How can I keep my rabbit in the house,,,,,,,,,,,,,,,,,,,,,,,,
4190287,Why is switching schools so depressing?,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1937374,how to get 277 V AC ?,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1459749,Why don't I have an asthma attack during sex?,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23464,why girls are beautiful?,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4377861,how to handsew sequins?,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3385681,"if red bull is soo bad for people ,then why is it soo popular?",1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1794677,How can I treat my Acne Scars?,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3301173,how to design road crust for national highways?,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204633,Why do you have memories?,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3960080,Why don't commercial planes fly over the North Pole?,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1262692,How can I get rid of pimples on my back?,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
558570,"My city just put a ban on pit bulls, how do we reverse the decision?",1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
