qid,abstractqueryexpansion,abstractqueryexpansion.bm25.map,star_model_count,method.1,metric.1,query.1,method.2,metric.2,query.2,method.3,metric.3,query.3,method.4,metric.4,query.4,method.5,metric.5,query.5,method.6,metric.6,query.6,method.7,metric.7,query.7,method.8,metric.8,query.8,method.9,metric.9,query.9
3990512,how can we get concentration onsomething?,0.0201,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
714612,Why doesn't the water fall off  earth if it's round?,0.4597,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2528767,How do I determine the charge of the iron ion in FeCl3?,0.6098,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
821387,I have mice.How do I get rid of them humanely?,0.0172,9,backtranslation_fra_latn,0.1546,I have mice  how can we get rid of them humanely,backtranslation_yue_hant,0.1375,I have mice  How can I get rid of them humanely,backtranslation_rus_cyrl,0.1375,I have mice  how can I get rid of them humanely,backtranslation_deu_latn,0.0562,I have mice  how can I get rid of them humanly,backtranslation_arb_arab,0.0391,I have rats  How do I get rid of them human,backtranslation_zsm_latn,0.0391,I have rats  How do I get rid of them humanely,backtranslation_pes_arab,0.0363,I have rats  How can I get rid of them human,backtranslation_tam_taml,0.0363,I have rats  How can I get rid of them humanely,backtranslation_swh_latn,0.0335,I have a mouse  How can I get rid of the mouse humanely
1880028,"What does ""see Leaflet"" mean on Ept Pregnancy test?",0.6303,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4448097,what is innate immunity?,0.5093,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1287437,how can i lose 30 pounds by june3?,0.3527,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2956570,"What are the words to write the sound of raindrops, moving train & scribbling w/ pencil on paper figuratively?",0.5022,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1351675,Why must I have an uncracked winshield in order to for my car to pass a safety inspeciton?,0.1954,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1783010,What is Blaphsemy?,0.0556,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799913,What's the proper way to express sorrow at a funeral?,0.4168,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2142044,What do you speculate happened to Natalie Holloway in Aruba?,0.5097,1,backtranslation_deu_latn,0.6926,What happened to Natalie Holloway in Aruba,,,,,,,,,,,,,,,,,,,,,,,,
707303,"How do people get hiccups, what are they, and what exactly is the best way to cure them?",0.2473,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
676028,Why do our elected federal senators and congressmen not have to live on regular S.S. like the rest of us?,0.4446,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484180,why do people judge a dog by what he looks like?,0.1174,4,backtranslation_zsm_latn,0.1371,Why do people judge dogs by their looks,backtranslation_arb_arab,0.1184,Why do people judge a dog by how it looks,backtranslation_fra_latn,0.1184,Why do people judge a dog by how it looks,backtranslation_rus_cyrl,0.1184,Why do people judge a dog by how it looks,,,,,,,,,,,,,,,
2307305,Why do man rape little girls?,0.3126,2,backtranslation_kor_hang,0.3657,Why does a man rape young girls,backtranslation_pes_arab,0.3226,Why would a man rape a little girl,,,,,,,,,,,,,,,,,,,,,
2814599,what does the word remission mean when referring to cancer patients?,0.4895,1,backtranslation_deu_latn,0.597,What does the word  remission  mean in cancer patients,,,,,,,,,,,,,,,,,,,,,,,,
3369088,how can we stop the spread of islam?,0.339,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1702151,How patient a driver are you?,0.0973,1,backtranslation_fra_latn,0.345,Are you a patient driver,,,,,,,,,,,,,,,,,,,,,,,,
851124,How is ego a part of our survival instincts?,0.4305,1,backtranslation_arb_arab,0.4418,How is selfishness part of the survival instinct,,,,,,,,,,,,,,,,,,,,,,,,
3698636,why do cats headbutt?,0.0572,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1844896,How to cook Angus burgers?,0.5073,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2290758,Why do people ask questions they know?,0.0622,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
