qid,abstractqueryexpansion,abstractqueryexpansion.qld.map,qid,backtranslation_yue_hant,backtranslation_yue_hant.qld.map,qid,backtranslation_kor_hang,backtranslation_kor_hang.qld.map,qid,backtranslation_arb_arab,backtranslation_arb_arab.qld.map,qid,backtranslation_pes_arab,backtranslation_pes_arab.qld.map,qid,backtranslation_fra_latn,backtranslation_fra_latn.qld.map,qid,backtranslation_deu_latn,backtranslation_deu_latn.qld.map,qid,backtranslation_rus_cyrl,backtranslation_rus_cyrl.qld.map,qid,backtranslation_zsm_latn,backtranslation_zsm_latn.qld.map,qid,backtranslation_tam_taml,backtranslation_tam_taml.qld.map,qid,backtranslation_swh_latn,backtranslation_swh_latn.qld.map
3990512,how can we get concentration onsomething?,0.1266,3990512,How do we focus on work,0.0001,3990512,How can we focus,0.0001,3990512,How can we focus on something,0.0001,3990512,How can we focus,0.0001,3990512,How can we focus our attention on something,0.0,3990512,How can we focus on something,0.0001,3990512,How can we focus on something,0.0001,3990512,How can we focus on something,0.0001,3990512,How can we focus on something,0.0001,3990512,how can we focus on something,0.0001
714612,Why doesn't the water fall off  earth if it's round?,0.1947,714612,If it s round  why doesn t water fall to the earth,0.0325,714612,Why doesn t water fall off the ground if it s round,0.0162,714612,Why doesn t water fall off the ground if it s round,0.0162,714612,Why doesn t water fall from the ground if it s dust,0.0008,714612,Why doesn t the water fall from the ground if it s round,0.0144,714612,Why doesn t water fall from the earth when it s round,0.0307,714612,Why doesn t water fall from the ground if it s round,0.0144,714612,Why doesn t water fall from the earth if it s round,0.0307,714612,If it is round  why does water not fall from the earth,0.1924,714612,Why does the water not stop from the earth if it is a circle,0.0001
2528767,How do I determine the charge of the iron ion in FeCl3?,0.3845,2528767,How do I determine the charge of iron ions in FeCl,0.241,2528767,How do you determine the charge of the iron ion of FeCl,0.2407,2528767,How do I find the iron ion charge in Fickle,0.2067,2528767,How do I determine the iron ion content in FeCl,0.0831,2528767,How do we determine the charge of the iron ion in FeCl,0.2378,2528767,How do we determine the charge of the ion in FeCl,0.118,2528767,How do you determine the iron ion charge in FeCl,0.2407,2528767,How do I determine the charge of iron ions in FeCl,0.241,2528767,How do I determine the charge of iron ions in FeCl,0.241,2528767,How can I determine the charge of iron ions in FeCl,0.2352
821387,I have mice.How do I get rid of them humanely?,0.015,821387,I have mice  How can I get rid of them humanely,0.1761,821387,There s a rat  How can we eliminate it humanly,0.0011,821387,I have rats  How do I get rid of them human,0.0266,821387,I have rats  How can I get rid of them human,0.0313,821387,I have mice  how can we get rid of them humanely,0.1886,821387,I have mice  how can I get rid of them humanly,0.0718,821387,I have mice  how can I get rid of them humanely,0.1761,821387,I have rats  How do I get rid of them humanely,0.0266,821387,I have rats  How can I get rid of them humanely,0.0313,821387,I have a mouse  How can I get rid of the mouse humanely,0.03
1880028,"What does ""see Leaflet"" mean on Ept Pregnancy test?",0.4192,1880028,What does Ept pregnancy test mean by  check the news,0.3692,1880028,What does the  car guide  mean for the Ept pregnancy test,0.3714,1880028,What does  see page  mean on the Ept pregnancy test,0.3847,1880028,What does the Ept pregnancy test mean,0.3982,1880028,What does   seeing the prospectus   mean on the Ept pregnancy test,0.3241,1880028,What does  see brochure  mean for Ept pregnancy test,0.3093,1880028,What does the word   see leaflet   mean on the Ept Pregnancy test,0.4167,1880028,What do you mean  see launch  on the Ept pregnancy test,0.3586,1880028,What does it mean to look at  Leaflet  in the Ept Pregnancy test,0.4119,1880028,What does  See Leaflet  mean in the Ept Parenting exam,0.2259
4448097,what is innate immunity?,0.2677,4448097,What is immunity,0.2229,4448097,What is innate immunity,0.2677,4448097,What is innate immunity,0.2677,4448097,What is intrinsic safety,0.0,4448097,What is innate immunity,0.2677,4448097,What is innate immunity,0.2677,4448097,What is innate immunity,0.2677,4448097,What is natural immunity,0.1329,4448097,What is the innate immune system,0.2279,4448097,what is natural defense,0.0002
1287437,how can i lose 30 pounds by june3?,0.2664,1287437,How can I lose    pounds by June  rd,0.0715,1287437,How can we lose  kg by June,0.0009,1287437,How can I lose    pounds on June,0.11,1287437,How can I lose    pounds by June,0.11,1287437,How can I lose    pounds before June  rd,0.0672,1287437,How can I lose    pounds by June,0.11,1287437,How can I lose    pounds by June,0.11,1287437,How can I lose    pounds on June,0.11,1287437,How can I lose    pounds by June,0.11,1287437,How can I lose    pounds by June,0.11
2956570,"What are the words to write the sound of raindrops, moving train & scribbling w/ pencil on paper figuratively?",0.4231,2956570,What is it that you see in the picture  the rain  the train  the pen on the paper,0.0203,2956570,Railroad movements  pencils and paper writing,0.1329,2956570,What words write the sound of rain drops  moving train and w pen on paper figuratively,0.056,2956570,What are the words to write down the sound of rain drops  the movement of trains  and the cross dressing of a pen on paper,0.0366,2956570,What words are used to write the sound of rain drops  the moving train  and pencil writing on paper,0.1517,2956570,What are the words to write the sound of rain drops  the train and the screaming with pencil on paper,0.1617,2956570,What words to write the sound of a rain drop  a moving train  writing in pencil on paper,0.1514,2956570,What words to write the sound of rain  the train moving   scratching w pencil on paper symbolically,0.2481,2956570,What are the sounds of rain drops  the moving train  and the words that write a pen on paper,0.0549,2956570,What words can record the sound of raindrops as a train travels and writes with a pen on paper,0.0644
1351675,Why must I have an uncracked winshield in order to for my car to pass a safety inspeciton?,0.19,1351675,Why do I need a window that s not damaged to pass through security,0.0,1351675,Why would I need a wing clip without one to pass a safety check,0.0157,1351675,Why do I have to have a window shield just to get my car tested,0.0,1351675,Why do I have to have a curtain that s not broken to get my car through security,0.0,1351675,Why do I have to have a shield without cracks to get my car through a security check,0.0002,1351675,Why do I have to have an unbroken windshield to get my car through a security check,0.0024,1351675,Why do I need a shield to get my car through a security check,0.0001,1351675,Why do I need a horn guard that doesn t break so my car can pass a security check,0.0002,1351675,Why should I wear a windshield in order to go to my car safety inspection,0.0408,1351675,Why do I need a faultless cover to pass a safety check,0.0555
1783010,What is Blaphsemy?,0.0556,1783010,What is Blaphsemy,0.0556,1783010,What is BLAFFSEMY,0.0,1783010,What is Blassomie,0.0,1783010,What is Blassom,0.0,1783010,What is the Blaphsemy,0.0556,1783010,What is Blaphsemy,0.0556,1783010,What s with the Bluffs,0.0,1783010,What is that  Blaphsemy,0.0556,1783010,What is placheamy,0.0,1783010,What is Blaphsemy,0.0556
