qid,abstractqueryexpansion,abstractqueryexpansion.qld.recip_rank,qid,backtranslation_yue_hant,backtranslation_yue_hant.qld.recip_rank,qid,backtranslation_kor_hang,backtranslation_kor_hang.qld.recip_rank,qid,backtranslation_arb_arab,backtranslation_arb_arab.qld.recip_rank,qid,backtranslation_pes_arab,backtranslation_pes_arab.qld.recip_rank,qid,backtranslation_fra_latn,backtranslation_fra_latn.qld.recip_rank,qid,backtranslation_deu_latn,backtranslation_deu_latn.qld.recip_rank,qid,backtranslation_rus_cyrl,backtranslation_rus_cyrl.qld.recip_rank,qid,backtranslation_zsm_latn,backtranslation_zsm_latn.qld.recip_rank,qid,backtranslation_tam_taml,backtranslation_tam_taml.qld.recip_rank,qid,backtranslation_swh_latn,backtranslation_swh_latn.qld.recip_rank
3990512,how can we get concentration onsomething?,0.0833,3990512,How do we focus on work,0.0028,3990512,How can we focus,0.0031,3990512,How can we focus on something,0.0024,3990512,How can we focus,0.0031,3990512,How can we focus our attention on something,0.0014,3990512,How can we focus on something,0.0024,3990512,How can we focus on something,0.0024,3990512,How can we focus on something,0.0024,3990512,How can we focus on something,0.0024,3990512,how can we focus on something,0.0024
714612,Why doesn't the water fall off  earth if it's round?,0.5,714612,If it s round  why doesn t water fall to the earth,0.037,714612,Why doesn t water fall off the ground if it s round,0.0135,714612,Why doesn t water fall off the ground if it s round,0.0135,714612,Why doesn t water fall from the ground if it s dust,0.0111,714612,Why doesn t the water fall from the ground if it s round,0.0135,714612,Why doesn t water fall from the earth when it s round,0.0357,714612,Why doesn t water fall from the ground if it s round,0.0135,714612,Why doesn t water fall from the earth if it s round,0.037,714612,If it is round  why does water not fall from the earth,1.0,714612,Why does the water not stop from the earth if it is a circle,0.0025
2528767,How do I determine the charge of the iron ion in FeCl3?,0.5,2528767,How do I determine the charge of iron ions in FeCl,0.2,2528767,How do you determine the charge of the iron ion of FeCl,0.2,2528767,How do I find the iron ion charge in Fickle,0.25,2528767,How do I determine the iron ion content in FeCl,0.25,2528767,How do we determine the charge of the iron ion in FeCl,0.1667,2528767,How do we determine the charge of the ion in FeCl,0.2,2528767,How do you determine the iron ion charge in FeCl,0.2,2528767,How do I determine the charge of iron ions in FeCl,0.2,2528767,How do I determine the charge of iron ions in FeCl,0.2,2528767,How can I determine the charge of iron ions in FeCl,0.2
821387,I have mice.How do I get rid of them humanely?,0.1667,821387,I have mice  How can I get rid of them humanely,1.0,821387,There s a rat  How can we eliminate it humanly,0.0085,821387,I have rats  How do I get rid of them human,0.3333,821387,I have rats  How can I get rid of them human,0.5,821387,I have mice  how can we get rid of them humanely,1.0,821387,I have mice  how can I get rid of them humanly,0.25,821387,I have mice  how can I get rid of them humanely,1.0,821387,I have rats  How do I get rid of them humanely,0.3333,821387,I have rats  How can I get rid of them humanely,0.5,821387,I have a mouse  How can I get rid of the mouse humanely,0.1111
1880028,"What does ""see Leaflet"" mean on Ept Pregnancy test?",1.0,1880028,What does Ept pregnancy test mean by  check the news,1.0,1880028,What does the  car guide  mean for the Ept pregnancy test,1.0,1880028,What does  see page  mean on the Ept pregnancy test,1.0,1880028,What does the Ept pregnancy test mean,1.0,1880028,What does   seeing the prospectus   mean on the Ept pregnancy test,1.0,1880028,What does  see brochure  mean for Ept pregnancy test,1.0,1880028,What does the word   see leaflet   mean on the Ept Pregnancy test,1.0,1880028,What do you mean  see launch  on the Ept pregnancy test,1.0,1880028,What does it mean to look at  Leaflet  in the Ept Pregnancy test,1.0,1880028,What does  See Leaflet  mean in the Ept Parenting exam,1.0
4448097,what is innate immunity?,1.0,4448097,What is immunity,1.0,4448097,What is innate immunity,1.0,4448097,What is innate immunity,1.0,4448097,What is intrinsic safety,0.0,4448097,What is innate immunity,1.0,4448097,What is innate immunity,1.0,4448097,What is innate immunity,1.0,4448097,What is natural immunity,1.0,4448097,What is the innate immune system,0.5,4448097,what is natural defense,0.0083
1287437,how can i lose 30 pounds by june3?,1.0,1287437,How can I lose    pounds by June  rd,0.5,1287437,How can we lose  kg by June,0.003,1287437,How can I lose    pounds on June,1.0,1287437,How can I lose    pounds by June,1.0,1287437,How can I lose    pounds before June  rd,0.5,1287437,How can I lose    pounds by June,1.0,1287437,How can I lose    pounds by June,1.0,1287437,How can I lose    pounds on June,1.0,1287437,How can I lose    pounds by June,1.0,1287437,How can I lose    pounds by June,1.0
2956570,"What are the words to write the sound of raindrops, moving train & scribbling w/ pencil on paper figuratively?",1.0,2956570,What is it that you see in the picture  the rain  the train  the pen on the paper,0.25,2956570,Railroad movements  pencils and paper writing,0.5,2956570,What words write the sound of rain drops  moving train and w pen on paper figuratively,0.25,2956570,What are the words to write down the sound of rain drops  the movement of trains  and the cross dressing of a pen on paper,0.1667,2956570,What words are used to write the sound of rain drops  the moving train  and pencil writing on paper,0.3333,2956570,What are the words to write the sound of rain drops  the train and the screaming with pencil on paper,0.25,2956570,What words to write the sound of a rain drop  a moving train  writing in pencil on paper,0.3333,2956570,What words to write the sound of rain  the train moving   scratching w pencil on paper symbolically,1.0,2956570,What are the sounds of rain drops  the moving train  and the words that write a pen on paper,0.3333,2956570,What words can record the sound of raindrops as a train travels and writes with a pen on paper,0.3333
1351675,Why must I have an uncracked winshield in order to for my car to pass a safety inspeciton?,1.0,1351675,Why do I need a window that s not damaged to pass through security,0.0,1351675,Why would I need a wing clip without one to pass a safety check,0.0417,1351675,Why do I have to have a window shield just to get my car tested,0.0011,1351675,Why do I have to have a curtain that s not broken to get my car through security,0.0,1351675,Why do I have to have a shield without cracks to get my car through a security check,0.0018,1351675,Why do I have to have an unbroken windshield to get my car through a security check,0.0164,1351675,Why do I need a shield to get my car through a security check,0.0019,1351675,Why do I need a horn guard that doesn t break so my car can pass a security check,0.002,1351675,Why should I wear a windshield in order to go to my car safety inspection,0.25,1351675,Why do I need a faultless cover to pass a safety check,0.125
1783010,What is Blaphsemy?,1.0,1783010,What is Blaphsemy,1.0,1783010,What is BLAFFSEMY,0.0,1783010,What is Blassomie,0.0,1783010,What is Blassom,0.0,1783010,What is the Blaphsemy,1.0,1783010,What is Blaphsemy,1.0,1783010,What s with the Bluffs,0.0,1783010,What is that  Blaphsemy,1.0,1783010,What is placheamy,0.0,1783010,What is Blaphsemy,1.0
2799913,What's the proper way to express sorrow at a funeral?,0.25,2799913,How do you express your grief at a funeral,0.5,2799913,What is the way to express grief at a funeral,0.5,2799913,What is the proper way to express grief at a funeral,0.5,2799913,What is the proper way to express grief at a funeral,0.5,2799913,What s the right way to express your grief at a funeral,0.5,2799913,How can you express your grief at a funeral,0.5,2799913,What is the right way to express grief at a funeral,0.5,2799913,What is the right way to express your grief at a funeral,0.5,2799913,What is the proper way to express mourning at a funeral,0.125,2799913,What is the proper way to express mourning at a funeral,0.125
2142044,What do you speculate happened to Natalie Holloway in Aruba?,1.0,2142044,What do you think happened to Aruba,1.0,2142044,Can you guess what happened to Natalie Holloway in Aruba,1.0,2142044,What do you think happened to Natalie Holloway in Aruba,1.0,2142044,Guess what happened to Natalie Halloween in Aruba,1.0,2142044,What do you think about what happened to Natalie Holloway in Aruba,1.0,2142044,What happened to Natalie Holloway in Aruba,1.0,2142044,What do you think happened to Natalie Holloway on Aruba,1.0,2142044,What do you speculate happened to Natalie Holloway in Aruba,1.0,2142044,What do you think happened to Natalie Holloway in Aruba,1.0,2142044,What do you think happened to Natalie Holloway in Aruba,1.0
707303,"How do people get hiccups, what are they, and what exactly is the best way to cure them?",1.0,707303,How do you get it  what is it  how do you cure it,0.3333,707303,How do people shake their heads  what are they  and what exactly is the treatment,0.0,707303,How do people get scratches  what are they  and what s the best way to treat them exactly,0.002,707303,How do people get hacked  what kind of people are they  and what is the best treatment,0.0,707303,How do people have hiccups  what are they  and what is the best way to treat them,0.25,707303,How do people get swallowed  what are they  and how can they be best cured,1.0,707303,How do people get their hickups  what are they  and how exactly is the best way to cure them,0.0714,707303,How do people get hiccups  what is it  and what s the best way to cure it,1.0,707303,How do people punch  what are they  and what is the best way to treat them,0.0,707303,How do people get hiccups  what are they  and what is the best way to treat them,0.25
676028,Why do our elected federal senators and congressmen not have to live on regular S.S. like the rest of us?,1.0,676028,Why don t our federal and state legislators live with ordinary SS like the rest of us,0.0052,676028,Why don t our federal senators and lawmakers live in regular SS like we do,0.0294,676028,Why didn t the senators and council members of the SS have to live like the rest of us,0.0556,676028,Why don t our elected senators and congressmen have to live with the SS like the rest of us,0.5,676028,Why shouldn t our elected senators and congressmen live on SS like the rest of us,1.0,676028,Why don t our elected senators and congressmen live on the SS like we do,0.5,676028,Why shouldn t our federal senators and congressmen live in the regular SS like the rest of us,1.0,676028,Why don t our senators and elected members of Congress have to live with ordinary SS like us,0.0909,676028,Why don t our elected federal senators and congressmen live in the regular SS like everyone else,1.0,676028,Why should our federal senators elected by lawmakers not live in the ordinary SS like the rest of us,0.2
2484180,why do people judge a dog by what he looks like?,1.0,2484180,Why would people judge these dogs,0.3333,2484180,Why do people judge dogs  appearances,0.0833,2484180,Why do people judge a dog by how it looks,1.0,2484180,Why do people judge by dogs,0.5,2484180,Why do people judge a dog by how it looks,1.0,2484180,Why do people judge a dog by how he looks,1.0,2484180,Why do people judge a dog by how it looks,1.0,2484180,Why do people judge dogs by their looks,1.0,2484180,Why do people judge a dog by what he looks like,1.0,2484180,why do people judge a dog by its appearance,0.0833
2307305,Why do man rape little girls?,1.0,2307305,Why do men rape little girls,1.0,2307305,Why does a man rape young girls,0.5,2307305,Why does a guy rape little girls,1.0,2307305,Why would a man rape a little girl,1.0,2307305,Why do men rape little girls,1.0,2307305,Why do men rape little girls,1.0,2307305,Why do men rape little girls,1.0,2307305,Why does a guy rape a little girl,1.0,2307305,Why do men rape girls,1.0,2307305,Why do men rape young girls,1.0
2814599,what does the word remission mean when referring to cancer patients?,1.0,2814599,What does it mean to be free when you talk about cancer patients,0.25,2814599,What does the word forgiveness mean when you refer to a cancer patient,1.0,2814599,What does the word  disappearance  mean when you refer to cancer patients,0.25,2814599,What does the word  back up  mean when we refer to cancer patients,0.5,2814599,What does the word remission mean when we talk about cancer patients,0.3333,2814599,What does the word  remission  mean in cancer patients,0.5,2814599,What does the word  remission  mean when you talk to cancer patients,0.3333,2814599,What does the word remission mean when you refer to a cancer patient,1.0,2814599,What does the word  removal  mean for cancer patients,0.3333,2814599,What does the word remission mean when used for cancer patients,0.3333
3369088,how can we stop the spread of islam?,1.0,3369088,How can we stop the spread of Islam,1.0,3369088,How can we stop the spread of Islam,1.0,3369088,How can we stop the spread of Islam,1.0,3369088,How can we stop the spread of Islam,1.0,3369088,How can we stop the spread of Islam,1.0,3369088,How can we stop the spread of Islam,1.0,3369088,How can we stop the spread of Islam,1.0,3369088,How can we stop the spread of Islam,1.0,3369088,How can we prevent the spread of Islam,0.3333,3369088,how can we prevent the spread of Islam,0.3333
1702151,How patient a driver are you?,0.3333,1702151,How patient are you as a driver,0.3333,1702151,How patient is the driver,0.3333,1702151,How patient are you,0.027,1702151,How patient are you as a driver,0.3333,1702151,Are you a patient driver,0.5,1702151,How patient are you,0.027,1702151,How are you a patient driver,0.3333,1702151,How patient is your driver,0.3333,1702151,How patient are you as a driver,0.3333,1702151,How patient are you as a driver,0.3333
851124,How is ego a part of our survival instincts?,1.0,851124,How is the self part of our survival instinct,1.0,851124,How is it that the ego is part of our survival instinct,1.0,851124,How is selfishness part of the survival instinct,1.0,851124,How does ego become part of our survival instinct,1.0,851124,How does the ego become part of our survival instinct,1.0,851124,How is the ego part of our survival instinct,1.0,851124,How is the ego part of our survival instinct,1.0,851124,How does the ego become part of our instincts,0.3333,851124,How is the ego part of our survival nature,1.0,851124,How is selfishness part of our feelings of living,0.0027
3698636,why do cats headbutt?,1.0,3698636,Why does a cat get a head,0.0909,3698636,Why does a cat have a head,0.0909,3698636,Why are cats moving,0.0357,3698636,Why are cats beating his head,0.0175,3698636,Why are cats shoveling,0.011,3698636,Why are cats shaking,0.0077,3698636,Why are cats dizzy,0.0054,3698636,Why is the cat sweating,0.0058,3698636,Why do cats have headaches,0.0061,3698636,why the cat s head,0.0714
1844896,How to cook Angus burgers?,1.0,1844896,How to cook an augus hamburger,0.25,1844896,How do you cook an Angus burger,1.0,1844896,How do you cook Angus burgers,1.0,1844896,How do we make egg burgers,1.0,1844896,How do you cook Angus burgers,1.0,1844896,How do you cook Angus burgers,1.0,1844896,How do you make Angus burgers,0.5,1844896,How do you cook an Angus burger,1.0,1844896,How do you cook Angus burgers,1.0,1844896,How to cook Angus burgers,1.0
2290758,Why do people ask questions they know?,0.0238,2290758,Why would people ask themselves questions about knowledge,0.0033,2290758,Why do people ask questions that they know,0.0238,2290758,Why do people ask questions they know,0.0238,2290758,Why do people ask questions they know,0.0238,2290758,Why do people ask questions they know,0.0238,2290758,Why do people ask questions they know,0.0238,2290758,Why do people ask questions they know,0.0238,2290758,Why do people ask questions they know,0.0238,2290758,Why do people ask familiar questions,0.0018,2290758,Why do people ask questions they know,0.0238
143833,What is the difference between coolant and anti-freeze?,1.0,143833,What s the difference between coolant and anti coolant,1.0,143833,What s the difference between refrigerants and anti caking agents,0.0014,143833,What s the difference between a refrigerant and an anti freeze,0.2,143833,What is the difference between a refrigerant and antifreeze,0.1667,143833,What s the difference between the coolant and the anti freeze,1.0,143833,What s the difference between refrigerants and anti freeze,0.2,143833,What s the difference between a cooler and an anti shaming,0.0012,143833,What s the difference between a coolant and antifreeze,0.25,143833,What is the difference between a refrigerant and an anti cold liquid,0.0095,143833,What is the difference between cold water and waterproofing,0.0023
3910925,Why is yawning contagious?,1.0,3910925,Why is it contagious,1.0,3910925,Why is sleep a contagious disease,0.3333,3910925,Why is vibration contagious,1.0,3910925,Why are the Zinnas so scrawny,0.0,3910925,Why is mourning contagious,0.5,3910925,Why is it contagious,1.0,3910925,Why are rabbits contagious,1.0,3910925,Why is it that the spider can be infected,0.0,3910925,Why the Blindness,0.0,3910925,Why is bathing contagious,1.0
2643507,why does milk cost more than gas per gallon?,1.0,2643507,Why is milk more expensive than oil,1.0,2643507,Why is milk more expensive than gasoline per gallon,1.0,2643507,Why is milk more expensive than gas in gallons,1.0,2643507,Why does milk cost more per gallon than gas,1.0,2643507,Why is milk more expensive than gas per gallon,1.0,2643507,Why does milk cost more than gas per gallon,1.0,2643507,Why is milk more expensive than gas per gallon,1.0,2643507,Why is milk more expensive than gas,1.0,2643507,Why is milk more expensive than fuel per litre,0.0435,2643507,why is milk more expensive than gas per litre,0.25
1502604,how do crooks  make  fake   passports  ?,1.0,1502604,How do you make a fake passport,1.0,1502604,How do fraudsters make fake passports,0.5,1502604,How do the crooks make fake passports,1.0,1502604,How do passport thieves make it,0.3333,1502604,How do crooks make fake passports,1.0,1502604,How do scammers fake passports,0.5,1502604,How do scammers make fake passports,0.5,1502604,How do criminals make fake passports,0.5,1502604,How do fraudsters do fake passports,0.5,1502604,How do criminals make fake passports,0.5
4283542,i have had loose stools for a week...how do i make it stop?,0.3333,4283542,I haven t urinated in a week  How can I stop it,0.0,4283542,I ve had a bladder release for a week  How do you stop it,0.0,4283542,I ve had dirty lice for a week now    how do I stop them,0.0,4283542,I ve been out of work all week  how can I stop this,0.0,4283542,I ve had a loose stool for a week  How can I stop it,0.3333,4283542,I ve been sitting in a chair for a week  How can I stop it,0.0,4283542,I ve been on half a week s leave    how can I stop this,0.0,4283542,I ve had a loose feces for a week    how can I make it stop,0.0057,4283542,I ve been shooting empty rooms for a week  How can I stop it,0.0,4283542,I ve had mud flooding for a week    how can I make it stop,0.0
3554263,"why some people behave so rude without reason,is it due to their own problem?",0.25,3554263,Why are some people so rude without any reason  Is it because they have problems,0.3333,3554263,Why do some people act disrespectfully,0.001,3554263,Why do some people act inappropriately for no reason,0.0,3554263,Why do some people act so rude for no reason,0.5,3554263,Why do some people act so rude for no reason  because of their own problem,0.25,3554263,Why do some people behave so rude is because of their own problem,0.5,3554263,Why do some people act so rude for no reason  it s because of their own problems,0.2,3554263,Why do some people act so cruel for no reason  because of their own problems,0.0,3554263,Why do some people act so badly for no reason  and is it their own fault,0.0048,3554263,Why do some people act cruelly for no reason  or is it because of their own problem,0.0014
3313308,how can I enjoy my time alone?,0.0909,3313308,How can I enjoy my time alone,0.0909,3313308,How can I enjoy my time alone,0.0909,3313308,How can I enjoy my time alone,0.0909,3313308,How can I enjoy my time alone,0.0909,3313308,How can I enjoy my time alone,0.0909,3313308,How can I enjoy my time alone,0.0909,3313308,How can I enjoy my time alone,0.0909,3313308,How can I enjoy my own time,0.0058,3313308,How can I enjoy being alone,0.0769,3313308,how can I enjoy my time alone,0.0909
4357460,how to make my car faster?,1.0,4357460,How do I get my speed up,0.0769,4357460,How can we build a car faster,1.0,4357460,How can I make you faster,0.2,4357460,How do I get my car faster,1.0,4357460,How do I get my car faster,1.0,4357460,How can I make my car faster,1.0,4357460,How do I make my car faster,1.0,4357460,How can I make my car faster,1.0,4357460,How do you make my car faster,1.0,4357460,how to make my car faster,1.0
