qid,abstractqueryexpansion,abstractqueryexpansion.qld.recip_rank,star_model_count,method.1,metric.1,query.1,method.2,metric.2,query.2,method.3,metric.3,query.3,method.4,metric.4,query.4,method.5,metric.5,query.5,method.6,metric.6,query.6,method.7,metric.7,query.7,method.8,metric.8,query.8,method.9,metric.9,query.9,method.10,metric.10,query.10
3990512,how can we get concentration onsomething?,0.0833,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
714612,Why doesn't the water fall off  earth if it's round?,0.5,1,backtranslation_tam_taml,1.0,If it is round  why does water not fall from the earth,,,,,,,,,,,,,,,,,,,,,,,,,,,
2528767,How do I determine the charge of the iron ion in FeCl3?,0.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
821387,I have mice.How do I get rid of them humanely?,0.1667,8,backtranslation_yue_hant,1.0,I have mice  How can I get rid of them humanely,backtranslation_fra_latn,1.0,I have mice  how can we get rid of them humanely,backtranslation_rus_cyrl,1.0,I have mice  how can I get rid of them humanely,backtranslation_pes_arab,0.5,I have rats  How can I get rid of them human,backtranslation_tam_taml,0.5,I have rats  How can I get rid of them humanely,backtranslation_arb_arab,0.3333,I have rats  How do I get rid of them human,backtranslation_zsm_latn,0.3333,I have rats  How do I get rid of them humanely,backtranslation_deu_latn,0.25,I have mice  how can I get rid of them humanly,,,,,,
1880028,"What does ""see Leaflet"" mean on Ept Pregnancy test?",1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4448097,what is innate immunity?,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1287437,how can i lose 30 pounds by june3?,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2956570,"What are the words to write the sound of raindrops, moving train & scribbling w/ pencil on paper figuratively?",1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1351675,Why must I have an uncracked winshield in order to for my car to pass a safety inspeciton?,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1783010,What is Blaphsemy?,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799913,What's the proper way to express sorrow at a funeral?,0.25,8,backtranslation_yue_hant,0.5,How do you express your grief at a funeral,backtranslation_kor_hang,0.5,What is the way to express grief at a funeral,backtranslation_arb_arab,0.5,What is the proper way to express grief at a funeral,backtranslation_pes_arab,0.5,What is the proper way to express grief at a funeral,backtranslation_fra_latn,0.5,What s the right way to express your grief at a funeral,backtranslation_deu_latn,0.5,How can you express your grief at a funeral,backtranslation_rus_cyrl,0.5,What is the right way to express grief at a funeral,backtranslation_zsm_latn,0.5,What is the right way to express your grief at a funeral,,,,,,
2142044,What do you speculate happened to Natalie Holloway in Aruba?,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
707303,"How do people get hiccups, what are they, and what exactly is the best way to cure them?",1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
676028,Why do our elected federal senators and congressmen not have to live on regular S.S. like the rest of us?,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484180,why do people judge a dog by what he looks like?,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2307305,Why do man rape little girls?,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814599,what does the word remission mean when referring to cancer patients?,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3369088,how can we stop the spread of islam?,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1702151,How patient a driver are you?,0.3333,1,backtranslation_fra_latn,0.5,Are you a patient driver,,,,,,,,,,,,,,,,,,,,,,,,,,,
851124,How is ego a part of our survival instincts?,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3698636,why do cats headbutt?,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1844896,How to cook Angus burgers?,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2290758,Why do people ask questions they know?,0.0238,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143833,What is the difference between coolant and anti-freeze?,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3910925,Why is yawning contagious?,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2643507,why does milk cost more than gas per gallon?,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1502604,how do crooks  make  fake   passports  ?,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4283542,i have had loose stools for a week...how do i make it stop?,0.3333,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3554263,"why some people behave so rude without reason,is it due to their own problem?",0.25,3,backtranslation_pes_arab,0.5,Why do some people act so rude for no reason,backtranslation_deu_latn,0.5,Why do some people behave so rude is because of their own problem,backtranslation_yue_hant,0.3333,Why are some people so rude without any reason  Is it because they have problems,,,,,,,,,,,,,,,,,,,,,
3313308,how can I enjoy my time alone?,0.0909,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4357460,how to make my car faster?,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2582920,What is the difference in a dried plum and a dried prune?,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4462511,How do i know if my gold fish is pregnant?,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2795030,Why do people drink Cuervo when it tastes the same going down as coming up?,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
312215,how good is apple pie when it is cold?,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3363149,Why do Arabs and Mexicans look alike?,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1944018,Why can't teenagers vote?,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
788976,Why did the Bush Admin cover up 9/11?,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4385316,How do I keep black birds out of my bar-b-que grill?,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
