qid,abstractqueryexpansion,abstractqueryexpansion.bm25.map,qid,backtranslation_yue_hant,backtranslation_yue_hant.bm25.map,qid,backtranslation_kor_hang,backtranslation_kor_hang.bm25.map,qid,backtranslation_arb_arab,backtranslation_arb_arab.bm25.map,qid,backtranslation_pes_arab,backtranslation_pes_arab.bm25.map,qid,backtranslation_fra_latn,backtranslation_fra_latn.bm25.map,qid,backtranslation_deu_latn,backtranslation_deu_latn.bm25.map,qid,backtranslation_rus_cyrl,backtranslation_rus_cyrl.bm25.map,qid,backtranslation_zsm_latn,backtranslation_zsm_latn.bm25.map,qid,backtranslation_tam_taml,backtranslation_tam_taml.bm25.map,qid,backtranslation_swh_latn,backtranslation_swh_latn.bm25.map
3990512,how can we get concentration onsomething?,0.0201,3990512,How do we focus on work,0.0002,3990512,How can we focus,0.0001,3990512,How can we focus on something,0.0,3990512,How can we focus,0.0001,3990512,How can we focus our attention on something,0.0,3990512,How can we focus on something,0.0,3990512,How can we focus on something,0.0,3990512,How can we focus on something,0.0,3990512,How can we focus on something,0.0,3990512,how can we focus on something,0.0
714612,Why doesn't the water fall off  earth if it's round?,0.4597,714612,If it s round  why doesn t water fall to the earth,0.17,714612,Why doesn t water fall off the ground if it s round,0.0846,714612,Why doesn t water fall off the ground if it s round,0.0846,714612,Why doesn t water fall from the ground if it s dust,0.0041,714612,Why doesn t the water fall from the ground if it s round,0.0278,714612,Why doesn t water fall from the earth when it s round,0.1232,714612,Why doesn t water fall from the ground if it s round,0.0278,714612,Why doesn t water fall from the earth if it s round,0.1377,714612,If it is round  why does water not fall from the earth,0.2775,714612,Why does the water not stop from the earth if it is a circle,0.004
2528767,How do I determine the charge of the iron ion in FeCl3?,0.6098,2528767,How do I determine the charge of iron ions in FeCl,0.389,2528767,How do you determine the charge of the iron ion of FeCl,0.384,2528767,How do I find the iron ion charge in Fickle,0.4224,2528767,How do I determine the iron ion content in FeCl,0.1023,2528767,How do we determine the charge of the iron ion in FeCl,0.3806,2528767,How do we determine the charge of the ion in FeCl,0.2247,2528767,How do you determine the iron ion charge in FeCl,0.384,2528767,How do I determine the charge of iron ions in FeCl,0.389,2528767,How do I determine the charge of iron ions in FeCl,0.389,2528767,How can I determine the charge of iron ions in FeCl,0.3728
821387,I have mice.How do I get rid of them humanely?,0.0172,821387,I have mice  How can I get rid of them humanely,0.1375,821387,There s a rat  How can we eliminate it humanly,0.0026,821387,I have rats  How do I get rid of them human,0.0391,821387,I have rats  How can I get rid of them human,0.0363,821387,I have mice  how can we get rid of them humanely,0.1546,821387,I have mice  how can I get rid of them humanly,0.0562,821387,I have mice  how can I get rid of them humanely,0.1375,821387,I have rats  How do I get rid of them humanely,0.0391,821387,I have rats  How can I get rid of them humanely,0.0363,821387,I have a mouse  How can I get rid of the mouse humanely,0.0335
1880028,"What does ""see Leaflet"" mean on Ept Pregnancy test?",0.6303,1880028,What does Ept pregnancy test mean by  check the news,0.4458,1880028,What does the  car guide  mean for the Ept pregnancy test,0.4393,1880028,What does  see page  mean on the Ept pregnancy test,0.4799,1880028,What does the Ept pregnancy test mean,0.4763,1880028,What does   seeing the prospectus   mean on the Ept pregnancy test,0.491,1880028,What does  see brochure  mean for Ept pregnancy test,0.4825,1880028,What does the word   see leaflet   mean on the Ept Pregnancy test,0.5654,1880028,What do you mean  see launch  on the Ept pregnancy test,0.468,1880028,What does it mean to look at  Leaflet  in the Ept Pregnancy test,0.5462,1880028,What does  See Leaflet  mean in the Ept Parenting exam,0.113
4448097,what is innate immunity?,0.5093,4448097,What is immunity,0.283,4448097,What is innate immunity,0.5093,4448097,What is innate immunity,0.5093,4448097,What is intrinsic safety,0.0,4448097,What is innate immunity,0.5093,4448097,What is innate immunity,0.5093,4448097,What is innate immunity,0.5093,4448097,What is natural immunity,0.1674,4448097,What is the innate immune system,0.3687,4448097,what is natural defense,0.0006
1287437,how can i lose 30 pounds by june3?,0.3527,1287437,How can I lose    pounds by June  rd,0.1345,1287437,How can we lose  kg by June,0.007,1287437,How can I lose    pounds on June,0.1389,1287437,How can I lose    pounds by June,0.1389,1287437,How can I lose    pounds before June  rd,0.1229,1287437,How can I lose    pounds by June,0.1389,1287437,How can I lose    pounds by June,0.1389,1287437,How can I lose    pounds on June,0.1389,1287437,How can I lose    pounds by June,0.1389,1287437,How can I lose    pounds by June,0.1389
2956570,"What are the words to write the sound of raindrops, moving train & scribbling w/ pencil on paper figuratively?",0.5022,2956570,What is it that you see in the picture  the rain  the train  the pen on the paper,0.0462,2956570,Railroad movements  pencils and paper writing,0.3531,2956570,What words write the sound of rain drops  moving train and w pen on paper figuratively,0.1453,2956570,What are the words to write down the sound of rain drops  the movement of trains  and the cross dressing of a pen on paper,0.1201,2956570,What words are used to write the sound of rain drops  the moving train  and pencil writing on paper,0.2465,2956570,What are the words to write the sound of rain drops  the train and the screaming with pencil on paper,0.3226,2956570,What words to write the sound of a rain drop  a moving train  writing in pencil on paper,0.2491,2956570,What words to write the sound of rain  the train moving   scratching w pencil on paper symbolically,0.3284,2956570,What are the sounds of rain drops  the moving train  and the words that write a pen on paper,0.1207,2956570,What words can record the sound of raindrops as a train travels and writes with a pen on paper,0.1422
1351675,Why must I have an uncracked winshield in order to for my car to pass a safety inspeciton?,0.1954,1351675,Why do I need a window that s not damaged to pass through security,0.0004,1351675,Why would I need a wing clip without one to pass a safety check,0.0284,1351675,Why do I have to have a window shield just to get my car tested,0.0001,1351675,Why do I have to have a curtain that s not broken to get my car through security,0.0002,1351675,Why do I have to have a shield without cracks to get my car through a security check,0.0001,1351675,Why do I have to have an unbroken windshield to get my car through a security check,0.0002,1351675,Why do I need a shield to get my car through a security check,0.0009,1351675,Why do I need a horn guard that doesn t break so my car can pass a security check,0.0038,1351675,Why should I wear a windshield in order to go to my car safety inspection,0.0538,1351675,Why do I need a faultless cover to pass a safety check,0.0763
1783010,What is Blaphsemy?,0.0556,1783010,What is Blaphsemy,0.0556,1783010,What is BLAFFSEMY,0.0,1783010,What is Blassomie,0.0,1783010,What is Blassom,0.0,1783010,What is the Blaphsemy,0.0556,1783010,What is Blaphsemy,0.0556,1783010,What s with the Bluffs,0.0,1783010,What is that  Blaphsemy,0.0556,1783010,What is placheamy,0.0,1783010,What is Blaphsemy,0.0556
2799913,What's the proper way to express sorrow at a funeral?,0.4168,2799913,How do you express your grief at a funeral,0.0431,2799913,What is the way to express grief at a funeral,0.1111,2799913,What is the proper way to express grief at a funeral,0.2322,2799913,What is the proper way to express grief at a funeral,0.2322,2799913,What s the right way to express your grief at a funeral,0.1073,2799913,How can you express your grief at a funeral,0.0445,2799913,What is the right way to express grief at a funeral,0.1112,2799913,What is the right way to express your grief at a funeral,0.097,2799913,What is the proper way to express mourning at a funeral,0.1924,2799913,What is the proper way to express mourning at a funeral,0.1924
2142044,What do you speculate happened to Natalie Holloway in Aruba?,0.5097,2142044,What do you think happened to Aruba,0.1126,2142044,Can you guess what happened to Natalie Holloway in Aruba,0.3973,2142044,What do you think happened to Natalie Holloway in Aruba,0.3746,2142044,Guess what happened to Natalie Halloween in Aruba,0.2952,2142044,What do you think about what happened to Natalie Holloway in Aruba,0.1355,2142044,What happened to Natalie Holloway in Aruba,0.6926,2142044,What do you think happened to Natalie Holloway on Aruba,0.3746,2142044,What do you speculate happened to Natalie Holloway in Aruba,0.5097,2142044,What do you think happened to Natalie Holloway in Aruba,0.3746,2142044,What do you think happened to Natalie Holloway in Aruba,0.3746
707303,"How do people get hiccups, what are they, and what exactly is the best way to cure them?",0.2473,707303,How do you get it  what is it  how do you cure it,0.0043,707303,How do people shake their heads  what are they  and what exactly is the treatment,0.0001,707303,How do people get scratches  what are they  and what s the best way to treat them exactly,0.0,707303,How do people get hacked  what kind of people are they  and what is the best treatment,0.0,707303,How do people have hiccups  what are they  and what is the best way to treat them,0.0115,707303,How do people get swallowed  what are they  and how can they be best cured,0.0737,707303,How do people get their hickups  what are they  and how exactly is the best way to cure them,0.0047,707303,How do people get hiccups  what is it  and what s the best way to cure it,0.205,707303,How do people punch  what are they  and what is the best way to treat them,0.0,707303,How do people get hiccups  what are they  and what is the best way to treat them,0.0175
676028,Why do our elected federal senators and congressmen not have to live on regular S.S. like the rest of us?,0.4446,676028,Why don t our federal and state legislators live with ordinary SS like the rest of us,0.0026,676028,Why don t our federal senators and lawmakers live in regular SS like we do,0.0076,676028,Why didn t the senators and council members of the SS have to live like the rest of us,0.0069,676028,Why don t our elected senators and congressmen have to live with the SS like the rest of us,0.223,676028,Why shouldn t our elected senators and congressmen live on SS like the rest of us,0.3641,676028,Why don t our elected senators and congressmen live on the SS like we do,0.1652,676028,Why shouldn t our federal senators and congressmen live in the regular SS like the rest of us,0.3455,676028,Why don t our senators and elected members of Congress have to live with ordinary SS like us,0.0264,676028,Why don t our elected federal senators and congressmen live in the regular SS like everyone else,0.2583,676028,Why should our federal senators elected by lawmakers not live in the ordinary SS like the rest of us,0.1623
2484180,why do people judge a dog by what he looks like?,0.1174,2484180,Why would people judge these dogs,0.058,2484180,Why do people judge dogs  appearances,0.0481,2484180,Why do people judge a dog by how it looks,0.1184,2484180,Why do people judge by dogs,0.0815,2484180,Why do people judge a dog by how it looks,0.1184,2484180,Why do people judge a dog by how he looks,0.1009,2484180,Why do people judge a dog by how it looks,0.1184,2484180,Why do people judge dogs by their looks,0.1371,2484180,Why do people judge a dog by what he looks like,0.1174,2484180,why do people judge a dog by its appearance,0.0491
2307305,Why do man rape little girls?,0.3126,2307305,Why do men rape little girls,0.1152,2307305,Why does a man rape young girls,0.3657,2307305,Why does a guy rape little girls,0.1319,2307305,Why would a man rape a little girl,0.3226,2307305,Why do men rape little girls,0.1152,2307305,Why do men rape little girls,0.1152,2307305,Why do men rape little girls,0.1152,2307305,Why does a guy rape a little girl,0.1319,2307305,Why do men rape girls,0.1102,2307305,Why do men rape young girls,0.1016
2814599,what does the word remission mean when referring to cancer patients?,0.4895,2814599,What does it mean to be free when you talk about cancer patients,0.0909,2814599,What does the word forgiveness mean when you refer to a cancer patient,0.1283,2814599,What does the word  disappearance  mean when you refer to cancer patients,0.2242,2814599,What does the word  back up  mean when we refer to cancer patients,0.1263,2814599,What does the word remission mean when we talk about cancer patients,0.293,2814599,What does the word  remission  mean in cancer patients,0.597,2814599,What does the word  remission  mean when you talk to cancer patients,0.4108,2814599,What does the word remission mean when you refer to a cancer patient,0.4736,2814599,What does the word  removal  mean for cancer patients,0.2226,2814599,What does the word remission mean when used for cancer patients,0.3821
3369088,how can we stop the spread of islam?,0.339,3369088,How can we stop the spread of Islam,0.339,3369088,How can we stop the spread of Islam,0.339,3369088,How can we stop the spread of Islam,0.339,3369088,How can we stop the spread of Islam,0.339,3369088,How can we stop the spread of Islam,0.339,3369088,How can we stop the spread of Islam,0.339,3369088,How can we stop the spread of Islam,0.339,3369088,How can we stop the spread of Islam,0.339,3369088,How can we prevent the spread of Islam,0.2722,3369088,how can we prevent the spread of Islam,0.2722
1702151,How patient a driver are you?,0.0973,1702151,How patient are you as a driver,0.0973,1702151,How patient is the driver,0.0794,1702151,How patient are you,0.0066,1702151,How patient are you as a driver,0.0973,1702151,Are you a patient driver,0.345,1702151,How patient are you,0.0066,1702151,How are you a patient driver,0.0973,1702151,How patient is your driver,0.059,1702151,How patient are you as a driver,0.0973,1702151,How patient are you as a driver,0.0973
851124,How is ego a part of our survival instincts?,0.4305,851124,How is the self part of our survival instinct,0.3075,851124,How is it that the ego is part of our survival instinct,0.4305,851124,How is selfishness part of the survival instinct,0.4418,851124,How does ego become part of our survival instinct,0.2635,851124,How does the ego become part of our survival instinct,0.2635,851124,How is the ego part of our survival instinct,0.4305,851124,How is the ego part of our survival instinct,0.4305,851124,How does the ego become part of our instincts,0.0823,851124,How is the ego part of our survival nature,0.1126,851124,How is selfishness part of our feelings of living,0.0
3698636,why do cats headbutt?,0.0572,3698636,Why does a cat get a head,0.0099,3698636,Why does a cat have a head,0.0113,3698636,Why are cats moving,0.012,3698636,Why are cats beating his head,0.0042,3698636,Why are cats shoveling,0.0186,3698636,Why are cats shaking,0.0092,3698636,Why are cats dizzy,0.0173,3698636,Why is the cat sweating,0.0075,3698636,Why do cats have headaches,0.0013,3698636,why the cat s head,0.0152
1844896,How to cook Angus burgers?,0.5073,1844896,How to cook an augus hamburger,0.0088,1844896,How do you cook an Angus burger,0.3446,1844896,How do you cook Angus burgers,0.3446,1844896,How do we make egg burgers,0.1274,1844896,How do you cook Angus burgers,0.3446,1844896,How do you cook Angus burgers,0.3446,1844896,How do you make Angus burgers,0.3477,1844896,How do you cook an Angus burger,0.3446,1844896,How do you cook Angus burgers,0.3446,1844896,How to cook Angus burgers,0.5073
2290758,Why do people ask questions they know?,0.0622,2290758,Why would people ask themselves questions about knowledge,0.0135,2290758,Why do people ask questions that they know,0.0622,2290758,Why do people ask questions they know,0.0622,2290758,Why do people ask questions they know,0.0622,2290758,Why do people ask questions they know,0.0622,2290758,Why do people ask questions they know,0.0622,2290758,Why do people ask questions they know,0.0622,2290758,Why do people ask questions they know,0.0622,2290758,Why do people ask familiar questions,0.0273,2290758,Why do people ask questions they know,0.0622
143833,What is the difference between coolant and anti-freeze?,0.6561,143833,What s the difference between coolant and anti coolant,0.2952,143833,What s the difference between refrigerants and anti caking agents,0.0,143833,What s the difference between a refrigerant and an anti freeze,0.1489,143833,What is the difference between a refrigerant and antifreeze,0.0177,143833,What s the difference between the coolant and the anti freeze,0.6131,143833,What s the difference between refrigerants and anti freeze,0.1489,143833,What s the difference between a cooler and an anti shaming,0.0,143833,What s the difference between a coolant and antifreeze,0.264,143833,What is the difference between a refrigerant and an anti cold liquid,0.0006,143833,What is the difference between cold water and waterproofing,0.0001
3910925,Why is yawning contagious?,0.6244,3910925,Why is it contagious,0.2905,3910925,Why is sleep a contagious disease,0.1183,3910925,Why is vibration contagious,0.1848,3910925,Why are the Zinnas so scrawny,0.0,3910925,Why is mourning contagious,0.2334,3910925,Why is it contagious,0.2905,3910925,Why are rabbits contagious,0.1512,3910925,Why is it that the spider can be infected,0.0,3910925,Why the Blindness,0.0,3910925,Why is bathing contagious,0.2033
2643507,why does milk cost more than gas per gallon?,0.5116,2643507,Why is milk more expensive than oil,0.0402,2643507,Why is milk more expensive than gasoline per gallon,0.1784,2643507,Why is milk more expensive than gas in gallons,0.3045,2643507,Why does milk cost more per gallon than gas,0.5116,2643507,Why is milk more expensive than gas per gallon,0.3446,2643507,Why does milk cost more than gas per gallon,0.5116,2643507,Why is milk more expensive than gas per gallon,0.3446,2643507,Why is milk more expensive than gas,0.2031,2643507,Why is milk more expensive than fuel per litre,0.0261,2643507,why is milk more expensive than gas per litre,0.2321
1502604,how do crooks  make  fake   passports  ?,0.3548,1502604,How do you make a fake passport,0.3032,1502604,How do fraudsters make fake passports,0.3269,1502604,How do the crooks make fake passports,0.3548,1502604,How do passport thieves make it,0.1286,1502604,How do crooks make fake passports,0.3548,1502604,How do scammers fake passports,0.1469,1502604,How do scammers make fake passports,0.2595,1502604,How do criminals make fake passports,0.2346,1502604,How do fraudsters do fake passports,0.1098,1502604,How do criminals make fake passports,0.2346
4283542,i have had loose stools for a week...how do i make it stop?,0.0556,4283542,I haven t urinated in a week  How can I stop it,0.0,4283542,I ve had a bladder release for a week  How do you stop it,0.0,4283542,I ve had dirty lice for a week now    how do I stop them,0.0,4283542,I ve been out of work all week  how can I stop this,0.0,4283542,I ve had a loose stool for a week  How can I stop it,0.055,4283542,I ve been sitting in a chair for a week  How can I stop it,0.0,4283542,I ve been on half a week s leave    how can I stop this,0.0,4283542,I ve had a loose feces for a week    how can I make it stop,0.0001,4283542,I ve been shooting empty rooms for a week  How can I stop it,0.0,4283542,I ve had mud flooding for a week    how can I make it stop,0.0
