qid,abstractqueryexpansion,abstractqueryexpansion.qld.map,qid,backtranslation_yue_hant,backtranslation_yue_hant.qld.map,qid,backtranslation_kor_hang,backtranslation_kor_hang.qld.map,qid,backtranslation_arb_arab,backtranslation_arb_arab.qld.map,qid,backtranslation_pes_arab,backtranslation_pes_arab.qld.map,qid,backtranslation_fra_latn,backtranslation_fra_latn.qld.map,qid,backtranslation_deu_latn,backtranslation_deu_latn.qld.map,qid,backtranslation_rus_cyrl,backtranslation_rus_cyrl.qld.map,qid,backtranslation_zsm_latn,backtranslation_zsm_latn.qld.map,qid,backtranslation_tam_taml,backtranslation_tam_taml.qld.map,qid,backtranslation_swh_latn,backtranslation_swh_latn.qld.map
751,Scrabble Players,0.3715,751,Players,0.0,751,Scrabble player,0.3715,751,The scrabble players,0.3715,751,The Scribell players,0.0,751,Scrabble games,0.2641,751,Scrabblers,0.0,751,Scrabble players,0.3715,751,Scrabble player,0.3715,751,The Scrapley Players,0.0,751,Scrabble players,0.3715
752,Dam removal,0.5107,752,It was demolished,0.0001,752,Remove the drain,0.0017,752,Remove the dam,0.5107,752,Remove the dam,0.5107,752,Removal of the dam,0.5107,752,Distance of the dam,0.0017,752,Removing the dam,0.5107,752,Removal of the dam,0.5107,752,Removal of dam,0.5107,752,Removing the pool,0.0005
753,bullying prevention programs,0.3263,753,The bullying prevention program,0.3263,753,The bullying prevention program,0.3263,753,Prevention of bullying,0.2747,753,The program is designed to prevent harassment,0.0124,753,the prevention of bullying programmes,0.1728,753,The Commission has also adopted a number of proposals for the implementation of the programme,0.0,753,The program on bullying prevention,0.3263,753,bullying prevention program,0.3263,753,Prevention of harassment,0.0015,753,measures to prevent oppression,0.0007
754,domestic adoption laws,0.0812,754,The National Farm Law,0.0,754,Adoption laws in the country,0.0131,754,Local adoption laws,0.0022,754,The rules of adoption,0.0002,754,national legislation on adoption,0.0046,754,Adoption laws,0.0444,754,national laws on adoption,0.0364,754,domestic adoption law,0.0812,754,The laws of domestic adoption,0.0812,754,domestic adoption laws,0.0812
755,Scottish Highland Games,0.4832,755,Scottish Highland Movement,0.17,755,The Scottish Highland Games,0.4832,755,The Scottish Highland Games,0.4832,755,The Scottish Highland Games,0.4832,755,The Scottish Highlands Games,0.4832,755,Scottish Highland Games,0.4832,755,Scottish skiing games,0.1513,755,Highland Scotland game,0.114,755,The Scottish Highlands Games,0.4832,755,The Scottish Highland Games,0.4832
756,Volcanic Activity,0.3124,756,Volcanic activity,0.3124,756,Volcanic activity,0.3124,756,Volcanic activity,0.3124,756,Volcanic activity,0.3124,756,Volcanic activity,0.3124,756,Volcanic activity,0.3124,756,Volcanic activity,0.3124,756,Volcanic activity,0.3124,756,Volcanic activity,0.3124,756,The Activity of the Volcano,0.2244
757,Murals,0.2122,757,Wall paintings,0.0016,757,The wallpaper,0.0,757,The murals,0.2122,757,Wall paintings,0.0016,757,Wall paintings,0.0016,757,Wall paintings,0.0016,757,The walls,0.0,757,Wall painting,0.0016,757,Wall paintings,0.0016,757,The display of the wall,0.0
758,Embryonic stem cells,0.6639,758,embryonic stem cells,0.6639,758,The embryonic stem cell,0.6639,758,The embryonic stem cells,0.6639,758,The embryonic stem cells,0.6639,758,The embryonic stem cells,0.6639,758,The following table shows the results of the study,0.0,758,The embryonic stem cells,0.6639,758,The embryonic stem cells,0.6639,758,The brain cells of the fetus,0.0127,758,The embryo cells,0.1926
759,civil war battle reenactments,0.2141,759,The Civil War is happening again,0.0016,759,A reenactment of the Civil War,0.1256,759,The Civil War battles,0.0075,759,Civil War actors,0.0008,759,recreation of civil war battles,0.0149,759,Repeats of civil wars,0.0027,759,Reproduction of civil war,0.0011,759,Civil war fighting,0.0004,759,The Civil War was a turbulent period,0.0004,759,Exhibition of civil war,0.0
760,american muslim mosques schools,0.3034,760,Muslim mosque school in the United States,0.1977,760,Islamic social school in the United States,0.0257,760,American mosques and schools,0.2426,760,Muslim mosques in America and schools,0.3462,760,Muslim mosques in the US schools,0.1298,760,American Muslim mosques schools,0.3034,760,American Muslim mosques of the school,0.3034,760,mosque muslim american school,0.3034,760,American Muslim mosques schools,0.3034,760,American mosque of Islamic school,0.3039
