qid,abstractqueryexpansion,abstractqueryexpansion.bm25.recip_rank,qid,backtranslation_yue_hant,backtranslation_yue_hant.bm25.recip_rank,qid,backtranslation_kor_hang,backtranslation_kor_hang.bm25.recip_rank,qid,backtranslation_arb_arab,backtranslation_arb_arab.bm25.recip_rank,qid,backtranslation_pes_arab,backtranslation_pes_arab.bm25.recip_rank,qid,backtranslation_fra_latn,backtranslation_fra_latn.bm25.recip_rank,qid,backtranslation_deu_latn,backtranslation_deu_latn.bm25.recip_rank,qid,backtranslation_rus_cyrl,backtranslation_rus_cyrl.bm25.recip_rank,qid,backtranslation_zsm_latn,backtranslation_zsm_latn.bm25.recip_rank,qid,backtranslation_tam_taml,backtranslation_tam_taml.bm25.recip_rank,qid,backtranslation_swh_latn,backtranslation_swh_latn.bm25.recip_rank
801,Kudzu Pueraria lobata,1.0,801,The garden of Kunsan  the faucet,0.0,801,The Kuz Poeria Robata is coming,0.0,801,I  m not going to lie,0.0,801,The first is the  Codez Porcaria Lobata,0.3333,801,The child s elbow,0.0,801,Other  of a kind used for the manufacture of foodstuffs,0.0,801,The Kudo Poeraria of the Lobot,0.0,801,Kudzu Pueraria the lobotome,1.0,801,The Kutsu Puewari Lopada,0.0,801,The Pueraria lobata,1.0
802,Volcano eruptions global temperature,1.0,802,The volcano erupted  and global warming began,1.0,802,Volcanic eruptions  global warming,1.0,802,Volcanic eruptions   Global warming,1.0,802,The eruption of a global warming volcano,1.0,802,Volcanic eruptions and global warming,1.0,802,Volcanic eruptions global temperature,1.0,802,Volcanic eruptions global temperature,1.0,802,Global temperature volcanic eruption,1.0,802,Volcanic eruptions global warming,1.0,802,Volcanic violence global warming,0.5
803,May Day,0.0,803,One of May,0.0,803,May  st,0.0,803,May  st,0.0,803,A little bit,0.0,803,May,0.0,803,May,0.0,803,May  st,0.0,803,First day of May,0.0,803,May,0.0,803,The First Day of May,0.0
804,ban on human cloning,0.2,804,Human cloning is prohibited,1.0,804,Prohibition of human reproduction,1.0,804,The ban on human replication,1.0,804,Prohibition of human cloning,1.0,804,prohibition on cloning humans,1.0,804,Prohibition of cloning of humans,1.0,804,The ban on cloning,0.2,804,Prohibition of human cloning,1.0,804,The ban on human cloning,0.2,804,Prohibition of human design,0.0149
805,Identity Theft Passport,0.2,805,I D  is a passport,0.0,805,A passport to steal an ID,0.0435,805,A passport for identity theft,0.2,805,Identity theft pass,0.0714,805,Passport for identity theft,0.2,805,Pass for identity theft,0.0714,805,Passport of identity theft,0.2,805,Passport for identity theft,0.2,805,Identity theft passport,0.2,805,A Passport for Identity Theft,0.2
806,Doctors Without Borders,1.0,806,Doctors without borders,1.0,806,Doctors without borders,1.0,806,Doctors without borders,1.0,806,Doctors without borders,1.0,806,Doctors without Borders,1.0,806,Doctors without Borders,1.0,806,Doctors without borders,1.0,806,Doctor Without Borders,1.0,806,Doctors without Borders,1.0,806,Doctors Without Borders,1.0
807,Sugar tariff-rate quotas,1.0,807,The sugar tax rate is set,0.3333,807,Sugar tariffs,1.0,807,Sugar tariffs,1.0,807,Low sugar tariffs,1.0,807,Tariff quotas for sugar,1.0,807,Tariff quotas for sugar,1.0,807,Quotas on sugar tariff rates,1.0,807,Sugar tariff boxes,0.1111,807,Tax quotas for sugar,1.0,807,Sugar tax rates,0.0588
808,North Korean Counterfeiting,1.0,808,North Korea is fake,0.1111,808,The North Korean counterfeit,1.0,808,North Korean counterfeiting,1.0,808,North Korean fraud,0.0159,808,Counterfeiting in North Korea,1.0,808,North Korean counterfeiting,1.0,808,North Korea is a fake,0.1111,808,North Korea Abuse,0.0128,808,The North Korean counterfeit,1.0,808,North Korean Fraud,0.0159
809,wetlands wastewater treatment,1.0,809,Wetland wastewater treatment,1.0,809,The wetland drainage,0.5,809,Treating the water in the swamp,0.1429,809,Wastewater treatment in wetlands,1.0,809,treatment of wetland wastewater,1.0,809,Wastewater treatment of wetlands,1.0,809,Cleaning of wastewater in wetlands,1.0,809,Wastewater treatment in wetlands,1.0,809,Wetland wastewater treatment,1.0,809,rainwater treatment,0.0
810,timeshare resales,0.5,810,Share the time of the sale,0.0,810,Shared time reselling,0.0014,810,Re selling the stake in time,0.0,810,The resale of time stock,0.0,810,Sales distributed,0.0,810,The Commission shall take into account the following information,0.0,810,hourly share resale,0.0,810,Selling time back together,0.0,810,Time sharing reselling,0.0014,810,time sales,0.0
811,handwriting recognition,0.5,811,Handwritten identification,0.3333,811,Signature,0.0,811,Identifying the handwriting,0.2,811,Handwritten recognition,0.5,811,recognition of writing,0.25,811,Handwriting identification,0.0417,811,recognition of handwriting,0.5,811,handwriting recognition,0.5,811,Signature acknowledgment,0.0,811,Recognizing the Scriptures,0.0
812,total knee replacement surgery,1.0,812,Full knee replacement surgery,1.0,812,Full knee replacement surgery,1.0,812,Full knee replacement surgery,1.0,812,Knee replacement surgery,1.0,812,total knee replacement surgery,1.0,812,Total knee replacement operation,1.0,812,General operation for knee replacement,1.0,812,Total knee replacement surgery,1.0,812,A complete knee replacement,0.5,812,knee surgery,1.0
813,Atlantic Intracoastal Waterway,1.0,813,The Pacific Ocean,0.0,813,I m on the Atlantic coast,0.0111,813,The Atlantic Waterway,1.0,813,The waterway into the Atlantic coast,1.0,813,The Atlantic Intracoastal Waterway,1.0,813,Intracoastal waterway of the Atlantic,1.0,813,Inland sea routes of the Atlantic,0.0625,813,Waterways in the Atlantic coast,1.0,813,The coastal marine waterway,0.3333,813,The Atlantic Ocean s Inland Waterway,1.0
814,Johnstown flood,1.0,814,Johnstown flood,1.0,814,The Johnstown Flood,1.0,814,The Johnstown floods,1.0,814,The flood of Johnstown,1.0,814,Flood in Johnstown,1.0,814,Johnstown Flood,1.0,814,Flooding in Johnstown,1.0,814,Flooding in Johnstown,1.0,814,Johnstown Flood,1.0,814,Floods in Johnstown,1.0
815,Coast Guard rescues,0.3333,815,Coast Guard rescue,0.3333,815,Coast Guard rescue team,0.25,815,The Coast Guard rescue,0.3333,815,The Coast Guard is rescuing,0.3333,815,Rescue by the Coast Guard,0.3333,815,Rescue of the Coast Guard,0.3333,815,Coast Guard rescuers,0.1429,815,The Coast Guard Rescue,0.3333,815,Coast Guard rescue,0.3333,815,The Safety of the Coast Guard,1.0
816,USAID assistance to Galapagos,1.0,816,USAID is helping Galapagos,1.0,816,USAID support for the Galapagos region,1.0,816,Assistance provided by the U S  Agency for International Development to the Galapagos Islands,1.0,816,USAID aid to the Galapagos,0.5,816,Aid from USAID in the Galapagos,0.5,816,USAID support for the Galapagos,1.0,816,USAID s assistance to the Galapagos,1.0,816,USAID aid to the Galapagos,0.5,816,USAID aid on the Galapagos,0.5,816,USAID assistance to the Galapagos,1.0
817,sports stadium naming rights,1.0,817,The naming rights of the stadium,1.0,817,Sports stadium name card,0.1667,817,Sports fields naming rights,1.0,817,Sports stadium naming rights,1.0,817,Rights to name sports stadiums,1.0,817,Sports stadium rights,1.0,817,right to name the sports stadium,1.0,817,right to name sports stadiums,1.0,817,Naming rights of the stadium,1.0,817,rights to the name of the stadium,1.0
818,Chaco Culture National Park,1.0,818,The Chako Culture National Park,0.0333,818,The Chako Cultural National Park,0.0333,818,The national park of culture of the Chaco,1.0,818,The national park of culture of the Chaco,1.0,818,The Chaco National Park,1.0,818,The Chaco culture national park,1.0,818,The Chaco National Park of Culture,1.0,818,The Chaco Cultural Park,1.0,818,Sago Cultural National Park,0.0063,818,The Chaco National Park,1.0
819,1890 Census,1.0,819,The      census,0.0179,819,The      census,0.0179,819,The      census,0.0179,819,The      census,0.0179,819,Census of,0.0179,819,Census of,0.0179,819,The      census,0.0179,819,The      census,0.0179,819,Census,0.0179,819,Population in,0.01
820,imported fire ants,0.5,820,Importing fire,0.5,820,Imported fireworks,0.0,820,Imported fire ants,0.5,820,Fire ants are in,1.0,820,imported fire ants,0.5,820,Import of fire ants,0.5,820,imported fire ants,0.5,820,imported fire ants,0.5,820,Imported fire ants,0.5,820,outdoor fireflies,0.0
821,Internet work-at-home scams,1.0,821,The Internet is electric,0.0,821,You re cheating on the Internet,0.0,821,Internet scams at work at home,1.0,821,Internet scams at work,1.0,821,The scams on the Internet,0.1667,821,Internet Fraud at Work at Home,1.0,821,Internet fraud at work,0.2,821,Internet fraud at home,1.0,821,The Internet is a home for online work,0.0556,821,Cheating on the Internet,0.0
822,Custer's Last Stand,1.0,822,Castor s final position is,0.0,822,The last of the Cousters,0.0,822,Last stop for Custer,0.0909,822,The last stop of Custer,0.0909,822,Custer s last stand,0.3333,822,Custer s last stand,0.3333,822,Custer s last post,0.0208,822,Custer s last defense,1.0,822,The final stage of Castro,0.0,822,Custer s Final Victory,1.0
823,Continuing care retirement communities,1.0,823,Continuing to care for the retirement community,1.0,823,Continuous management retirement community,0.5,823,Continuous retirement communities,1.0,823,Continuing care retirement communities,1.0,823,Continuing care pension communities,0.0074,823,Development pension communities,0.0,823,Communities of pensioners in constant care,0.001,823,The community of retired people continues to care,1.0,823,Continuous care pension communities,0.0074,823,Adult communities to thrive,0.0
824,Civil Air Patrol,1.0,824,Civil air patrol,1.0,824,Civil air patrol,1.0,824,Civil air patrol,1.0,824,Civil air patrol,1.0,824,Civil air patrol,1.0,824,Civil air patrol,1.0,824,Civil air patrol,1.0,824,Public air services,0.0079,824,Civil Air Force,1.0,824,A Vehicle for Air Transport,0.0
825,National Guard Involvement in Iraq,0.3333,825,The Iraqi National Guard is involved,0.0323,825,The National Guard s involvement in Iraq,1.0,825,National Guard involvement in Iraq,0.3333,825,National Army involvement in Iraq,0.0086,825,National Guard involvement in Iraq,0.3333,825,Participation of the National Guard in Iraq,0.1667,825,The National Guard s involvement in Iraq,1.0,825,National Guard involvement in Iraq,0.3333,825,National Police participation in Iraq,0.0088,825,The National Guard in Iraq,1.0
826,Florida Seminole Indians,0.25,826,The Florida Seminole Indians,0.25,826,The Florida Seminole Indian,0.25,826,Seminole Indian in Florida,0.25,826,The Seminole Indians of Florida,0.25,826,Seminole Indians of Florida,0.25,826,Florida Seminole Indians,0.25,826,The Seminole Indians of Florida,0.25,826,The Seminole Indians of Florida,0.25,826,Florida Seminole Indians,0.25,826,Seminole Indians of Florida,0.25
827,Hidden Markov Modeling HMM,1.0,827,The hidden Malkovic simulation of HMM,1.0,827,HMM hidden markup modeling,0.5,827,Markov is hiding a model hymn,0.0154,827,The secret model of the HMM Markov,1.0,827,Hidden modeling of Markov HMM,1.0,827,Hidden Markov modeling HMM,1.0,827,The hidden model of Markov HMM,1.0,827,HMM model of Markov hidden,1.0,827,HMM with hidden Markov modeling,1.0,827,Secret Markov Modeling HMM,1.0
828,secret shoppers,1.0,828,Secret shoppers,1.0,828,Secret shoppers,1.0,828,The secret shoppers,1.0,828,The hidden buyers,0.0,828,secret buyers,0.0,828,Secret buyers,0.0,828,The secret buyers,0.0,828,Secret shoppers,1.0,828,Secret buyers,0.0,828,secret shoppers,1.0
829,Spanish Civil War support,1.0,829,Spanish Civil War support,1.0,829,Spanish Civil War Support,1.0,829,Supporting the Spanish Civil War,1.0,829,Support for the Spanish Civil War,1.0,829,Support for the Spanish Civil War,1.0,829,Support for the Spanish Civil War,1.0,829,Supporting the Spanish Civil War,1.0,829,Support for the Spanish Civil War,1.0,829,The Spanish Civil War was a turning point in the history of the Spanish Civil War,0.5,829,Aid for the Spanish Civil War,0.25
830,model railroads,1.0,830,The model of railroads,1.0,830,Model railway,0.04,830,Typical railways,0.0024,830,Model railway,0.04,830,railway model,0.04,830,Model route,0.0,830,model of railways,0.04,830,model railway,0.04,830,Model railway,0.04,830,model railways,0.04
831,Dulles Airport security,1.0,831,Dulles Airport is safe,0.1667,831,Dallas airport security,0.1667,831,Dalyes airport security,0.125,831,Security at Dallas Airport,0.1667,831,Security at Dulles Airport,1.0,831,Security at Dulles Airport,1.0,831,The security of the Dallas airport,0.1667,831,Dulles Airport Security,1.0,831,Airport security of Dulles,1.0,831,Security at Dulles Airport,1.0
832,labor union activity,1.0,832,The trade union movement,0.0833,832,Trade union activities,0.0222,832,Trade union activity,0.0222,832,Trade unions,0.0833,832,trade union activity,0.0222,832,Trade union activity,0.0222,832,Trade union activities,0.0222,832,trade union activities,0.0222,832,Trade union activity,0.0222,832,trade union activities,0.0222
833,Iceland government,1.0,833,The Icelandic government,1.0,833,The Icelandic government,1.0,833,The Icelandic government,1.0,833,The Icelandic government,1.0,833,The Icelandic Government,1.0,833,Government of Iceland,1.0,833,The Government of Iceland,1.0,833,The Icelandic government,1.0,833,The Icelandic government,1.0,833,The Icelandic government,1.0
834,Global positioning system earthquakes,1.0,834,Global positioning system,0.0435,834,Global location system earthquake,0.125,834,Earthquakes in the global positioning system,1.0,834,Earthquakes in the global positioning system,1.0,834,Earthquake of the World Positioning System,1.0,834,Earthquakes of the global positioning system,1.0,834,Global positioning systems for earthquakes,1.0,834,Global earthquake placement system,0.5,834,The global positioning system earthquakes,1.0,834,Earthquake of a system of local order,0.125
835,Big Dig pork,0.1111,835,It s a big pig,0.0,835,Big  digging pigs,0.1,835,Big pork,0.04,835,Big pork,0.04,835,The Pork of the Dig,0.0023,835,Big pigs,0.0018,835,Big pigs,0.0018,835,Big pork,0.04,835,Big digging meat,0.0435,835,The large pig,0.0
836,illegal immigrant wages,0.5,836,The wages of illegal immigrants,0.5,836,The wages of illegal immigrants,0.5,836,Illegal immigrant wages,0.5,836,The rights of illegal immigrants,0.3333,836,wages of illegal immigrants,0.5,836,Wages for illegal immigrants,0.5,836,wages of illegal immigrants,0.5,836,Illegal immigrant wages,0.5,836,The wages of illegal immigrants,0.5,836,wages of legal immigrants,0.1429
837,Eskimo History,0.0667,837,The Smithsonian,0.0,837,The history of the Eskimos,0.0667,837,The history of the Eskimos,0.0667,837,The history of the Eskimos,0.0667,837,The history of the Eskimos,0.0667,837,The history of the Eskimos,0.0667,837,The story is sketchy,0.0013,837,The history of the Eskimos,0.0667,837,The history of Eskimo,0.0667,837,The History of the Waeskim,0.0
838,urban suburban coyotes,1.0,838,And the suburbs,0.0,838,Coyote outside the city,0.25,838,Urban cows,0.0,838,Urban Quoits,0.0,838,urban coyotes,1.0,838,Suburban coyotes,0.5,838,urban coyotes,1.0,838,Suburban coyotes,0.5,838,Urban coyotes,1.0,838,urban coyotes,1.0
839,textile dyeing techniques,1.0,839,Weaving technology,0.0667,839,Fiber dyeing,1.0,839,Techniques for dyeing fabrics,1.0,839,Textile dyeing techniques,1.0,839,textile dyeing techniques,1.0,839,Textile colouring processes,0.3333,839,textile painting techniques,0.1429,839,textile dyeing techniques,1.0,839,Textile dyeing techniques,1.0,839,techniques for dyeing clothes,1.0
840,Geysers,1.0,840,The cyclone,0.0,840,The basement,0.0,840,The Geysers,1.0,840,The Geyser,1.0,840,The geysers,1.0,840,Other geysers,1.0,840,Geysers,1.0,840,Geysers,1.0,840,Kaiser,0.0,840,Geysers,1.0
841,camel North America,1.0,841,North American camel,0.1667,841,The Camel North American,0.1667,841,North America,0.002,841,North America,0.002,841,North America,0.002,841,North America,0.002,841,Camel North America,1.0,841,North American camel,0.1667,841,North America,0.002,841,camels in North America,1.0
842,David McCullough,0.0833,842,David McCullough,0.0833,842,I m not going to lie,0.0018,842,I  m not going to lie,0.0018,842,I m going to see David McCullough,1.0,842,David McCullough,0.0833,842,The Commission has also adopted a proposal for a regulation on the implementation of the common fisheries policy,0.0,842,David McCullough,0.0833,842,David McCullough is,0.0833,842,David McCullough,0.0833,842,David McCullough,0.0833
843,Pol Pot,1.0,843,This is Paul Porter,0.0,843,Paul Port,0.0,843,Paul Booth,0.0,843,The money s gone,0.0,843,Pol Pot,1.0,843,Pol Pot,1.0,843,Paul Pot,0.0303,843,Pol Pot,1.0,843,Paul Pot,0.0303,843,Pol Pot,1.0
844,segmental duplications,0.1667,844,Partially copied,0.0,844,Copy the segment,0.0018,844,The cataract complications,0.0,844,The double edged sword,0.0,844,double segmented,0.0,844,Segmental duplications,0.1667,844,segmental duplications,0.1667,844,duplication of the segment,0.1667,844,division double,0.0,844,segmental duplications,0.1667
845,New Jersey tomato,1.0,845,New Jersey tomatoes are the best,1.0,845,The New Jersey tomatoes,1.0,845,New Jersey tomatoes,1.0,845,The New Jersey tomatoes,1.0,845,Tomatoes from New Jersey,1.0,845,Tomatoes from New Jersey,1.0,845,Tomatoes from New Jersey,1.0,845,New Jersey tomatoes,1.0,845,New Jersey tomatoes,1.0,845,New Jersey s grandmother,0.0
846,heredity and obesity,1.0,846,Genetics and obesity,1.0,846,Genetics and obesity,1.0,846,Genetics and obesity,1.0,846,Genetic and obese,1.0,846,inherited and obese,0.3333,846,Inheritance and Obesity,0.3333,846,inheritance and obesity,0.3333,846,offspring and obesity,0.0078,846,Genetic and obesity,1.0,846,Inheritance and obesity,0.3333
847,Portugal World War II,1.0,847,Portugal during the Second World War,1.0,847,Portugal during the Second World War,1.0,847,Portugal World War II,1.0,847,Portugal during World War II,1.0,847,Portugal in the Second World War,1.0,847,Portugal Second World War,1.0,847,Portugal Second world war,1.0,847,Portugal during World War II,1.0,847,Portugal during World War II,1.0,847,Portugal during World War II,1.0
848,radio station call letters,1.0,848,The radio call letters,1.0,848,Telephone mail from the radio station,0.0455,848,Call messages to the radio station,0.0714,848,The radio station s call letters,1.0,848,Letters of call from the radio station,1.0,848,Telephone calls from radio stations,0.0385,848,Calls to the radio station,0.5,848,Radio station call letters,1.0,848,Radio station call letters,1.0,848,telephone letters from a radio station,0.5
849,Scalable Vector Graphics,1.0,849,Expandable vector map,0.0023,849,Expandable vector graphics,0.0345,849,Growing vector graphics,0.0714,849,Scalable metric graphics,0.0085,849,The following table shows the evolutionary vector graphs,0.006,849,Scalable vector graphics,1.0,849,Scalable vector graphs,0.0345,849,Vector graphs that can be measured,0.0053,849,Scable vector charts,0.0016,849,Scalable Vector Graphics,1.0
