qid,abstractqueryexpansion,abstractqueryexpansion.bm25.map,star_model_count,method.1,metric.1,query.1,method.2,metric.2,query.2,method.3,metric.3,query.3,method.4,metric.4,query.4,method.5,metric.5,query.5,method.6,metric.6,query.6,method.7,metric.7,query.7
701,U.S. oil industry history,0.026,4,backtranslation_deu_latn,0.0623,The history of the US oil industry,backtranslation_arb_arab,0.0363,The history of the American oil industry,backtranslation_fra_latn,0.0363,The history of the American oil industry,backtranslation_kor_hang,0.0288,The history of the oil industry in the United States,,,,,,,,,
702,Pearl farming,0.0482,0,,,,,,,,,,,,,,,,,,,,,
703,U.S. against International Criminal Court,,0,,,,,,,,,,,,,,,,,,,,,
704,Green party political views,0.2345,0,,,,,,,,,,,,,,,,,,,,,
705,Iraq foreign debt reduction,0.2626,3,backtranslation_zsm_latn,0.3243,Debt reduction outside Iraq,backtranslation_rus_cyrl,0.2783,Reducing Iraq s external debt,backtranslation_fra_latn,0.2717,Reduction of Iraq s external debt,,,,,,,,,,,,
706,Controlling type II diabetes,0.058,4,backtranslation_kor_hang,0.14,Control of type   diabetes,backtranslation_arb_arab,0.14,Control of type   diabetes,backtranslation_pes_arab,0.14,Control of type   diabetes,backtranslation_zsm_latn,0.0581,Managing type   diabetes,,,,,,,,,
707,Aspirin cancer prevention,0.2599,0,,,,,,,,,,,,,,,,,,,,,
708,Decorative slate sources,0.2365,0,,,,,,,,,,,,,,,,,,,,,
709,Horse racing jockey weight,0.8146,0,,,,,,,,,,,,,,,,,,,,,
710,Prostate cancer treatments,0.5473,0,,,,,,,,,,,,,,,,,,,,,
711,Train station security measures,0.0699,0,,,,,,,,,,,,,,,,,,,,,
712,Pyramid scheme,0.5529,0,,,,,,,,,,,,,,,,,,,,,
713,Chesapeake Bay Maryland clean,0.3337,0,,,,,,,,,,,,,,,,,,,,,
714,License restrictions older drivers,0.16,1,backtranslation_swh_latn,0.1733,Restrictions on a driver s license for older persons,,,,,,,,,,,,,,,,,,
715,Schizophrenia drugs,0.1519,0,,,,,,,,,,,,,,,,,,,,,
716,Spammer arrest sue,0.0857,7,backtranslation_kor_hang,0.2103,Spammers arresting lawsuit,backtranslation_deu_latn,0.2103,Spammer arrest lawsuit,backtranslation_pes_arab,0.1598,The Spammer arrest case,backtranslation_tam_taml,0.1598,The case of the spammers arrest,backtranslation_swh_latn,0.0922,Spammer arrested trial,backtranslation_rus_cyrl,0.0914,The request for the arrest of the spammer,backtranslation_fra_latn,0.0897,The spammers are being prosecuted
717,Gifted talented student programs,0.3544,0,,,,,,,,,,,,,,,,,,,,,
718,Controlling acid rain,0.3409,0,,,,,,,,,,,,,,,,,,,,,
719,Cruise ship damage sea life,0.0658,7,backtranslation_pes_arab,0.1495,Damage to the marine life of cruise ships,backtranslation_rus_cyrl,0.1495,Damage to the marine life of cruise ships,backtranslation_zsm_latn,0.1495,Damage to the marine life cruise ship,backtranslation_yue_hant,0.1447,The damage to marine life caused by cruise ships,backtranslation_fra_latn,0.1067,Damage to cruise ships,backtranslation_deu_latn,0.1067,Damage to cruise ships,backtranslation_kor_hang,0.1016,The marine life of a cruise ship
720,Federal welfare reform,0.2768,0,,,,,,,,,,,,,,,,,,,,,
721,Census data applications,0.0217,1,backtranslation_rus_cyrl,0.0345,Applications for the population census data,,,,,,,,,,,,,,,,,,
722,Iran terrorism,0.4206,0,,,,,,,,,,,,,,,,,,,,,
723,Executive privilege,0.1443,0,,,,,,,,,,,,,,,,,,,,,
724,Iran Contra,0.2083,0,,,,,,,,,,,,,,,,,,,,,
725,Low white blood cell count,0.2997,0,,,,,,,,,,,,,,,,,,,,,
726,Hubble telescope repairs,0.5387,0,,,,,,,,,,,,,,,,,,,,,
727,Church arson,0.4169,0,,,,,,,,,,,,,,,,,,,,,
728,whales save endangered,0.4563,1,backtranslation_arb_arab,0.4577,The whales are endangered,,,,,,,,,,,,,,,,,,
729,Whistle blower department of defense,0.0033,1,backtranslation_kor_hang,0.0129,The Department of Defense is whistling,,,,,,,,,,,,,,,,,,
730,Gastric bypass complications,0.4506,0,,,,,,,,,,,,,,,,,,,,,
731,Kurds history,0.2741,0,,,,,,,,,,,,,,,,,,,,,
732,U.S. cheese production,0.2734,0,,,,,,,,,,,,,,,,,,,,,
733,Airline overbooking,0.2893,1,backtranslation_yue_hant,0.3072,Airlines have overbooked,,,,,,,,,,,,,,,,,,
734,Recycling successes,0.235,0,,,,,,,,,,,,,,,,,,,,,
735,Afghan women condition,0.2393,0,,,,,,,,,,,,,,,,,,,,,
736,location BSE infections,0.621,0,,,,,,,,,,,,,,,,,,,,,
737,Enron California energy crisis,0.6091,0,,,,,,,,,,,,,,,,,,,,,
738,Anthrax hoaxes,0.6016,0,,,,,,,,,,,,,,,,,,,,,
739,Habitat for Humanity,0.157,0,,,,,,,,,,,,,,,,,,,,,
740,regulate assisted living Maryland,0.2476,0,,,,,,,,,,,,,,,,,,,,,
741,Artificial Intelligence,0.0914,0,,,,,,,,,,,,,,,,,,,,,
742,hedge funds fraud protection,0.3035,5,backtranslation_pes_arab,0.3495,Protecting against hedge fund fraud,backtranslation_fra_latn,0.3495,protection against hedge fund fraud,backtranslation_deu_latn,0.3495,Protection against hedge fund fraud,backtranslation_zsm_latn,0.3495,protection against hedge fund fraud,backtranslation_swh_latn,0.3495,protection against hedge funds fraud,,,,,,
743,Freighter ship registration,0.0147,2,backtranslation_yue_hant,0.0255,The cargo ship is registered,backtranslation_pes_arab,0.0255,Register of cargo ships,,,,,,,,,,,,,,,
744,Counterfeit ID punishments,0.0201,2,backtranslation_rus_cyrl,0.0498,Penalties for counterfeiting identity card,backtranslation_deu_latn,0.0235,Penalties for counterfeit identification,,,,,,,,,,,,,,,
745,Doomsday cults,0.3247,0,,,,,,,,,,,,,,,,,,,,,
746,Outsource job India,0.2773,0,,,,,,,,,,,,,,,,,,,,,
747,Library computer oversight,0.0641,0,,,,,,,,,,,,,,,,,,,,,
748,Nuclear reactor types,0.2877,0,,,,,,,,,,,,,,,,,,,,,
749,Puerto Rico state,0.3428,0,,,,,,,,,,,,,,,,,,,,,
750,John Edwards womens issues,0.0639,1,backtranslation_pes_arab,0.0658,The women of John Edwards,,,,,,,,,,,,,,,,,,
