qid,abstractqueryexpansion,abstractqueryexpansion.qld.map,qid,backtranslation_yue_hant,backtranslation_yue_hant.qld.map,qid,backtranslation_kor_hang,backtranslation_kor_hang.qld.map,qid,backtranslation_arb_arab,backtranslation_arb_arab.qld.map,qid,backtranslation_pes_arab,backtranslation_pes_arab.qld.map,qid,backtranslation_fra_latn,backtranslation_fra_latn.qld.map,qid,backtranslation_deu_latn,backtranslation_deu_latn.qld.map,qid,backtranslation_rus_cyrl,backtranslation_rus_cyrl.qld.map,qid,backtranslation_zsm_latn,backtranslation_zsm_latn.qld.map,qid,backtranslation_tam_taml,backtranslation_tam_taml.qld.map,qid,backtranslation_swh_latn,backtranslation_swh_latn.qld.map
701,U.S. oil industry history,0.04,701,The history of the U S  oil industry,0.0211,701,The history of the oil industry in the United States,0.0176,701,The history of the American oil industry,0.0411,701,The history of the U S  oil industry,0.0211,701,The history of the American oil industry,0.0411,701,The history of the US oil industry,0.0471,701,The history of the U S  oil industry,0.0211,701,History of the U S  oil industry,0.0211,701,The history of the U S  oil industry,0.0211,701,The history of the U S  oil industry,0.0211
702,Pearl farming,0.0608,702,Pearl farming,0.0608,702,Pearl farming,0.0608,702,The pearl planting,0.0099,702,He killed Pearl,0.0002,702,Cultivation of pearls,0.0615,702,Pearl farming,0.0608,702,Pearl farming,0.0608,702,Pearl farming,0.0608,702,pearl farming,0.0608,702,The pearl farm,0.0608
703,U.S. against International Criminal Court,,703,The United States is against the International Criminal Court,,703,The United States of America is appealing to the International Criminal Court,,703,United States v  International Criminal Court,,703,United States v  International Criminal Court,,703,United States v  International Criminal Court,,703,The United States v  International Criminal Court,,703,United States v  International Criminal Court,,703,The United States v  the International Criminal Court,,703,The United States v  International Criminal Court,,703,United States v  International Criminal Court,
704,Green party political views,0.1778,704,The Green Party s political views,0.1293,704,The political views of the Green Party,0.1778,704,The views of the Green Party,0.1413,704,The political views of the Green Party,0.1778,704,The political views of the Green Party,0.1778,704,Political views of the Greens,0.0088,704,Political views of the Green Party,0.1778,704,Green Party political views,0.1778,704,Green Party political views,0.1778,704,The political views of the Green Party,0.1778
705,Iraq foreign debt reduction,0.2673,705,Iraq s foreign debt is down,0.1709,705,Iraq s foreign debt cuts,0.0603,705,Cut the foreign debt in Iraq,0.0695,705,Reducing Iraq s foreign debt,0.2118,705,Reduction of Iraq s external debt,0.2846,705,Reduction of foreign debt in Iraq,0.2673,705,Reducing Iraq s external debt,0.3072,705,Debt reduction outside Iraq,0.3853,705,Iraq s foreign debt reduction,0.2055,705,Reducing Iraq s foreign debt,0.2118
706,Controlling type II diabetes,0.1465,706,Control of type II diabetes,0.1465,706,Control of type   diabetes,0.151,706,Control of type   diabetes,0.151,706,Control of type   diabetes,0.151,706,Control of type II diabetes,0.1465,706,Control of type II diabetes,0.1465,706,Control of type II diabetes,0.1465,706,Managing type   diabetes,0.1182,706,Control of type II diabetes,0.1465,706,Control of type II diabetes,0.1465
707,Aspirin cancer prevention,0.4181,707,The anti cancer aspirin,0.3886,707,Aspirin is a cancer prevention drug,0.3188,707,Prevention of cancer,0.0124,707,Prevention of cancer from aspirin,0.4164,707,Prevention of cancer by aspirin,0.4181,707,Aspirin for the Prevention of Cancer,0.4181,707,Prevention of cancer with aspirin,0.4181,707,Aspirin to prevent cancer,0.4181,707,Aspirin is used to prevent cancer,0.3959,707,How to fight cancer with aspirin,0.2338
708,Decorative slate sources,0.2576,708,The source of the decoration,0.0,708,Slate source for decoration,0.2576,708,The sources of the ornamental stone,0.0012,708,Sources of fertility,0.0,708,Sources of decorative clay,0.0031,708,Slate and shale sources,0.1,708,The sources of decorative leaves,0.0,708,Sources of decorative slate,0.2576,708,The decorative silk pieces,0.0,708,The origins of the decorative slate,0.1419
709,Horse racing jockey weight,0.7709,709,The weight of the race car,0.0117,709,Horse racing jockey weight,0.7709,709,The weight of the forerunners,0.0,709,The weight of a horse race joke,0.5711,709,Weight of the Horsemen,0.2051,709,Weight of horse racing,0.6301,709,The weight of a horse rider,0.2599,709,Heavy jockey horse racing,0.6169,709,The weight of the horse racing team,0.5944,709,The weight of horse racing jockeys,0.7709
710,Prostate cancer treatments,0.4807,710,Treatment of prostate cancer,0.4807,710,Treatment of prostate cancer,0.4807,710,Treatment for prostate cancer,0.4807,710,Treatment for prostate cancer,0.4807,710,Treatment of prostate cancer,0.4807,710,Treatment of prostate cancer,0.4807,710,Treatment of prostate cancer,0.4807,710,Treatment of prostate cancer,0.4807,710,Treatments for Prostate Cancer,0.4807,710,Treatment of prostate cancer,0.4807
