qid,abstractqueryexpansion,abstractqueryexpansion.qld.recip_rank,star_model_count,method.1,metric.1,query.1,method.2,metric.2,query.2,method.3,metric.3,query.3,method.4,metric.4,query.4,method.5,metric.5,query.5,method.6,metric.6,query.6,method.7,metric.7,query.7,method.8,metric.8,query.8,method.9,metric.9,query.9
701,U.S. oil industry history,0.1429,9,backtranslation_arb_arab,1.0,The history of the American oil industry,backtranslation_fra_latn,1.0,The history of the American oil industry,backtranslation_deu_latn,0.3333,The history of the US oil industry,backtranslation_yue_hant,0.2,The history of the U S  oil industry,backtranslation_pes_arab,0.2,The history of the U S  oil industry,backtranslation_rus_cyrl,0.2,The history of the U S  oil industry,backtranslation_zsm_latn,0.2,History of the U S  oil industry,backtranslation_tam_taml,0.2,The history of the U S  oil industry,backtranslation_swh_latn,0.2,The history of the U S  oil industry
702,Pearl farming,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
703,U.S. against International Criminal Court,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
704,Green party political views,0.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
705,Iraq foreign debt reduction,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
706,Controlling type II diabetes,0.2,1,backtranslation_zsm_latn,0.3333,Managing type   diabetes,,,,,,,,,,,,,,,,,,,,,,,,
707,Aspirin cancer prevention,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
708,Decorative slate sources,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
709,Horse racing jockey weight,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
710,Prostate cancer treatments,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
711,Train station security measures,0.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
712,Pyramid scheme,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
713,Chesapeake Bay Maryland clean,0.3333,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
714,License restrictions older drivers,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
715,Schizophrenia drugs,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
716,Spammer arrest sue,0.125,9,backtranslation_yue_hant,1.0,Spam was arrested and charged,backtranslation_kor_hang,1.0,Spammers arresting lawsuit,backtranslation_pes_arab,1.0,The Spammer arrest case,backtranslation_deu_latn,1.0,Spammer arrest lawsuit,backtranslation_rus_cyrl,1.0,The request for the arrest of the spammer,backtranslation_zsm_latn,1.0,Spammer arrested for suing,backtranslation_tam_taml,1.0,The case of the spammers arrest,backtranslation_swh_latn,1.0,Spammer arrested trial,backtranslation_fra_latn,0.2,The spammers are being prosecuted
717,Gifted talented student programs,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
718,Controlling acid rain,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
719,Cruise ship damage sea life,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
720,Federal welfare reform,0.3333,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
721,Census data applications,0.25,1,backtranslation_rus_cyrl,0.3333,Applications for the population census data,,,,,,,,,,,,,,,,,,,,,,,,
722,Iran terrorism,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
723,Executive privilege,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
724,Iran Contra,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
725,Low white blood cell count,0.5,2,backtranslation_yue_hant,1.0,Low blood cell count,backtranslation_deu_latn,1.0,Low blood cell counts,,,,,,,,,,,,,,,,,,,,,
726,Hubble telescope repairs,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
727,Church arson,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
728,whales save endangered,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
729,Whistle blower department of defense,0.0159,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
730,Gastric bypass complications,0.5,1,backtranslation_swh_latn,1.0,Problems with gastric surgery,,,,,,,,,,,,,,,,,,,,,,,,
731,Kurds history,0.1111,3,backtranslation_yue_hant,1.0,Kurdish history,backtranslation_deu_latn,1.0,Kurdish history,backtranslation_zsm_latn,1.0,Kurdish history,,,,,,,,,,,,,,,,,,
732,U.S. cheese production,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
733,Airline overbooking,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
734,Recycling successes,0.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
735,Afghan women condition,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
736,location BSE infections,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
737,Enron California energy crisis,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
738,Anthrax hoaxes,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
739,Habitat for Humanity,0.3333,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
740,regulate assisted living Maryland,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
741,Artificial Intelligence,0.125,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
742,hedge funds fraud protection,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
743,Freighter ship registration,0.2,3,backtranslation_fra_latn,1.0,Register of freight vessels,backtranslation_yue_hant,0.5,The cargo ship is registered,backtranslation_pes_arab,0.5,Register of cargo ships,,,,,,,,,,,,,,,,,,
