qid,abstractqueryexpansion,abstractqueryexpansion.qld.map,qid,backtranslation_yue_hant,backtranslation_yue_hant.qld.map,qid,backtranslation_kor_hang,backtranslation_kor_hang.qld.map,qid,backtranslation_arb_arab,backtranslation_arb_arab.qld.map,qid,backtranslation_pes_arab,backtranslation_pes_arab.qld.map,qid,backtranslation_fra_latn,backtranslation_fra_latn.qld.map,qid,backtranslation_deu_latn,backtranslation_deu_latn.qld.map,qid,backtranslation_rus_cyrl,backtranslation_rus_cyrl.qld.map,qid,backtranslation_zsm_latn,backtranslation_zsm_latn.qld.map,qid,backtranslation_tam_taml,backtranslation_tam_taml.qld.map,qid,backtranslation_swh_latn,backtranslation_swh_latn.qld.map
801,Kudzu Pueraria lobata,0.4422,801,The garden of Kunsan  the faucet,0.0,801,The Kuz Poeria Robata is coming,0.0,801,I  m not going to lie,0.0,801,The first is the  Codez Porcaria Lobata,0.0441,801,The child s elbow,0.0,801,Other  of a kind used for the manufacture of foodstuffs,0.0,801,The Kudo Poeraria of the Lobot,0.0,801,Kudzu Pueraria the lobotome,0.5346,801,The Kutsu Puewari Lopada,0.0,801,The Pueraria lobata,0.2475
802,Volcano eruptions global temperature,0.3471,802,The volcano erupted  and global warming began,0.1265,802,Volcanic eruptions  global warming,0.4749,802,Volcanic eruptions   Global warming,0.4749,802,The eruption of a global warming volcano,0.3409,802,Volcanic eruptions and global warming,0.4749,802,Volcanic eruptions global temperature,0.4665,802,Volcanic eruptions global temperature,0.4665,802,Global temperature volcanic eruption,0.4665,802,Volcanic eruptions global warming,0.4749,802,Volcanic violence global warming,0.2603
803,May Day,0.0,803,One of May,0.0,803,May  st,0.0,803,May  st,0.0,803,A little bit,0.0,803,May,0.0,803,May,0.0,803,May  st,0.0,803,First day of May,0.0,803,May,0.0,803,The First Day of May,0.0
804,ban on human cloning,0.5122,804,Human cloning is prohibited,0.5534,804,Prohibition of human reproduction,0.3811,804,The ban on human replication,0.1542,804,Prohibition of human cloning,0.5534,804,prohibition on cloning humans,0.5534,804,Prohibition of cloning of humans,0.5534,804,The ban on cloning,0.5025,804,Prohibition of human cloning,0.5534,804,The ban on human cloning,0.5122,804,Prohibition of human design,0.097
805,Identity Theft Passport,0.041,805,I D  is a passport,0.0,805,A passport to steal an ID,0.016,805,A passport for identity theft,0.041,805,Identity theft pass,0.0082,805,Passport for identity theft,0.041,805,Pass for identity theft,0.0082,805,Passport of identity theft,0.041,805,Passport for identity theft,0.041,805,Identity theft passport,0.041,805,A Passport for Identity Theft,0.041
806,Doctors Without Borders,0.0663,806,Doctors without borders,0.0663,806,Doctors without borders,0.0663,806,Doctors without borders,0.0663,806,Doctors without borders,0.0663,806,Doctors without Borders,0.0663,806,Doctors without Borders,0.0663,806,Doctors without borders,0.0663,806,Doctor Without Borders,0.0663,806,Doctors without Borders,0.0663,806,Doctors Without Borders,0.0663
807,Sugar tariff-rate quotas,0.5685,807,The sugar tax rate is set,0.1238,807,Sugar tariffs,0.4826,807,Sugar tariffs,0.4826,807,Low sugar tariffs,0.5106,807,Tariff quotas for sugar,0.5819,807,Tariff quotas for sugar,0.5819,807,Quotas on sugar tariff rates,0.5685,807,Sugar tariff boxes,0.4108,807,Tax quotas for sugar,0.5759,807,Sugar tax rates,0.1383
808,North Korean Counterfeiting,0.6491,808,North Korea is fake,0.0535,808,The North Korean counterfeit,0.6491,808,North Korean counterfeiting,0.6491,808,North Korean fraud,0.075,808,Counterfeiting in North Korea,0.6668,808,North Korean counterfeiting,0.6491,808,North Korea is a fake,0.0535,808,North Korea Abuse,0.031,808,The North Korean counterfeit,0.6491,808,North Korean Fraud,0.075
809,wetlands wastewater treatment,0.3132,809,Wetland wastewater treatment,0.3132,809,The wetland drainage,0.0032,809,Treating the water in the swamp,0.0017,809,Wastewater treatment in wetlands,0.3132,809,treatment of wetland wastewater,0.3132,809,Wastewater treatment of wetlands,0.3132,809,Cleaning of wastewater in wetlands,0.1006,809,Wastewater treatment in wetlands,0.3132,809,Wetland wastewater treatment,0.3132,809,rainwater treatment,0.0
810,timeshare resales,0.3129,810,Share the time of the sale,0.0,810,Shared time reselling,0.0,810,Re selling the stake in time,0.0,810,The resale of time stock,0.0,810,Sales distributed,0.0,810,The Commission shall take into account the following information,0.0,810,hourly share resale,0.0,810,Selling time back together,0.0,810,Time sharing reselling,0.0,810,time sales,0.0
