qid,abstractqueryexpansion,abstractqueryexpansion.qld.recip_rank,qid.1,backtranslation_yue_hant,backtranslation_yue_hant.qld.recip_rank,qid.2,backtranslation_kor_hang,backtranslation_kor_hang.qld.recip_rank,qid.3,backtranslation_arb_arab,backtranslation_arb_arab.qld.recip_rank,qid.4,backtranslation_pes_arab,backtranslation_pes_arab.qld.recip_rank,qid.5,backtranslation_fra_latn,backtranslation_fra_latn.qld.recip_rank,qid.6,backtranslation_deu_latn,backtranslation_deu_latn.qld.recip_rank,qid.7,backtranslation_rus_cyrl,backtranslation_rus_cyrl.qld.recip_rank,qid.8,backtranslation_zsm_latn,backtranslation_zsm_latn.qld.recip_rank,qid.9,backtranslation_tam_taml,backtranslation_tam_taml.qld.recip_rank,qid.10,backtranslation_swh_latn,backtranslation_swh_latn.qld.recip_rank
701,U.S. oil industry history,0.1429,701,The history of the U S  oil industry,0.2,701,The history of the oil industry in the United States,0.0769,701,The history of the American oil industry,1.0,701,The history of the U S  oil industry,0.2,701,The history of the American oil industry,1.0,701,The history of the US oil industry,0.3333,701,The history of the U S  oil industry,0.2,701,History of the U S  oil industry,0.2,701,The history of the U S  oil industry,0.2,701,The history of the U S  oil industry,0.2
702,Pearl farming,1.0,702,Pearl farming,1.0,702,Pearl farming,1.0,702,The pearl planting,0.3333,702,He killed Pearl,0.005,702,Cultivation of pearls,1.0,702,Pearl farming,1.0,702,Pearl farming,1.0,702,Pearl farming,1.0,702,pearl farming,1.0,702,The pearl farm,1.0
703,U.S. against International Criminal Court,,703,The United States is against the International Criminal Court,,703,The United States of America is appealing to the International Criminal Court,,703,United States v  International Criminal Court,,703,United States v  International Criminal Court,,703,United States v  International Criminal Court,,703,The United States v  International Criminal Court,,703,United States v  International Criminal Court,,703,The United States v  the International Criminal Court,,703,The United States v  International Criminal Court,,703,United States v  International Criminal Court,
704,Green party political views,0.5,704,The Green Party s political views,0.5,704,The political views of the Green Party,0.5,704,The views of the Green Party,0.3333,704,The political views of the Green Party,0.5,704,The political views of the Green Party,0.5,704,Political views of the Greens,0.5,704,Political views of the Green Party,0.5,704,Green Party political views,0.5,704,Green Party political views,0.5,704,The political views of the Green Party,0.5
705,Iraq foreign debt reduction,1.0,705,Iraq s foreign debt is down,1.0,705,Iraq s foreign debt cuts,0.5,705,Cut the foreign debt in Iraq,0.5,705,Reducing Iraq s foreign debt,0.5,705,Reduction of Iraq s external debt,1.0,705,Reduction of foreign debt in Iraq,1.0,705,Reducing Iraq s external debt,1.0,705,Debt reduction outside Iraq,1.0,705,Iraq s foreign debt reduction,0.5,705,Reducing Iraq s foreign debt,0.5
706,Controlling type II diabetes,0.2,706,Control of type II diabetes,0.2,706,Control of type   diabetes,0.0769,706,Control of type   diabetes,0.0769,706,Control of type   diabetes,0.0769,706,Control of type II diabetes,0.2,706,Control of type II diabetes,0.2,706,Control of type II diabetes,0.2,706,Managing type   diabetes,0.3333,706,Control of type II diabetes,0.2,706,Control of type II diabetes,0.2
707,Aspirin cancer prevention,1.0,707,The anti cancer aspirin,1.0,707,Aspirin is a cancer prevention drug,0.3333,707,Prevention of cancer,0.2,707,Prevention of cancer from aspirin,1.0,707,Prevention of cancer by aspirin,1.0,707,Aspirin for the Prevention of Cancer,1.0,707,Prevention of cancer with aspirin,1.0,707,Aspirin to prevent cancer,1.0,707,Aspirin is used to prevent cancer,1.0,707,How to fight cancer with aspirin,0.5
708,Decorative slate sources,1.0,708,The source of the decoration,0.0,708,Slate source for decoration,1.0,708,The sources of the ornamental stone,0.0217,708,Sources of fertility,0.0,708,Sources of decorative clay,0.0102,708,Slate and shale sources,1.0,708,The sources of decorative leaves,0.0,708,Sources of decorative slate,1.0,708,The decorative silk pieces,0.0,708,The origins of the decorative slate,1.0
709,Horse racing jockey weight,1.0,709,The weight of the race car,0.0312,709,Horse racing jockey weight,1.0,709,The weight of the forerunners,0.0,709,The weight of a horse race joke,1.0,709,Weight of the Horsemen,0.3333,709,Weight of horse racing,1.0,709,The weight of a horse rider,1.0,709,Heavy jockey horse racing,1.0,709,The weight of the horse racing team,1.0,709,The weight of horse racing jockeys,1.0
710,Prostate cancer treatments,1.0,710,Treatment of prostate cancer,1.0,710,Treatment of prostate cancer,1.0,710,Treatment for prostate cancer,1.0,710,Treatment for prostate cancer,1.0,710,Treatment of prostate cancer,1.0,710,Treatment of prostate cancer,1.0,710,Treatment of prostate cancer,1.0,710,Treatment of prostate cancer,1.0,710,Treatments for Prostate Cancer,1.0,710,Treatment of prostate cancer,1.0
