qid,abstractqueryexpansion,abstractqueryexpansion.bm25.recip_rank,qid,backtranslation_yue_hant,backtranslation_yue_hant.bm25.recip_rank,qid,backtranslation_kor_hang,backtranslation_kor_hang.bm25.recip_rank,qid,backtranslation_arb_arab,backtranslation_arb_arab.bm25.recip_rank,qid,backtranslation_pes_arab,backtranslation_pes_arab.bm25.recip_rank,qid,backtranslation_fra_latn,backtranslation_fra_latn.bm25.recip_rank,qid,backtranslation_deu_latn,backtranslation_deu_latn.bm25.recip_rank,qid,backtranslation_rus_cyrl,backtranslation_rus_cyrl.bm25.recip_rank,qid,backtranslation_zsm_latn,backtranslation_zsm_latn.bm25.recip_rank,qid,backtranslation_tam_taml,backtranslation_tam_taml.bm25.recip_rank,qid,backtranslation_swh_latn,backtranslation_swh_latn.bm25.recip_rank
751,Scrabble Players,1.0,751,Players,0.0,751,Scrabble player,1.0,751,The scrabble players,1.0,751,The Scribell players,0.0,751,Scrabble games,0.1,751,Scrabblers,0.0,751,Scrabble players,1.0,751,Scrabble player,1.0,751,The Scrapley Players,0.0,751,Scrabble players,1.0
752,Dam removal,1.0,752,It was demolished,0.0046,752,Remove the drain,0.0476,752,Remove the dam,1.0,752,Remove the dam,1.0,752,Removal of the dam,1.0,752,Distance of the dam,0.0041,752,Removing the dam,1.0,752,Removal of the dam,1.0,752,Removal of dam,1.0,752,Removing the pool,0.0417
753,bullying prevention programs,1.0,753,The bullying prevention program,1.0,753,The bullying prevention program,1.0,753,Prevention of bullying,1.0,753,The program is designed to prevent harassment,0.0088,753,the prevention of bullying programmes,0.1,753,The Commission has also adopted a number of proposals for the implementation of the programme,0.0,753,The program on bullying prevention,1.0,753,bullying prevention program,1.0,753,Prevention of harassment,0.0076,753,measures to prevent oppression,0.0023
754,domestic adoption laws,0.25,754,The National Farm Law,0.0,754,Adoption laws in the country,1.0,754,Local adoption laws,0.0164,754,The rules of adoption,0.0065,754,national legislation on adoption,0.2,754,Adoption laws,1.0,754,national laws on adoption,1.0,754,domestic adoption law,0.25,754,The laws of domestic adoption,0.25,754,domestic adoption laws,0.25
755,Scottish Highland Games,1.0,755,Scottish Highland Movement,1.0,755,The Scottish Highland Games,1.0,755,The Scottish Highland Games,1.0,755,The Scottish Highland Games,1.0,755,The Scottish Highlands Games,1.0,755,Scottish Highland Games,1.0,755,Scottish skiing games,0.5,755,Highland Scotland game,1.0,755,The Scottish Highlands Games,1.0,755,The Scottish Highland Games,1.0
756,Volcanic Activity,0.5,756,Volcanic activity,0.5,756,Volcanic activity,0.5,756,Volcanic activity,0.5,756,Volcanic activity,0.5,756,Volcanic activity,0.5,756,Volcanic activity,0.5,756,Volcanic activity,0.5,756,Volcanic activity,0.5,756,Volcanic activity,0.5,756,The Activity of the Volcano,0.3333
757,Murals,0.3333,757,Wall paintings,0.0909,757,The wallpaper,0.0,757,The murals,0.3333,757,Wall paintings,0.0909,757,Wall paintings,0.0909,757,Wall paintings,0.0909,757,The walls,0.0,757,Wall painting,0.0909,757,Wall paintings,0.0909,757,The display of the wall,0.0037
758,Embryonic stem cells,1.0,758,embryonic stem cells,1.0,758,The embryonic stem cell,1.0,758,The embryonic stem cells,1.0,758,The embryonic stem cells,1.0,758,The embryonic stem cells,1.0,758,The following table shows the results of the study,0.0,758,The embryonic stem cells,1.0,758,The embryonic stem cells,1.0,758,The brain cells of the fetus,0.0152,758,The embryo cells,0.5
759,civil war battle reenactments,1.0,759,The Civil War is happening again,0.0233,759,A reenactment of the Civil War,1.0,759,The Civil War battles,0.0385,759,Civil War actors,0.0159,759,recreation of civil war battles,0.0455,759,Repeats of civil wars,0.0909,759,Reproduction of civil war,0.0208,759,Civil war fighting,0.0025,759,The Civil War was a turbulent period,0.0029,759,Exhibition of civil war,0.0043
760,american muslim mosques schools,1.0,760,Muslim mosque school in the United States,1.0,760,Islamic social school in the United States,1.0,760,American mosques and schools,1.0,760,Muslim mosques in America and schools,1.0,760,Muslim mosques in the US schools,1.0,760,American Muslim mosques schools,1.0,760,American Muslim mosques of the school,1.0,760,mosque muslim american school,1.0,760,American Muslim mosques schools,1.0,760,American mosque of Islamic school,1.0
