qid,abstractqueryexpansion,abstractqueryexpansion.bm25.map,star_model_count,method.1,metric.1,query.1,method.2,metric.2,query.2,method.3,metric.3,query.3,method.4,metric.4,query.4,method.5,metric.5,query.5
751,Scrabble Players,0.3073,0,,,,,,,,,,,,,,,
752,Dam removal,0.5598,0,,,,,,,,,,,,,,,
753,bullying prevention programs,0.2657,0,,,,,,,,,,,,,,,
754,domestic adoption laws,0.0637,0,,,,,,,,,,,,,,,
755,Scottish Highland Games,0.4699,0,,,,,,,,,,,,,,,
756,Volcanic Activity,0.3308,0,,,,,,,,,,,,,,,
757,Murals,0.2111,0,,,,,,,,,,,,,,,
758,Embryonic stem cells,0.6814,0,,,,,,,,,,,,,,,
759,civil war battle reenactments,0.314,0,,,,,,,,,,,,,,,
760,american muslim mosques schools,0.2298,1,backtranslation_pes_arab,0.3093,Muslim mosques in America and schools,,,,,,,,,,,,
761,Problems of Hmong Immigrants,0.5638,0,,,,,,,,,,,,,,,
762,History of Physicians in America,0.025,0,,,,,,,,,,,,,,,
763,Hunting deaths,0.1228,0,,,,,,,,,,,,,,,
764,Increase mass transit use,0.1246,0,,,,,,,,,,,,,,,
765,ephedra ma huang deaths,0.4654,1,backtranslation_yue_hant,0.5836,The death of Ephedra Ma Juan,,,,,,,,,,,,
766,diamond smuggling,0.4403,0,,,,,,,,,,,,,,,
767,Pharmacist License requirements,0.4662,0,,,,,,,,,,,,,,,
768,Women in state legislatures,0.1086,0,,,,,,,,,,,,,,,
769,Kroll Associates Employees,0.0074,0,,,,,,,,,,,,,,,
770,Kyrgyzstan-United States relations,0.4702,0,,,,,,,,,,,,,,,
771,deformed leopard frogs,0.5366,0,,,,,,,,,,,,,,,
772,flag display rules,0.2818,0,,,,,,,,,,,,,,,
773,Pennsylvania slot machine gambling,0.5595,1,backtranslation_rus_cyrl,0.9027,Gambling at the Pennsylvania machines,,,,,,,,,,,,
774,Causes of Homelessness,0.3057,0,,,,,,,,,,,,,,,
775,Commercial candy makers,0.4179,0,,,,,,,,,,,,,,,
776,Magnet schools success,0.3178,0,,,,,,,,,,,,,,,
777,hybrid alternative fuel cars,0.3462,0,,,,,,,,,,,,,,,
778,golden ratio,0.1284,0,,,,,,,,,,,,,,,
779,Javelinas range and description,0.5286,0,,,,,,,,,,,,,,,
780,Arable land,0.4222,0,,,,,,,,,,,,,,,
781,Squirrel control and protections,0.4122,0,,,,,,,,,,,,,,,
782,Orange varieties seasons,0.7065,0,,,,,,,,,,,,,,,
783,school mercury poisoning,0.0702,1,backtranslation_fra_latn,0.0959,Mercury intoxication at school,,,,,,,,,,,,
784,mersenne primes,0.4458,1,backtranslation_zsm_latn,0.4583,number of mersenne primes,,,,,,,,,,,,
785,Ivory-billed woodpecker,0.3274,0,,,,,,,,,,,,,,,
786,Yew trees,0.4179,0,,,,,,,,,,,,,,,
787,Sunflower Cultivation,0.6141,0,,,,,,,,,,,,,,,
788,Reverse mortgages,0.5735,0,,,,,,,,,,,,,,,
789,abandoned mine reclamation,0.2294,0,,,,,,,,,,,,,,,
790,women's rights in Saudi Arabia,0.5289,0,,,,,,,,,,,,,,,
791,Gullah geechee language culture,0.4695,0,,,,,,,,,,,,,,,
792,Social Security means test,0.1308,2,backtranslation_rus_cyrl,0.1773,Social security   a test,backtranslation_tam_taml,0.1773,Social security testing,,,,,,,,,
793,Bagpipe Bands,0.3595,0,,,,,,,,,,,,,,,
794,pet therapy,0.0888,0,,,,,,,,,,,,,,,
795,notable cocker spaniels,0.0254,5,backtranslation_kor_hang,0.0675,A remarkable Coker Spaniel,backtranslation_zsm_latn,0.0459,The famous cocker Spaniel,backtranslation_swh_latn,0.0459,The famous cocker spaniels,backtranslation_fra_latn,0.0436,the remarkable cocker spaniels,backtranslation_arb_arab,0.0257,Cocker Spaniel
796,Blue Grass Music Festival history,0.2559,0,,,,,,,,,,,,,,,
797,reintroduction of gray wolves,0.5207,0,,,,,,,,,,,,,,,
798,Massachusetts textile mills,0.1673,3,backtranslation_kor_hang,0.1911,Massachusetts textile factory,backtranslation_deu_latn,0.1911,Textile factories in Massachusetts,backtranslation_rus_cyrl,0.1911,Textile factories of Massachusetts,,,,,,
799,Animals in Alzheimer's research,0.3095,3,backtranslation_tam_taml,0.3816,The animals in Alzheimer s disease research are the most important,backtranslation_yue_hant,0.3409,Animals in the Alzheimer s study,backtranslation_kor_hang,0.3409,The animals in the Alzheimer s study,,,,,,
800,Ovarian Cancer Treatment,0.2232,0,,,,,,,,,,,,,,,
