qid,abstractqueryexpansion,abstractqueryexpansion.bm25.map,qid,backtranslation_yue_hant,backtranslation_yue_hant.bm25.map,qid,backtranslation_kor_hang,backtranslation_kor_hang.bm25.map,qid,backtranslation_arb_arab,backtranslation_arb_arab.bm25.map,qid,backtranslation_pes_arab,backtranslation_pes_arab.bm25.map,qid,backtranslation_fra_latn,backtranslation_fra_latn.bm25.map,qid,backtranslation_deu_latn,backtranslation_deu_latn.bm25.map,qid,backtranslation_rus_cyrl,backtranslation_rus_cyrl.bm25.map,qid,backtranslation_zsm_latn,backtranslation_zsm_latn.bm25.map,qid,backtranslation_tam_taml,backtranslation_tam_taml.bm25.map,qid,backtranslation_swh_latn,backtranslation_swh_latn.bm25.map
701,U.S. oil industry history,0.026,701,The history of the U S  oil industry,0.0075,701,The history of the oil industry in the United States,0.0288,701,The history of the American oil industry,0.0363,701,The history of the U S  oil industry,0.0075,701,The history of the American oil industry,0.0363,701,The history of the US oil industry,0.0623,701,The history of the U S  oil industry,0.0075,701,History of the U S  oil industry,0.0075,701,The history of the U S  oil industry,0.0075,701,The history of the U S  oil industry,0.0075
702,Pearl farming,0.0482,702,Pearl farming,0.0482,702,Pearl farming,0.0482,702,The pearl planting,0.0073,702,He killed Pearl,0.0003,702,Cultivation of pearls,0.0402,702,Pearl farming,0.0482,702,Pearl farming,0.0482,702,Pearl farming,0.0482,702,pearl farming,0.0482,702,The pearl farm,0.0482
703,U.S. against International Criminal Court,,703,The United States is against the International Criminal Court,,703,The United States of America is appealing to the International Criminal Court,,703,United States v  International Criminal Court,,703,United States v  International Criminal Court,,703,United States v  International Criminal Court,,703,The United States v  International Criminal Court,,703,United States v  International Criminal Court,,703,The United States v  the International Criminal Court,,703,The United States v  International Criminal Court,,703,United States v  International Criminal Court,
704,Green party political views,0.2345,704,The Green Party s political views,0.1184,704,The political views of the Green Party,0.2345,704,The views of the Green Party,0.1573,704,The political views of the Green Party,0.2345,704,The political views of the Green Party,0.2345,704,Political views of the Greens,0.0415,704,Political views of the Green Party,0.2345,704,Green Party political views,0.2345,704,Green Party political views,0.2345,704,The political views of the Green Party,0.2345
705,Iraq foreign debt reduction,0.2626,705,Iraq s foreign debt is down,0.1584,705,Iraq s foreign debt cuts,0.0396,705,Cut the foreign debt in Iraq,0.0538,705,Reducing Iraq s foreign debt,0.1644,705,Reduction of Iraq s external debt,0.2717,705,Reduction of foreign debt in Iraq,0.2626,705,Reducing Iraq s external debt,0.2783,705,Debt reduction outside Iraq,0.3243,705,Iraq s foreign debt reduction,0.1774,705,Reducing Iraq s foreign debt,0.1644
706,Controlling type II diabetes,0.058,706,Control of type II diabetes,0.058,706,Control of type   diabetes,0.14,706,Control of type   diabetes,0.14,706,Control of type   diabetes,0.14,706,Control of type II diabetes,0.058,706,Control of type II diabetes,0.058,706,Control of type II diabetes,0.058,706,Managing type   diabetes,0.0581,706,Control of type II diabetes,0.058,706,Control of type II diabetes,0.058
707,Aspirin cancer prevention,0.2599,707,The anti cancer aspirin,0.1837,707,Aspirin is a cancer prevention drug,0.1904,707,Prevention of cancer,0.0117,707,Prevention of cancer from aspirin,0.2599,707,Prevention of cancer by aspirin,0.2599,707,Aspirin for the Prevention of Cancer,0.2599,707,Prevention of cancer with aspirin,0.2599,707,Aspirin to prevent cancer,0.2599,707,Aspirin is used to prevent cancer,0.2486,707,How to fight cancer with aspirin,0.1071
708,Decorative slate sources,0.2365,708,The source of the decoration,0.0,708,Slate source for decoration,0.2365,708,The sources of the ornamental stone,0.0,708,Sources of fertility,0.0,708,Sources of decorative clay,0.0057,708,Slate and shale sources,0.0769,708,The sources of decorative leaves,0.0,708,Sources of decorative slate,0.2365,708,The decorative silk pieces,0.0,708,The origins of the decorative slate,0.1173
709,Horse racing jockey weight,0.8146,709,The weight of the race car,0.0001,709,Horse racing jockey weight,0.8146,709,The weight of the forerunners,0.0,709,The weight of a horse race joke,0.6081,709,Weight of the Horsemen,0.1403,709,Weight of horse racing,0.7148,709,The weight of a horse rider,0.2001,709,Heavy jockey horse racing,0.6317,709,The weight of the horse racing team,0.6146,709,The weight of horse racing jockeys,0.8146
710,Prostate cancer treatments,0.5473,710,Treatment of prostate cancer,0.5473,710,Treatment of prostate cancer,0.5473,710,Treatment for prostate cancer,0.5473,710,Treatment for prostate cancer,0.5473,710,Treatment of prostate cancer,0.5473,710,Treatment of prostate cancer,0.5473,710,Treatment of prostate cancer,0.5473,710,Treatment of prostate cancer,0.5473,710,Treatments for Prostate Cancer,0.5473,710,Treatment of prostate cancer,0.5473
