qid,abstractqueryexpansion,abstractqueryexpansion.qld.recip_rank,star_model_count,method.1,metric.1,query.1,method.2,metric.2,query.2,method.3,metric.3,query.3,method.4,metric.4,query.4,method.5,metric.5,query.5,method.6,metric.6,query.6,method.7,metric.7,query.7,method.8,metric.8,query.8,method.9,metric.9,query.9,method.10,metric.10,query.10
301,International Organized Crime,0.25,1,backtranslation_deu_latn,0.5,International organised crime,,,,,,,,,,,,,,,,,,,,,,,,,,,
302,Poliomyelitis and Post-Polio,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
303,Hubble Telescope Achievements,0.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
304,Endangered Species (Mammals),0.25,7,backtranslation_kor_hang,1.0,Endangered species,backtranslation_pes_arab,1.0,Endangered species  clouds,backtranslation_rus_cyrl,1.0,Threatened species  self skins,backtranslation_zsm_latn,1.0,Endangered species  s,backtranslation_tam_taml,1.0,The species in danger of extinction  type,backtranslation_yue_hant,0.5,They are endangered,backtranslation_swh_latn,0.5,Endangered Species  Animals,,,,,,,,,
305,Most Dangerous Vehicles,0.0833,2,backtranslation_yue_hant,0.0909,The most dangerous car,backtranslation_swh_latn,0.0909,The Most Dangerous Cars,,,,,,,,,,,,,,,,,,,,,,,,
306,African Civilian Deaths,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
307,New Hydroelectric Projects,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
308,Implant Dentistry,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
309,Rap and Crime,0.0034,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310,Radio Waves and Brain Cancer,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311,Industrial Espionage,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
312,Hydroponics,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313,Magnetic Levitation-Maglev,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
314,Marine Vegetation,0.0303,9,backtranslation_yue_hant,1.0,The seaweed,backtranslation_arb_arab,1.0,Marine plants,backtranslation_pes_arab,1.0,Seaweed,backtranslation_rus_cyrl,1.0,Sea vegetation,backtranslation_deu_latn,0.5,Sea farming,backtranslation_kor_hang,0.1667,Sea plants,backtranslation_zsm_latn,0.1667,Sea plants,backtranslation_tam_taml,0.1667,Sea plants,backtranslation_swh_latn,0.0333,Seafood,,,
315,Unexplained Highway Accidents,0.1667,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
316,Polygamy Polyandry Polygyny,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
317,Unsolicited Faxes,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
318,Best Retirement Country,0.1429,1,backtranslation_tam_taml,0.1667,The country with the best pension,,,,,,,,,,,,,,,,,,,,,,,,,,,
319,New Fuel Sources,0.3333,2,backtranslation_deu_latn,0.5,New fuels,backtranslation_zsm_latn,0.5,Renewable Fuel,,,,,,,,,,,,,,,,,,,,,,,,
320,Undersea Fiber Optic Cable,0.125,2,backtranslation_arb_arab,0.3333,Sea fiber cable underwater,backtranslation_zsm_latn,0.1667,Underwater fiber optic cables,,,,,,,,,,,,,,,,,,,,,,,,
321,Women in Parliaments,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
322,International Art Crime,0.0073,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
323,Literary/Journalistic Plagiarism,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
324,Argentine/British Relations,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
325,Cult Lifestyles,0.0833,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
326,Ferry Sinkings,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
327,Modern Slavery,0.0909,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
328,Pope Beatifications,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
329,Mexican Air Pollution,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
330,Iran-Iraq Cooperation,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
331,World Bank Criticism,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332,Income Tax Evasion,0.0455,5,backtranslation_kor_hang,0.0909,Avoiding Income Tax,backtranslation_swh_latn,0.0909,Avoiding Income Taxes,backtranslation_arb_arab,0.0625,Tax evasion,backtranslation_pes_arab,0.0625,Tax evasion,backtranslation_fra_latn,0.0625,Tax evasion,,,,,,,,,,,,,,,
333,Antibiotics Bacteria Disease,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
334,Export Controls Cryptography,0.5,1,backtranslation_tam_taml,1.0,Encryption of export controls,,,,,,,,,,,,,,,,,,,,,,,,,,,
335,Adoptive Biological Parents,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
336,Black Bear Attacks,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
337,Viral Hepatitis,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
338,Risk of Aspirin,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339,Alzheimer's Drug Treatment,0.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
340,Land Mine Ban,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
341,Airport Security,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342,Diplomatic Expulsion,0.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
343,Police Deaths,0.0909,1,backtranslation_swh_latn,0.25,The Death of a Police Officer,,,,,,,,,,,,,,,,,,,,,,,,,,,
344,Abuses of E-Mail,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
345,Overseas Tobacco Sales,0.1667,7,backtranslation_yue_hant,1.0,I sell cigarettes abroad,backtranslation_pes_arab,1.0,Smoking sales abroad,backtranslation_fra_latn,0.5,Tobacco sales abroad,backtranslation_rus_cyrl,0.5,The sale of tobacco abroad,backtranslation_zsm_latn,0.5,Tobacco sales abroad,backtranslation_tam_taml,0.5,The sale of tobacco abroad,backtranslation_arb_arab,0.25,Tobacco sales outside,,,,,,,,,
346,Educational Standards,0.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
347,Wildlife Extinction,0.1111,7,backtranslation_kor_hang,1.0,Extinction of the Wild,backtranslation_pes_arab,1.0,Extinction of the wild,backtranslation_rus_cyrl,1.0,Extinction of the wild,backtranslation_zsm_latn,1.0,Extinction of the wild,backtranslation_tam_taml,0.5,The destruction of wild animals,backtranslation_swh_latn,0.5,The Extinction of Animals,backtranslation_yue_hant,0.2,Wildlife is disappearing,,,,,,,,,
348,Agoraphobia,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
349,Metabolism,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350,Health and Computer Terminals,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351,Falkland petroleum exploration,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
352,British Chunnel impact,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
353,Antarctica exploration,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
354,journalist risks,0.3333,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
355,ocean remote sensing,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
356,postmenopausal estrogen Britain,0.0476,2,backtranslation_arb_arab,1.0,Oestrogen after the age of despair Britain,backtranslation_pes_arab,0.0909,Estrogen after the British monopoly,,,,,,,,,,,,,,,,,,,,,,,,
357,territorial waters dispute,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
358,blood-alcohol fatalities,0.3333,9,backtranslation_yue_hant,1.0,Blood alcohol is dead,backtranslation_kor_hang,1.0,Deaths from blood alcohol,backtranslation_arb_arab,1.0,Deaths from blood alcohol,backtranslation_pes_arab,1.0,Deaths from blood alcohol,backtranslation_fra_latn,1.0,death from alcohol in the blood,backtranslation_deu_latn,1.0,Blood alcohol deaths,backtranslation_rus_cyrl,1.0,death from alcohol in the blood,backtranslation_zsm_latn,1.0,death from blood alcohol,backtranslation_swh_latn,1.0,blood deaths from alcohol,,,
359,mutual fund predictors,0.0667,4,backtranslation_rus_cyrl,0.3333,forecast indicators of mutual funds,backtranslation_yue_hant,0.1667,Mutual fund forecasts,backtranslation_kor_hang,0.1667,Mutual fund forecasts,backtranslation_fra_latn,0.1667,forecasters of mutual funds,,,,,,,,,,,,,,,,,,
360,drug legalization benefits,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
361,clothing sweatshops,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
362,human smuggling,0.5,1,backtranslation_rus_cyrl,1.0,smuggling of people,,,,,,,,,,,,,,,,,,,,,,,,,,,
363,transportation tunnel disasters,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
364,rabies,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
365,El Nino,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
366,commercial cyanide uses,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
367,piracy,0.25,2,backtranslation_yue_hant,0.5,The act of piracy,backtranslation_kor_hang,0.5,The act of piracy,,,,,,,,,,,,,,,,,,,,,,,,
368,in vitro fertilization,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
369,anorexia nervosa bulimia,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
370,food/drug laws,0.1429,1,backtranslation_pes_arab,0.3333,Food and Drug regulations,,,,,,,,,,,,,,,,,,,,,,,,,,,
371,health insurance holistic,0.0072,8,backtranslation_pes_arab,1.0,Health insurance coverage,backtranslation_deu_latn,0.1429,State health insurance,backtranslation_swh_latn,0.027,general health insurance,backtranslation_arb_arab,0.025,Health insurance,backtranslation_rus_cyrl,0.025,health insurance,backtranslation_tam_taml,0.0196,Health insurance is complete,backtranslation_yue_hant,0.0159,Health insurance as a whole,backtranslation_kor_hang,0.0159,The whole health insurance,,,,,,
372,Native American casino,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
373,encryption equipment export,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
374,Nobel prize winners,0.25,3,backtranslation_fra_latn,1.0,Nobel Prize for his work,backtranslation_deu_latn,1.0,Nobel laureates,backtranslation_rus_cyrl,1.0,Nobel laureates,,,,,,,,,,,,,,,,,,,,,
375,hydrogen energy,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
376,World Court,0.25,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
377,cigar smoking,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
378,euro opposition,0.05,1,backtranslation_arb_arab,0.0769,Opposition to the European Union,,,,,,,,,,,,,,,,,,,,,,,,,,,
379,mainstreaming,0.25,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
380,obesity medical treatment,0.3333,2,backtranslation_tam_taml,1.0,Obesity is a medical condition,backtranslation_yue_hant,0.5,Obesity treatment,,,,,,,,,,,,,,,,,,,,,,,,
381,alternative medicine,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
382,hydrogen fuel automobiles,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
383,mental illness drugs,0.3333,1,backtranslation_yue_hant,1.0,Psychiatric drugs,,,,,,,,,,,,,,,,,,,,,,,,,,,
384,space station moon,0.5,4,backtranslation_pes_arab,1.0,The lunar space station,backtranslation_fra_latn,1.0,the lunar space station,backtranslation_zsm_latn,1.0,The lunar space station,backtranslation_swh_latn,1.0,The lunar space station,,,,,,,,,,,,,,,,,,
385,hybrid fuel cars,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
386,teaching disabled children,0.2,1,backtranslation_pes_arab,0.3333,Education of handicapped children,,,,,,,,,,,,,,,,,,,,,,,,,,,
387,radioactive waste,0.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
388,organic soil enhancement,0.3333,5,backtranslation_deu_latn,1.0,organic soil extraction,backtranslation_yue_hant,0.5,Organic soil is growing,backtranslation_kor_hang,0.5,Organic Soil Promotion,backtranslation_pes_arab,0.5,Increased organic soil,backtranslation_zsm_latn,0.5,organic soil increase,,,,,,,,,,,,,,,
389,illegal technology transfer,0.125,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
390,orphan drugs,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
391,R&D drug prices,0.5,3,backtranslation_yue_hant,1.0,The cost of drug development,backtranslation_zsm_latn,1.0,R D costs of medicines,backtranslation_tam_taml,1.0,Pharmaceutical R   D prices,,,,,,,,,,,,,,,,,,,,,
392,robotics,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
393,mercy killing,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
394,home schooling,0.1111,1,backtranslation_yue_hant,0.2,Family education,,,,,,,,,,,,,,,,,,,,,,,,,,,
395,tourism,0.2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
396,sick building syndrome,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,automobile recalls,0.25,1,backtranslation_tam_taml,0.5,Vehicle recall,,,,,,,,,,,,,,,,,,,,,,,,,,,
398,dismantling Europe's arsenal,0.5,2,backtranslation_yue_hant,1.0,To destroy the European arsenal,backtranslation_tam_taml,1.0,The European arsenal was destroyed,,,,,,,,,,,,,,,,,,,,,,,,
399,oceanographic vessels,0.3333,3,backtranslation_pes_arab,1.0,Oceanographic ships,backtranslation_rus_cyrl,1.0,oceanographic ships,backtranslation_zsm_latn,1.0,oceanographic ships,,,,,,,,,,,,,,,,,,,,,
400,Amazon rain forest,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401,"foreign minorities, Germany",0.5,1,backtranslation_swh_latn,1.0,Foreign heads  Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,
402,behavioral genetics,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
403,osteoporosis,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
404,"Ireland, peace talks",0.2,6,backtranslation_yue_hant,0.5,Ireland  peace negotiations,backtranslation_kor_hang,0.5,Ireland  peace negotiations,backtranslation_pes_arab,0.5,Ireland  peace negotiations,backtranslation_fra_latn,0.5,Ireland  peace negotiations,backtranslation_rus_cyrl,0.5,Ireland  peace negotiations,backtranslation_zsm_latn,0.5,Ireland  peace negotiations,,,,,,,,,,,,
405,cosmic events,0.25,2,backtranslation_yue_hant,1.0,The events of the universe,backtranslation_arb_arab,1.0,The events of the universe,,,,,,,,,,,,,,,,,,,,,,,,
406,Parkinson's disease,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
407,"poaching, wildlife preserves",1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
